Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1950/51","MY Jun-May",496
"Wheat","All wheat","Production","United States","Million bushels","1950/51","MY Jun-May",1019
"Wheat","All wheat","Imports","United States","Million bushels","1950/51","MY Jun-May",11
"Wheat","All wheat","Total supply","United States","Million bushels","1950/51","MY Jun-May",1526
"Wheat","All wheat","Food use","United States","Million bushels","1950/51","MY Jun-May",580
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1950/51","MY Jun-May",109
"Wheat","All wheat","Total domestic use","United States","Million bushels","1950/51","MY Jun-May",689
"Wheat","All wheat","Exports","United States","Million bushels","1950/51","MY Jun-May",345
"Wheat","All wheat","Total disappearance","United States","Million bushels","1950/51","MY Jun-May",1034
"Wheat","All wheat","Ending stocks","United States","Million bushels","1950/51","MY Jun-May",492
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1951/52","MY Jun-May",492
"Wheat","All wheat","Production","United States","Million bushels","1951/52","MY Jun-May",988
"Wheat","All wheat","Imports","United States","Million bushels","1951/52","MY Jun-May",30
"Wheat","All wheat","Total supply","United States","Million bushels","1951/52","MY Jun-May",1510
"Wheat","All wheat","Food use","United States","Million bushels","1951/52","MY Jun-May",585
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1951/52","MY Jun-May",110
"Wheat","All wheat","Total domestic use","United States","Million bushels","1951/52","MY Jun-May",695
"Wheat","All wheat","Exports","United States","Million bushels","1951/52","MY Jun-May",485
"Wheat","All wheat","Total disappearance","United States","Million bushels","1951/52","MY Jun-May",1180
"Wheat","All wheat","Ending stocks","United States","Million bushels","1951/52","MY Jun-May",330
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1952/53","MY Jun-May",330
"Wheat","All wheat","Production","United States","Million bushels","1952/53","MY Jun-May",1306
"Wheat","All wheat","Imports","United States","Million bushels","1952/53","MY Jun-May",24
"Wheat","All wheat","Total supply","United States","Million bushels","1952/53","MY Jun-May",1660
"Wheat","All wheat","Food use","United States","Million bushels","1952/53","MY Jun-May",578
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1952/53","MY Jun-May",78
"Wheat","All wheat","Total domestic use","United States","Million bushels","1952/53","MY Jun-May",656
"Wheat","All wheat","Exports","United States","Million bushels","1952/53","MY Jun-May",332
"Wheat","All wheat","Total disappearance","United States","Million bushels","1952/53","MY Jun-May",988
"Wheat","All wheat","Ending stocks","United States","Million bushels","1952/53","MY Jun-May",672
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1953/54","MY Jun-May",672
"Wheat","All wheat","Production","United States","Million bushels","1953/54","MY Jun-May",1173
"Wheat","All wheat","Imports","United States","Million bushels","1953/54","MY Jun-May",6
"Wheat","All wheat","Total supply","United States","Million bushels","1953/54","MY Jun-May",1851
"Wheat","All wheat","Food use","United States","Million bushels","1953/54","MY Jun-May",556
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1953/54","MY Jun-May",87
"Wheat","All wheat","Total domestic use","United States","Million bushels","1953/54","MY Jun-May",643
"Wheat","All wheat","Exports","United States","Million bushels","1953/54","MY Jun-May",214
"Wheat","All wheat","Total disappearance","United States","Million bushels","1953/54","MY Jun-May",857
"Wheat","All wheat","Ending stocks","United States","Million bushels","1953/54","MY Jun-May",994
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1954/55","MY Jun-May",994
"Wheat","All wheat","Production","United States","Million bushels","1954/55","MY Jun-May",984
"Wheat","All wheat","Imports","United States","Million bushels","1954/55","MY Jun-May",3
"Wheat","All wheat","Total supply","United States","Million bushels","1954/55","MY Jun-May",1981
"Wheat","All wheat","Food use","United States","Million bushels","1954/55","MY Jun-May",552
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1954/55","MY Jun-May",53
"Wheat","All wheat","Total domestic use","United States","Million bushels","1954/55","MY Jun-May",605
"Wheat","All wheat","Exports","United States","Million bushels","1954/55","MY Jun-May",267
"Wheat","All wheat","Total disappearance","United States","Million bushels","1954/55","MY Jun-May",872
"Wheat","All wheat","Ending stocks","United States","Million bushels","1954/55","MY Jun-May",1109
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1955/56","MY Jun-May",1109
"Wheat","All wheat","Production","United States","Million bushels","1955/56","MY Jun-May",937
"Wheat","All wheat","Imports","United States","Million bushels","1955/56","MY Jun-May",10
"Wheat","All wheat","Total supply","United States","Million bushels","1955/56","MY Jun-May",2056
"Wheat","All wheat","Food use","United States","Million bushels","1955/56","MY Jun-May",553
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1955/56","MY Jun-May",51
"Wheat","All wheat","Total domestic use","United States","Million bushels","1955/56","MY Jun-May",604
"Wheat","All wheat","Exports","United States","Million bushels","1955/56","MY Jun-May",322
"Wheat","All wheat","Total disappearance","United States","Million bushels","1955/56","MY Jun-May",926
"Wheat","All wheat","Ending stocks","United States","Million bushels","1955/56","MY Jun-May",1130
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1956/57","MY Jun-May",1130
"Wheat","All wheat","Production","United States","Million bushels","1956/57","MY Jun-May",1005
"Wheat","All wheat","Imports","United States","Million bushels","1956/57","MY Jun-May",8
"Wheat","All wheat","Total supply","United States","Million bushels","1956/57","MY Jun-May",2143
"Wheat","All wheat","Food use","United States","Million bushels","1956/57","MY Jun-May",541
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1956/57","MY Jun-May",57
"Wheat","All wheat","Total domestic use","United States","Million bushels","1956/57","MY Jun-May",598
"Wheat","All wheat","Exports","United States","Million bushels","1956/57","MY Jun-May",541
"Wheat","All wheat","Total disappearance","United States","Million bushels","1956/57","MY Jun-May",1139
"Wheat","All wheat","Ending stocks","United States","Million bushels","1956/57","MY Jun-May",1004
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1957/58","MY Jun-May",1004
"Wheat","All wheat","Production","United States","Million bushels","1957/58","MY Jun-May",956
"Wheat","All wheat","Imports","United States","Million bushels","1957/58","MY Jun-May",10
"Wheat","All wheat","Total supply","United States","Million bushels","1957/58","MY Jun-May",1970
"Wheat","All wheat","Food use","United States","Million bushels","1957/58","MY Jun-May",547
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1957/58","MY Jun-May",43
"Wheat","All wheat","Total domestic use","United States","Million bushels","1957/58","MY Jun-May",590
"Wheat","All wheat","Exports","United States","Million bushels","1957/58","MY Jun-May",418
"Wheat","All wheat","Total disappearance","United States","Million bushels","1957/58","MY Jun-May",1008
"Wheat","All wheat","Ending stocks","United States","Million bushels","1957/58","MY Jun-May",962
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1958/59","MY Jun-May",962
"Wheat","All wheat","Production","United States","Million bushels","1958/59","MY Jun-May",1457
"Wheat","All wheat","Imports","United States","Million bushels","1958/59","MY Jun-May",8
"Wheat","All wheat","Total supply","United States","Million bushels","1958/59","MY Jun-May",2427
"Wheat","All wheat","Food use","United States","Million bushels","1958/59","MY Jun-May",561
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1958/59","MY Jun-May",48
"Wheat","All wheat","Total domestic use","United States","Million bushels","1958/59","MY Jun-May",609
"Wheat","All wheat","Exports","United States","Million bushels","1958/59","MY Jun-May",450
"Wheat","All wheat","Total disappearance","United States","Million bushels","1958/59","MY Jun-May",1059
"Wheat","All wheat","Ending stocks","United States","Million bushels","1958/59","MY Jun-May",1368
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1959/60","MY Jun-May",1368
"Wheat","All wheat","Production","United States","Million bushels","1959/60","MY Jun-May",1118
"Wheat","All wheat","Imports","United States","Million bushels","1959/60","MY Jun-May",7
"Wheat","All wheat","Total supply","United States","Million bushels","1959/60","MY Jun-May",2493
"Wheat","All wheat","Food use","United States","Million bushels","1959/60","MY Jun-May",558
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1959/60","MY Jun-May",49
"Wheat","All wheat","Total domestic use","United States","Million bushels","1959/60","MY Jun-May",607
"Wheat","All wheat","Exports","United States","Million bushels","1959/60","MY Jun-May",502
"Wheat","All wheat","Total disappearance","United States","Million bushels","1959/60","MY Jun-May",1109
"Wheat","All wheat","Ending stocks","United States","Million bushels","1959/60","MY Jun-May",1384
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1960/61","MY Jun-May",1384.2
"Wheat","All wheat","Production","United States","Million bushels","1960/61","MY Jun-May",1354.7
"Wheat","All wheat","Imports","United States","Million bushels","1960/61","MY Jun-May",8.1
"Wheat","All wheat","Total supply","United States","Million bushels","1960/61","MY Jun-May",2747
"Wheat","All wheat","Food use","United States","Million bushels","1960/61","MY Jun-May",496.5
"Wheat","All wheat","Seed use","United States","Million bushels","1960/61","MY Jun-May",64.3
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1960/61","MY Jun-May",30.3
"Wheat","All wheat","Total domestic use","United States","Million bushels","1960/61","MY Jun-May",591.1
"Wheat","All wheat","Exports","United States","Million bushels","1960/61","MY Jun-May",653.5
"Wheat","All wheat","Total disappearance","United States","Million bushels","1960/61","MY Jun-May",1244.6
"Wheat","All wheat","Ending stocks","United States","Million bushels","1960/61","MY Jun-May",1502.4
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1961/62","MY Jun-May",1502.4
"Wheat","All wheat","Production","United States","Million bushels","1961/62","MY Jun-May",1232.4
"Wheat","All wheat","Imports","United States","Million bushels","1961/62","MY Jun-May",5.9
"Wheat","All wheat","Total supply","United States","Million bushels","1961/62","MY Jun-May",2740.7
"Wheat","All wheat","Food use","United States","Million bushels","1961/62","MY Jun-May",504
"Wheat","All wheat","Seed use","United States","Million bushels","1961/62","MY Jun-May",56.3
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1961/62","MY Jun-May",44.1
"Wheat","All wheat","Total domestic use","United States","Million bushels","1961/62","MY Jun-May",604.4
"Wheat","All wheat","Exports","United States","Million bushels","1961/62","MY Jun-May",715.7
"Wheat","All wheat","Total disappearance","United States","Million bushels","1961/62","MY Jun-May",1320.1
"Wheat","All wheat","Ending stocks","United States","Million bushels","1961/62","MY Jun-May",1420.6
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1962/63","MY Jun-May",1420.6
"Wheat","All wheat","Production","United States","Million bushels","1962/63","MY Jun-May",1092
"Wheat","All wheat","Imports","United States","Million bushels","1962/63","MY Jun-May",5.3
"Wheat","All wheat","Total supply","United States","Million bushels","1962/63","MY Jun-May",2517.9
"Wheat","All wheat","Food use","United States","Million bushels","1962/63","MY Jun-May",502.7
"Wheat","All wheat","Seed use","United States","Million bushels","1962/63","MY Jun-May",61.4
"Wheat","All wheat","Feed and residual use","United States","Million bushels","1962/63","MY Jun-May",34.7
"Wheat","All wheat","Total domestic use","United States","Million bushels","1962/63","MY Jun-May",598.8
"Wheat","All wheat","Exports","United States","Million bushels","1962/63","MY Jun-May",649.4
"Wheat","All wheat","Total disappearance","United States","Million bushels","1962/63","MY Jun-May",1248.2
"Wheat","All wheat","Ending stocks","United States","Million bushels","1962/63","MY Jun-May",1269.7
"Wheat","All wheat","Beginning stocks","United States","Million bushels","1963/64","MY Jun-May",1269.7
"Wheat","All wheat","Production","United States","Million bushels","1963/64","MY Jun-May",1146.8
"Wheat","All wheat","Imports","United States","Million bushels","1963/64","MY Jun-May",4
