Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Rye","Rye","Beginning stocks","United States","Million bushels","1984/85","MY Jun-May",11.314
"Rye","Rye","Production","United States","Million bushels","1984/85","MY Jun-May",32.407
"Rye","Rye","Imports","United States","Million bushels","1984/85","MY Jun-May",0.6
"Rye","Rye","Total supply","United States","Million bushels","1984/85","MY Jun-May",44.321
"Rye","Rye","Food use","United States","Million bushels","1984/85","MY Jun-May",3.5
"Rye","Rye","Seed use","United States","Million bushels","1984/85","MY Jun-May",4.1
"Rye","Rye","Industrial use","United States","Million bushels","1984/85","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1984/85","MY Jun-May",14.521
"Rye","Rye","Total domestic use","United States","Million bushels","1984/85","MY Jun-May",24.121
"Rye","Rye","Exports","United States","Million bushels","1984/85","MY Jun-May",0.4
"Rye","Rye","Total disappearance","United States","Million bushels","1984/85","MY Jun-May",24.521
"Rye","Rye","Ending stocks","United States","Million bushels","1984/85","MY Jun-May",19.8
"Rye","Rye","Ending stocks","United States","Million bushels","1985/86","MY Jun-May",21.869
"Rye","Rye","Total disappearance","United States","Million bushels","1985/86","MY Jun-May",20.504
"Rye","Rye","Exports","United States","Million bushels","1985/86","MY Jun-May",0.2
"Rye","Rye","Total domestic use","United States","Million bushels","1985/86","MY Jun-May",20.304
"Rye","Rye","Feed and residual use","United States","Million bushels","1985/86","MY Jun-May",10.904
"Rye","Rye","Industrial use","United States","Million bushels","1985/86","MY Jun-May",2.1
"Rye","Rye","Seed use","United States","Million bushels","1985/86","MY Jun-May",3.8
"Rye","Rye","Food use","United States","Million bushels","1985/86","MY Jun-May",3.5
"Rye","Rye","Total supply","United States","Million bushels","1985/86","MY Jun-May",42.373
"Rye","Rye","Imports","United States","Million bushels","1985/86","MY Jun-May",2.2
"Rye","Rye","Production","United States","Million bushels","1985/86","MY Jun-May",20.373
"Rye","Rye","Beginning stocks","United States","Million bushels","1985/86","MY Jun-May",19.8
"Rye","Rye","Beginning stocks","United States","Million bushels","1986/87","MY Jun-May",21.869
"Rye","Rye","Production","United States","Million bushels","1986/87","MY Jun-May",19.067
"Rye","Rye","Imports","United States","Million bushels","1986/87","MY Jun-May",1
"Rye","Rye","Total supply","United States","Million bushels","1986/87","MY Jun-May",41.936
"Rye","Rye","Food use","United States","Million bushels","1986/87","MY Jun-May",3.5
"Rye","Rye","Seed use","United States","Million bushels","1986/87","MY Jun-May",3.7
"Rye","Rye","Industrial use","United States","Million bushels","1986/87","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1986/87","MY Jun-May",13.653
"Rye","Rye","Total domestic use","United States","Million bushels","1986/87","MY Jun-May",22.853
"Rye","Rye","Exports","United States","Million bushels","1986/87","MY Jun-May",0.5
"Rye","Rye","Total disappearance","United States","Million bushels","1986/87","MY Jun-May",23.353
"Rye","Rye","Ending stocks","United States","Million bushels","1986/87","MY Jun-May",18.583
"Rye","Rye","Ending stocks","United States","Million bushels","1987/88","MY Jun-May",18.912
"Rye","Rye","Total disappearance","United States","Million bushels","1987/88","MY Jun-May",20.401
"Rye","Rye","Exports","United States","Million bushels","1987/88","MY Jun-May",0.5
"Rye","Rye","Total domestic use","United States","Million bushels","1987/88","MY Jun-May",19.901
"Rye","Rye","Feed and residual use","United States","Million bushels","1987/88","MY Jun-May",10.601
