Commodity_Desc,Commodity_Desc2,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Food use","1,000 bushels","1989/90","Apr",56781.9111765317
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Apr",688.198356508657
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Apr",6138.28717997699
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Apr",1450
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Apr",60782
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Apr",479.252709521967
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1989/90","Apr",4641
"Durum","Durum food use","1,000 bushels","1989/90","Apr",5084.23680354009
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Apr",36.0159059818807
"All wheat","Food use","1,000 bushels","1989/90","Aug",70188.1101149864
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Aug",5808.32636453051
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Aug",725.436479516864
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Aug",1400
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Aug",73871
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Aug",505.60222908237
"Durum","Durum food use","1,000 bushels","1989/90","Aug",470.964811163018
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Aug",34.6374179193526
"All wheat","Food use","1,000 bushels","1989/90","Dec",59370.750972038
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Dec",3643.22710647171
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Dec",673.978078509678
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Dec",60940
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Dec",1400
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Dec",470.564342527645
"Durum","Durum food use","1,000 bushels","1989/90","Dec",428.215095630674
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Dec",42.3492468969707
"All wheat","Food use","1,000 bushels","1989/90","Feb",63715.6068309876
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Feb",3129.1975989217
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Feb",473.804429909303
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Feb",64921
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Feb",1450
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Feb",329.088461872603
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1989/90","Feb",4325
"Durum","Durum food use","1,000 bushels","1989/90","Feb",4627.95832453623
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Feb",26.1301373363775
"All wheat","Food use","1,000 bushels","1989/90","Jan",61232.3017172343
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Jan",4890.11560378792
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Jan",589.41732102226
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Jan",64083
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Jan",1450
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Jan",410.840384689891
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1989/90","Jan",4171
"Durum","Durum food use","1,000 bushels","1989/90","Jan",4558.05982186772
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Jan",23.7805628221754
"All wheat","Food use","1,000 bushels","1989/90","Jul",61003.4128774757
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Jul",1826.36296084387
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Jul",673.775838319604
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Jul",1400
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Jul",60756
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Jul",472.555324761909
"Durum","Durum food use","1,000 bushels","1989/90","Jul",444.886625110609
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Jul",27.6686996513001
"All wheat","Food use","1,000 bushels","1989/90","Jun",59510.3819873475
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Jun",926.964678079565
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Jun",684.346665427074
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Jun",58353
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Jun",1400
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Jun",481.992076225859
"Durum","Durum food use","1,000 bushels","1989/90","Jun",459.164056745911
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Jun",22.8280194799477
"All wheat","Food use","1,000 bushels","1989/90","Mar",63535.8930766507
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","Mar",4476.49695132821
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","Mar",594.390027978899
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","Mar",65968
"All wheat","Nonmilled food use","1,000 bushels","1989/90","Mar",1450
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","Mar",422.830789323267
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1989/90","Mar",4976
"Durum","Durum food use","1,000 bushels","1989/90","Mar",5356.81318045753
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","Mar",42.0176088657374
"All wheat","Food use","1,000 bushels","1989/90","May",61921.1718188248
"All wheat","Food exports","1,000 grain-equivalent bushels","1989/90","May",3293.30029040264
"All wheat","Flour, semolina, pasta, bulgur, and couscous imports","1,000 grain-equivalent bushels","1989/90","May",791.472109227463
"All wheat","Wheat ground for flour","1,000 bushels","1989/90","May",62973
"All wheat","Nonmilled food use","1,000 bushels","1989/90","May",1450
"Durum","Semolina, durum flour, pasta, and couscous imports","1,000 grain-equivalent bushels","1989/90","May",535.71957716599
"Durum","Durum wheat ground for semolina and durum flour","1,000 bushels","1989/90","May",4806
"Durum","Durum food use","1,000 bushels","1989/90","May",5305.95379135698
"Durum","Durum food exports","1,000 grain-equivalent bushels","1989/90","May",35.7657858090064
"All wheat","Food use","1,000 bushels","1989/90","MY Jun-May",748917.463970426
"Durum","Durum food use","1,000 bushels","1989/90","MY Jun-May",27959.8046254391
