Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",6132.33725861092
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",3071.28586652358
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",25.7102360331951
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",3035.2699605417
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",84610.547662746
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",44.8314848192748
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",10.3056699486857
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Apr",90787.7164061762
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",138221.209548976
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",6.63965790878683
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",456.892101316739
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",131989.072066904
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",1738.6417770204
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",1773.27919493975
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",27.9977600105658
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Aug",5775.24538075532
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Dec",3605.55524580935
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Dec",31.5165576256902
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Dec",5130.26136434317
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Dec",5087.9121174462
