Commodity_Desc,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Total wheat grain","Exports, Qty","Mexico","1,000 metric tons ","1988/89","MY Jun-May",366.436996
"Total wheat grain","Exports, Qty","Philippines","1,000 metric tons ","1988/89","MY Jun-May",465.51938
"Total wheat grain","Exports, Qty","South Korea","1,000 metric tons ","1988/89","MY Jun-May",738.39752
"Total wheat grain","Exports, Qty","Japan","1,000 metric tons ","1988/89","MY Jun-May",1018.425387
"Total wheat grain","Exports, Qty","Taiwan","1,000 metric tons ","1988/89","MY Jun-May",326.308453
"Total wheat grain","Exports, Qty","Thailand","1,000 metric tons ","1988/89","MY Jun-May",44.472467
"Total wheat grain","Exports, Qty","Indonesia","1,000 metric tons ","1988/89","MY Jun-May",43.426343
"Total wheat grain","Exports, Qty","Colombia","1,000 metric tons ","1988/89","MY Jun-May",183.718202
"Total wheat grain","Exports, Qty","Ecuador","1,000 metric tons ","1988/89","MY Jun-May",133.681545
"Total wheat grain","Exports, Qty","Dominican Republic","1,000 metric tons ","1988/89","MY Jun-May",56.673411
"Total wheat grain","Exports, Qty","Italy","1,000 metric tons ","1988/89","MY Jun-May",59.524311
"Total wheat grain","Exports, Qty","Venezuela","1,000 metric tons ","1988/89","MY Jun-May",244.218184
"Total wheat grain","Exports, Qty","Guatemala","1,000 metric tons ","1988/89","MY Jun-May",63.177212
"Total wheat grain","Exports, Qty","Honduras","1,000 metric tons ","1988/89","MY Jun-May",28.081592
"Total wheat grain","Exports, Qty","Peru","1,000 metric tons ","1988/89","MY Jun-May",36.145979
"Total wheat grain","Exports, Qty","Haiti","1,000 metric tons ","1988/89","MY Jun-May",74.054847
"Total wheat grain","Exports, Qty","Jamaica","1,000 metric tons ","1988/89","MY Jun-May",27.160128
"Total wheat grain","Exports, Qty","China","1,000 metric tons ","1988/89","MY Jun-May",3145.31911
"Total wheat grain","Exports, Qty","El Salvador","1,000 metric tons ","1988/89","MY Jun-May",30.399973
"Total wheat grain","Exports, Qty","Panama","1,000 metric tons ","1988/89","MY Jun-May",32.647619
"Total wheat grain","Exports, Qty","Malaysia","1,000 metric tons ","1988/89","MY Jun-May",7.344455
"Total wheat grain","Exports, Qty","Egypt","1,000 metric tons ","1988/89","MY Jun-May",1227.379066
"Total wheat grain","Exports, Qty","Trinidad And Tobago","1,000 metric tons ","1988/89","MY Jun-May",39.561812
"Total wheat grain","Exports, Qty","Algeria","1,000 metric tons ","1988/89","MY Jun-May",220.081349
"Total wheat grain","Exports, Qty","Costa Rica","1,000 metric tons ","1988/89","MY Jun-May",67.652018
"Total wheat grain","Exports, Qty","Canada","1,000 metric tons ","1988/89","MY Jun-May",10.328896
"Total wheat grain","Exports, Qty","Spain","1,000 metric tons ","1988/89","MY Jun-May",8.399984
"Total wheat grain","Exports, Qty","Kenya","1,000 metric tons ","1988/89","MY Jun-May",27.421
"Total wheat grain","Exports, Qty","Guyana","1,000 metric tons ","1988/89","MY Jun-May",13
