Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","MY Jun-May",9.2125
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","MY Jun-May",10.39976
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","MY Jun-May",2.15566
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","MY Jun-May",8.2441
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","MY Jun-May",1.18726
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q1 Jun-Aug",8.96666666666667
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q1 Jun-Aug",10.1031733333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q1 Jun-Aug",2.03957333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q1 Jun-Aug",8.0636
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q1 Jun-Aug",1.13650666666667
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q2 Sep-Nov",9
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q2 Sep-Nov",10.1579733333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q2 Sep-Nov",2.09437333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q2 Sep-Nov",8.0636
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q2 Sep-Nov",1.15797333333333
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q3 Dec-Feb",9.28333333333333
"Wholesale total products actual cost","Total wholesale price","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q3 Dec-Feb",10.5529333333333
"Wholesale total products over cost of wheat ","Total wholesale price less cost of wheat ","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q3 Dec-Feb",2.07893333333333
"Cost of wheat to produce flour","Cost of wheat to produce flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q3 Dec-Feb",8.474
"Wholesale byproducts obtained","Wholesale price of byproducts","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q3 Dec-Feb",1.2696
"Bakers std. patent flour","Wholesale price of bakery flour","Wheat and flour price relationships","Kansas City","dollars per cwt","1985/86","Q4 Mar-May",9.6
