Commodity_Desc,Attribute_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Export estimates","1,000 bushels","2003/04","Apr",103873.212809108
"Durum","Export estimates","1,000 bushels","2003/04","Apr",3401.67473677156
"All wheat","Export estimates","1,000 bushels","2003/04","Feb",94822.2258209846
"Durum","Export estimates","1,000 bushels","2003/04","Feb",2930.99098923631
"All wheat","Export estimates","1,000 bushels","2003/04","Jan",113272.238755677
"Durum","Export estimates","1,000 bushels","2003/04","Jan",1942.35838535289
"All wheat","Export estimates","1,000 bushels","2003/04","Mar",98285.0866237939
"Durum","Export estimates","1,000 bushels","2003/04","Mar",4292.38613274606
"All wheat","Export estimates","1,000 bushels","2003/04","May",94332.8067766234
"Durum","Export estimates","1,000 bushels","2003/04","May",3432.30230106771
"All wheat","Export estimates","1,000 bushels","2003/04","MY Jun-May",504585.570786187
"Durum","Export estimates","1,000 bushels","2003/04","MY Jun-May",15999.7125451745
"All wheat","Export estimates","1,000 bushels","2003/04","Q3 Dec-Feb",208094.464576662
"Durum","Export estimates","1,000 bushels","2003/04","Q3 Dec-Feb",4873.3493745892
"All wheat","Export estimates","1,000 bushels","2003/04","Q4 Mar-May",296491.106209525
"Durum","Export estimates","1,000 bushels","2003/04","Q4 Mar-May",11126.3631705853
"Soft red winter","Export estimates","1,000 bushels","2004/05","Apr",5246.59698764439
"All wheat","Export estimates","1,000 bushels","2004/05","Apr",83810.3559666215
"White","Export estimates","1,000 bushels","2004/05","Apr",15016.2745399997
"Hard red winter","Export estimates","1,000 bushels","2004/05","Apr",32750.1473515057
"Durum","Export estimates","1,000 bushels","2004/05","Apr",1836.82758535565
"Hard red spring","Export estimates","1,000 bushels","2004/05","Apr",28960.5095021161
"Hard red winter","Export estimates","1,000 bushels","2004/05","Aug",42372.8999191265
"All wheat","Export estimates","1,000 bushels","2004/05","Aug",105536.893700292
"White","Export estimates","1,000 bushels","2004/05","Aug",15968.9632181385
"Durum","Export estimates","1,000 bushels","2004/05","Aug",1704.66108358764
"Hard red spring","Export estimates","1,000 bushels","2004/05","Aug",28043.6373632959
"Soft red winter","Export estimates","1,000 bushels","2004/05","Aug",17446.7321161437
"Soft red winter","Export estimates","1,000 bushels","2004/05","Dec",9622.86646653844
"All wheat","Export estimates","1,000 bushels","2004/05","Dec",83818.6905071643
"White","Export estimates","1,000 bushels","2004/05","Dec",16736.584971597
"Durum","Export estimates","1,000 bushels","2004/05","Dec",2014.67909491804
"Hard red spring","Export estimates","1,000 bushels","2004/05","Dec",24299.3991604915
"Hard red winter","Export estimates","1,000 bushels","2004/05","Dec",31145.1608136193
"Hard red spring","Export estimates","1,000 bushels","2004/05","Feb",22392.4207414658
"Soft red winter","Export estimates","1,000 bushels","2004/05","Feb",8867.67912385337
"Durum","Export estimates","1,000 bushels","2004/05","Feb",1737.08665724689
"White","Export estimates","1,000 bushels","2004/05","Feb",15423.1242502752
"All wheat","Export estimates","1,000 bushels","2004/05","Feb",77121.2486187903
"Hard red winter","Export estimates","1,000 bushels","2004/05","Feb",28700.9378459491
"Durum","Export estimates","1,000 bushels","2004/05","Jan",3086.68349133956
"White","Export estimates","1,000 bushels","2004/05","Jan",15608.6228981776
"Hard red spring","Export estimates","1,000 bushels","2004/05","Jan",22661.7412567778
"Soft red winter","Export estimates","1,000 bushels","2004/05","Jan",8974.33342169958
"All wheat","Export estimates","1,000 bushels","2004/05","Jan",79377.513900223
"Hard red winter","Export estimates","1,000 bushels","2004/05","Jan",29046.1328322284
"White","Export estimates","1,000 bushels","2004/05","Jul",14904.659231799
"Durum","Export estimates","1,000 bushels","2004/05","Jul",1499.39994478009
"Hard red spring","Export estimates","1,000 bushels","2004/05","Jul",26174.5770724368
"Soft red winter","Export estimates","1,000 bushels","2004/05","Jul",16283.9373694744
"Hard red winter","Export estimates","1,000 bushels","2004/05","Jul",39548.8188763784
"All wheat","Export estimates","1,000 bushels","2004/05","Jul",98411.3924948686
"Hard red spring","Export estimates","1,000 bushels","2004/05","Jun",21542.6034178621
"Soft red winter","Export estimates","1,000 bushels","2004/05","Jun",13402.2568487382
"All wheat","Export estimates","1,000 bushels","2004/05","Jun",82862.5095780258
"White","Export estimates","1,000 bushels","2004/05","Jun",12267.0621198745
"Durum","Export estimates","1,000 bushels","2004/05","Jun",3100.50936829323
"Hard red winter","Export estimates","1,000 bushels","2004/05","Jun",32550.0778232578
"All wheat","Export estimates","1,000 bushels","2004/05","Mar",77914.1356158879
"Hard red winter","Export estimates","1,000 bushels","2004/05","Mar",29107.6464579031
"Durum","Export estimates","1,000 bushels","2004/05","Mar",5057.77691254094
"White","Export estimates","1,000 bushels","2004/05","Mar",13346.1509572422
"Hard red spring","Export estimates","1,000 bushels","2004/05","Mar",25739.4955442722
"Soft red winter","Export estimates","1,000 bushels","2004/05","Mar",4663.06574392958
"Soft red winter","Export estimates","1,000 bushels","2004/05","May",4790.40798858561
"Durum","Export estimates","1,000 bushels","2004/05","May",2315.81297220977
"Hard red spring","Export estimates","1,000 bushels","2004/05","May",26442.4076023294
"Hard red winter","Export estimates","1,000 bushels","2004/05","May",29902.5383252178
"All wheat","Export estimates","1,000 bushels","2004/05","May",77161.7838243512
"White","Export estimates","1,000 bushels","2004/05","May",13710.6169360086
"Hard red winter","Export estimates","1,000 bushels","2004/05","MY Jun-May",389389.591655786
"All wheat","Export estimates","1,000 bushels","2004/05","MY Jun-May",1065910.21850041
"White","Export estimates","1,000 bushels","2004/05","MY Jun-May",207773.790401217
"Durum","Export estimates","1,000 bushels","2004/05","MY Jun-May",31012.5909613802
"Hard red spring","Export estimates","1,000 bushels","2004/05","MY Jun-May",315295.869189935
"Soft red winter","Export estimates","1,000 bushels","2004/05","MY Jun-May",122438.376292091
"White","Export estimates","1,000 bushels","2004/05","Nov",21127.8171111318
"Durum","Export estimates","1,000 bushels","2004/05","Nov",3294.85292520045
"Hard red spring","Export estimates","1,000 bushels","2004/05","Nov",25152.5310836728
"Soft red winter","Export estimates","1,000 bushels","2004/05","Nov",9361.81601588927
"Hard red winter","Export estimates","1,000 bushels","2004/05","Nov",26628.8603719582
"All wheat","Export estimates","1,000 bushels","2004/05","Nov",85565.8775078525
"Hard red spring","Export estimates","1,000 bushels","2004/05","Oct",27745.9988299087
"Soft red winter","Export estimates","1,000 bushels","2004/05","Oct",10327.1092423497
"All wheat","Export estimates","1,000 bushels","2004/05","Oct",93234.5967492668
"White","Export estimates","1,000 bushels","2004/05","Oct",23306.2981571868
"Durum","Export estimates","1,000 bushels","2004/05","Oct",2480.63866003835
"Hard red winter","Export estimates","1,000 bushels","2004/05","Oct",29374.5518597833
"Hard red winter","Export estimates","1,000 bushels","2004/05","Q1 Jun-Aug",114471.796618763
"All wheat","Export estimates","1,000 bushels","2004/05","Q1 Jun-Aug",286810.795773187
"White","Export estimates","1,000 bushels","2004/05","Q1 Jun-Aug",43140.6845698119
"Durum","Export estimates","1,000 bushels","2004/05","Q1 Jun-Aug",6304.57039666095
"Hard red spring","Export estimates","1,000 bushels","2004/05","Q1 Jun-Aug",75760.8178535947
"Soft red winter","Export estimates","1,000 bushels","2004/05","Q1 Jun-Aug",47132.9263343563
"Hard red winter","Export estimates","1,000 bushels","2004/05","Q2 Sep-Nov",94265.2314105997
"All wheat","Export estimates","1,000 bushels","2004/05","Q2 Sep-Nov",299895.694294184
"White","Export estimates","1,000 bushels","2004/05","Q2 Sep-Nov",74791.7312781044
"Hard red spring","Export estimates","1,000 bushels","2004/05","Q2 Sep-Nov",89039.0775288877
"Soft red winter","Export estimates","1,000 bushels","2004/05","Q2 Sep-Nov",33140.5002254838
"Durum","Export estimates","1,000 bushels","2004/05","Q2 Sep-Nov",8659.15385110845
"Hard red winter","Export estimates","1,000 bushels","2004/05","Q3 Dec-Feb",88892.2314917968
"Durum","Export estimates","1,000 bushels","2004/05","Q3 Dec-Feb",6838.44924350449
"Hard red spring","Export estimates","1,000 bushels","2004/05","Q3 Dec-Feb",69353.5611587351
"All wheat","Export estimates","1,000 bushels","2004/05","Q3 Dec-Feb",240317.453026178
"White","Export estimates","1,000 bushels","2004/05","Q3 Dec-Feb",47768.3321200498
"Soft red winter","Export estimates","1,000 bushels","2004/05","Q3 Dec-Feb",27464.8790120914
"Hard red winter","Export estimates","1,000 bushels","2004/05","Q4 Mar-May",91760.3321346265
"All wheat","Export estimates","1,000 bushels","2004/05","Q4 Mar-May",238886.275406861
"White","Export estimates","1,000 bushels","2004/05","Q4 Mar-May",42073.0424332505
"Durum","Export estimates","1,000 bushels","2004/05","Q4 Mar-May",9210.41747010635
"Hard red spring","Export estimates","1,000 bushels","2004/05","Q4 Mar-May",81142.4126487177
"Soft red winter","Export estimates","1,000 bushels","2004/05","Q4 Mar-May",14700.0707201596
"Soft red winter","Export estimates","1,000 bushels","2004/05","Sep",13451.5749672449
"Durum","Export estimates","1,000 bushels","2004/05","Sep",2883.66226586965
"Hard red spring","Export estimates","1,000 bushels","2004/05","Sep",36140.5476153062
"Hard red winter","Export estimates","1,000 bushels","2004/05","Sep",38261.8191788582
"All wheat","Export estimates","1,000 bushels","2004/05","Sep",121095.220037065
"White","Export estimates","1,000 bushels","2004/05","Sep",30357.6160097858
"Soft red winter","Export estimates","1,000 bushels","2005/06","Apr",5952.66703191459
"Hard red winter","Export estimates","1,000 bushels","2005/06","Apr",26537.1174759889
"All wheat","Export estimates","1,000 bushels","2005/06","Apr",70358.5245891649
"White","Export estimates","1,000 bushels","2005/06","Apr",13654.5232372164
"Hard red spring","Export estimates","1,000 bushels","2005/06","Apr",18701.6022973054
"Durum","Export estimates","1,000 bushels","2005/06","Apr",5512.61454673967
"All wheat","Export estimates","1,000 bushels","2005/06","Aug",86464.5616727148
"Hard red winter","Export estimates","1,000 bushels","2005/06","Aug",38497.0077844835
"Soft red winter","Export estimates","1,000 bushels","2005/06","Aug",7454.58951971904
"Hard red spring","Export estimates","1,000 bushels","2005/06","Aug",24847.5819380693
"Durum","Export estimates","1,000 bushels","2005/06","Aug",5092.90375798979
"White","Export estimates","1,000 bushels","2005/06","Aug",10572.4786724532
"Soft red winter","Export estimates","1,000 bushels","2005/06","Dec",6038.58209311286
"Hard red spring","Export estimates","1,000 bushels","2005/06","Dec",23772.9791463625
"Durum","Export estimates","1,000 bushels","2005/06","Dec",5090.59439474102
"White","Export estimates","1,000 bushels","2005/06","Dec",18925.9752147681
"All wheat","Export estimates","1,000 bushels","2005/06","Dec",97516.3824777952
"Hard red winter","Export estimates","1,000 bushels","2005/06","Dec",43688.2516288107
"Soft red winter","Export estimates","1,000 bushels","2005/06","Feb",4418.06121413061
"Hard red spring","Export estimates","1,000 bushels","2005/06","Feb",17393.2349500837
"Hard red winter","Export estimates","1,000 bushels","2005/06","Feb",31964.0218611199
"All wheat","Export estimates","1,000 bushels","2005/06","Feb",69550.5646337761
"White","Export estimates","1,000 bushels","2005/06","Feb",13846.9786030284
"Durum","Export estimates","1,000 bushels","2005/06","Feb",1928.26800541351
"Hard red winter","Export estimates","1,000 bushels","2005/06","Jan",39005.2741453388
"All wheat","Export estimates","1,000 bushels","2005/06","Jan",85012.6398750573
"Soft red winter","Export estimates","1,000 bushels","2005/06","Jan",5391.30180791382
"Hard red spring","Export estimates","1,000 bushels","2005/06","Jan",21224.7351240715
"White","Export estimates","1,000 bushels","2005/06","Jan",16897.2852928978
"Durum","Export estimates","1,000 bushels","2005/06","Jan",2494.04350483533
"Soft red winter","Export estimates","1,000 bushels","2005/06","Jul",7971.67802168417
"Hard red spring","Export estimates","1,000 bushels","2005/06","Jul",26571.1374588428
"Durum","Export estimates","1,000 bushels","2005/06","Jul",4858.70107734193
"White","Export estimates","1,000 bushels","2005/06","Jul",11305.8399318943
"All wheat","Export estimates","1,000 bushels","2005/06","Jul",91874.7138666369
"Hard red winter","Export estimates","1,000 bushels","2005/06","Jul",41167.3573768737
"Soft red winter","Export estimates","1,000 bushels","2005/06","Jun",5757.1778040179
"Hard red spring","Export estimates","1,000 bushels","2005/06","Jun",19189.7819241374
"Durum","Export estimates","1,000 bushels","2005/06","Jun",3210.26691118714
"White","Export estimates","1,000 bushels","2005/06","Jun",8165.12289315086
"All wheat","Export estimates","1,000 bushels","2005/06","Jun",66053.5799579461
"Hard red winter","Export estimates","1,000 bushels","2005/06","Jun",29731.2304254528
"Hard red winter","Export estimates","1,000 bushels","2005/06","Mar",29504.1364722596
"All wheat","Export estimates","1,000 bushels","2005/06","Mar",74955.8322262816
"Soft red winter","Export estimates","1,000 bushels","2005/06","Mar",6618.21317414896
"Hard red spring","Export estimates","1,000 bushels","2005/06","Mar",20792.5607191087
"White","Export estimates","1,000 bushels","2005/06","Mar",15181.1860281731
"Durum","Export estimates","1,000 bushels","2005/06","Mar",2859.73583259114
"Soft red winter","Export estimates","1,000 bushels","2005/06","May",6312.40457860392
"Hard red spring","Export estimates","1,000 bushels","2005/06","May",19831.7962916146
"Durum","Export estimates","1,000 bushels","2005/06","May",5970.6787419992
"Hard red winter","Export estimates","1,000 bushels","2005/06","May",28140.8351853513
"White","Export estimates","1,000 bushels","2005/06","May",14479.7070857725
"All wheat","Export estimates","1,000 bushels","2005/06","May",74735.4218833415
"Hard red winter","Export estimates","1,000 bushels","2005/06","MY Jun-May",427707.751223892
"White","Export estimates","1,000 bushels","2005/06","MY Jun-May",173512.898449008
"All wheat","Export estimates","1,000 bushels","2005/06","MY Jun-May",1002781.13401609
"Soft red winter","Export estimates","1,000 bushels","2005/06","MY Jun-May",76097.6109295961
"Hard red spring","Export estimates","1,000 bushels","2005/06","MY Jun-May",280152.156508736
"Durum","Export estimates","1,000 bushels","2005/06","MY Jun-May",45310.7169048578
"All wheat","Export estimates","1,000 bushels","2005/06","Nov",81183.1703449393
"Hard red winter","Export estimates","1,000 bushels","2005/06","Nov",33626.5753411055
"Soft red winter","Export estimates","1,000 bushels","2005/06","Nov",5680.66207880933
"Hard red spring","Export estimates","1,000 bushels","2005/06","Nov",24719.5986279948
"Durum","Export estimates","1,000 bushels","2005/06","Nov",2947.23106242037
"White","Export estimates","1,000 bushels","2005/06","Nov",14209.1032346093
"Soft red winter","Export estimates","1,000 bushels","2005/06","Oct",7143.6362717303
"Hard red spring","Export estimates","1,000 bushels","2005/06","Oct",31085.7817155304
"Durum","Export estimates","1,000 bushels","2005/06","Oct",2841.10055516335
"White","Export estimates","1,000 bushels","2005/06","Oct",17868.4568536756
"All wheat","Export estimates","1,000 bushels","2005/06","Oct",101225.599731118
"Hard red winter","Export estimates","1,000 bushels","2005/06","Oct",42286.6243350181
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",109395.59558681
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",21183.4453454211
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",70608.5013210495
"Durum","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",13161.8717465189
"White","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",30043.4414974984
"All wheat","Export estimates","1,000 bushels","2005/06","Q1 Jun-Aug",244392.855497298
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",119472.518868213
"All wheat","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",286258.912833376
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",20182.9356843502
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",87826.74665914
"Durum","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",8292.91013201908
"White","Export estimates","1,000 bushels","2005/06","Q2 Sep-Nov",50483.8014896535
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",114657.547635269
"All wheat","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",252079.586986629
"White","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",49670.2391106943
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",62390.9492205176
"Durum","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",9512.90590498986
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q3 Dec-Feb",15847.9451151573
"Hard red winter","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",84182.0891335997
"All wheat","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",220049.778698788
"White","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",43315.4163511621
"Soft red winter","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",18883.2847846675
"Hard red spring","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",59325.9593080287
"Durum","Export estimates","1,000 bushels","2005/06","Q4 Mar-May",14343.02912133
"Soft red winter","Export estimates","1,000 bushels","2005/06","Sep",7358.6373338106
"Hard red spring","Export estimates","1,000 bushels","2005/06","Sep",32021.3663156148
"Durum","Export estimates","1,000 bushels","2005/06","Sep",2504.57851443536
"Hard red winter","Export estimates","1,000 bushels","2005/06","Sep",43559.3191920894
"White","Export estimates","1,000 bushels","2005/06","Sep",18406.2414013686
"All wheat","Export estimates","1,000 bushels","2005/06","Sep",103850.142757319
"Soft red winter","Export estimates","1,000 bushels","2006/07","Apr",14314.1836059217
"White","Export estimates","1,000 bushels","2006/07","Apr",16755.219212258
"Durum","Export estimates","1,000 bushels","2006/07","Apr",2047.18304585094
"All wheat","Export estimates","1,000 bushels","2006/07","Apr",78880.3671705629
"Hard red winter","Export estimates","1,000 bushels","2006/07","Apr",26089.9771207875
"Hard red spring","Export estimates","1,000 bushels","2006/07","Apr",19673.8041857449
"Hard red winter","Export estimates","1,000 bushels","2006/07","Aug",21307.8767698758
"All wheat","Export estimates","1,000 bushels","2006/07","Aug",80025.1554161377
"White","Export estimates","1,000 bushels","2006/07","Aug",15985.5466059541
"Soft red winter","Export estimates","1,000 bushels","2006/07","Aug",13050.40595567
"Durum","Export estimates","1,000 bushels","2006/07","Aug",6366.11437393923
"Hard red spring","Export estimates","1,000 bushels","2006/07","Aug",23315.2117106985
"Soft red winter","Export estimates","1,000 bushels","2006/07","Dec",8365.67028313575
"Hard red winter","Export estimates","1,000 bushels","2006/07","Dec",27416.4958968
"All wheat","Export estimates","1,000 bushels","2006/07","Dec",73990.7720792873
"White","Export estimates","1,000 bushels","2006/07","Dec",17288.3822508816
"Durum","Export estimates","1,000 bushels","2006/07","Dec",4257.37181391284
