Commodity_Desc,Attribute_Desc,Attribute_Desc2,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1866/67","MY Jun-May Weighted-average farm price",2.06
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1867/68","MY Jun-May Weighted-average farm price",2.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1868/69","MY Jun-May Weighted-average farm price",1.46
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1869/70","MY Jun-May Weighted-average farm price",0.923
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1870/71","MY Jun-May Weighted-average farm price",1.04
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1871/72","MY Jun-May Weighted-average farm price",1.25
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1872/73","MY Jun-May Weighted-average farm price",1.24
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1873/74","MY Jun-May Weighted-average farm price",1.17
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1874/75","MY Jun-May Weighted-average farm price",0.948
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1875/76","MY Jun-May Weighted-average farm price",1.01
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1876/77","MY Jun-May Weighted-average farm price",1.04
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1877/78","MY Jun-May Weighted-average farm price",1.09
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1878/79","MY Jun-May Weighted-average farm price",0.772
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1879/80","MY Jun-May Weighted-average farm price",1.11
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1880/81","MY Jun-May Weighted-average farm price",0.952
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1881/82","MY Jun-May Weighted-average farm price",1.2
"All wheat","Average price received by farmers","All wheat average price received by farmers dollars per bushel","United States","Dollars per bushel","1882/83","MY Jun-May Weighted-average farm price",0.888
