26,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
Soft red winter,Grain inspections,Ecuador,"1,000 bushels",1996/97,MY Jun-May,883
Soft red winter,Grain inspections,Peru,"1,000 bushels",1996/97,MY Jun-May,668
Soft red winter,Grain inspections,Dominican Republic,"1,000 bushels",1996/97,MY Jun-May,759
Soft red winter,Grain inspections,Honduras,"1,000 bushels",1996/97,MY Jun-May,2207
Soft red winter,Grain inspections,Jamaica,"1,000 bushels",1996/97,MY Jun-May,3860
Soft red winter,Grain inspections,Rep. of South Africa,"1,000 bushels",1996/97,MY Jun-May,593
Soft red winter,Grain inspections,Costa Rica,"1,000 bushels",1996/97,MY Jun-May,1018
Soft red winter,Grain inspections,El Salvador,"1,000 bushels",1996/97,MY Jun-May,1530
Soft red winter,Grain inspections,Trinidad,"1,000 bushels",1996/97,MY Jun-May,2269
Soft red winter,Grain inspections,Panama,"1,000 bushels",1996/97,MY Jun-May,1301
Soft red winter,Grain inspections,Israel,"1,000 bushels",1996/97,MY Jun-May,2703
Soft red winter,Grain inspections,Guatemala,"1,000 bushels",1996/97,MY Jun-May,1294
Soft red winter,Grain inspections,Venezuela,"1,000 bushels",1996/97,MY Jun-May,2656
Soft red winter,Grain inspections,Nicaragua,"1,000 bushels",1996/97,MY Jun-May,127
All wheat,Grain inspections,Brazil,"1,000 bushels",1996/97,MY Jun-May,29664
All wheat,Grain inspections,Mexico,"1,000 bushels",1996/97,MY Jun-May,31441
Hard red winter,Grain inspections,Total,"1,000 bushels",1996/97,MY Jun-May,273945
Hard red spring,Grain inspections,Philippines,"1,000 bushels",1996/97,MY Jun-May,42547
Hard red spring,Grain inspections,Japan,"1,000 bushels",1996/97,MY Jun-May,45491
Durum,Grain inspections,Taiwan,"1,000 bushels",1996/97,MY Jun-May,116
Durum,Grain inspections,Cyprus,"1,000 bushels",1996/97,MY Jun-May,528
Durum,Grain inspections,Dominican Republic,"1,000 bushels",1996/97,MY Jun-May,590
Durum,Grain inspections,Ecuador,"1,000 bushels",1996/97,MY Jun-May,58
Durum,Grain inspections,Germany,"1,000 bushels",1996/97,MY Jun-May,692
Durum,Grain inspections,Greece,"1,000 bushels",1996/97,MY Jun-May,88
Durum,Grain inspections,Honduras,"1,000 bushels",1996/97,MY Jun-May,167
Durum,Grain inspections,Mexico,"1,000 bushels",1996/97,MY Jun-May,464
Durum,Grain inspections,Morocco,"1,000 bushels",1996/97,MY Jun-May,1469
Durum,Grain inspections,Peru,"1,000 bushels",1996/97,MY Jun-May,1341
Durum,Grain inspections,Rep. of South Africa,"1,000 bushels",1996/97,MY Jun-May,1028
Durum,Grain inspections,Tunisia,"1,000 bushels",1996/97,MY Jun-May,1599
Durum,Grain inspections,Turkey,"1,000 bushels",1996/97,MY Jun-May,689
Hard red spring,Grain inspections,Taiwan,"1,000 bushels",1996/97,MY Jun-May,18239
Hard red spring,Grain inspections,Indonesia,"1,000 bushels",1996/97,MY Jun-May,1093
Hard red spring,Grain inspections,"Korea, Republic","1,000 bushels",1996/97,MY Jun-May,15688
All wheat,Grain inspections,Total,"1,000 bushels",1996/97,MY Jun-May,977095
Hard red winter,Grain inspections,Nigeria,"1,000 bushels",1996/97,MY Jun-May,21517
Hard red winter,Grain inspections,Mexico,"1,000 bushels",1996/97,MY Jun-May,19560
Hard red winter,Grain inspections,Japan,"1,000 bushels",1996/97,MY Jun-May,37681
Hard red winter,Grain inspections,Colombia,"1,000 bushels",1996/97,MY Jun-May,3629
Hard red winter,Grain inspections,Peru,"1,000 bushels",1996/97,MY Jun-May,9464
Hard red winter,Grain inspections,Venezuela,"1,000 bushels",1996/97,MY Jun-May,194
Hard red winter,Grain inspections,Taiwan,"1,000 bushels",1996/97,MY Jun-May,8745
Hard red winter,Grain inspections,"Korea, Republic","1,000 bushels",1996/97,MY Jun-May,16288
Hard red winter,Grain inspections,Brazil,"1,000 bushels",1996/97,MY Jun-May,24960
Soft red winter,Grain inspections,Barbados,"1,000 bushels",1996/97,MY Jun-May,192
Soft red winter,Grain inspections,Armenia,"1,000 bushels",1996/97,MY Jun-May,1544
Soft red winter,Grain inspections,Bulgaria,"1,000 bushels",1996/97,MY Jun-May,3064
Soft red winter,Grain inspections,"China, People's Republic","1,000 bushels",1996/97,MY Jun-May,22955
Soft red winter,Grain inspections,Ethiopia,"1,000 bushels",1996/97,MY Jun-May,202
Soft red winter,Grain inspections,Former Soviet Union,"1,000 bushels",1996/97,MY Jun-May,1819
Soft red winter,Grain inspections,Ghana,"1,000 bushels",1996/97,MY Jun-May,154
Soft red winter,Grain inspections,Greece,"1,000 bushels",1996/97,MY Jun-May,1308
Soft red winter,Grain inspections,Grenada,"1,000 bushels",1996/97,MY Jun-May,127
Soft red winter,Grain inspections,Guyana,"1,000 bushels",1996/97,MY Jun-May,279
Soft red winter,Grain inspections,Iraq,"1,000 bushels",1996/97,MY Jun-May,585
Soft red winter,Grain inspections,Jordan,"1,000 bushels",1996/97,MY Jun-May,355
Soft red winter,Grain inspections,Lebanon,"1,000 bushels",1996/97,MY Jun-May,1460
Soft red winter,Grain inspections,Lesotho,"1,000 bushels",1996/97,MY Jun-May,103
Soft red winter,Grain inspections,Morocco,"1,000 bushels",1996/97,MY Jun-May,12994
Soft red winter,Grain inspections,Mozambique,"1,000 bushels",1996/97,MY Jun-May,283
Soft red winter,Grain inspections,Netherlands Antilles,"1,000 bushels",1996/97,MY Jun-May,25
Soft red winter,Grain inspections,Senegal,"1,000 bushels",1996/97,MY Jun-May,162
Soft red winter,Grain inspections,Sierra Leone,"1,000 bushels",1996/97,MY Jun-May,304
Soft red winter,Grain inspections,Sudan,"1,000 bushels",1996/97,MY Jun-May,1213
Soft red winter,Grain inspections,Swaziland,"1,000 bushels",1996/97,MY Jun-May,129
Soft red winter,Grain inspections,Togo,"1,000 bushels",1996/97,MY Jun-May,110
Soft red winter,Grain inspections,Tunisia,"1,000 bushels",1996/97,MY Jun-May,1980
Soft red winter,Grain inspections,Turkey,"1,000 bushels",1996/97,MY Jun-May,715
Durum,Grain inspections,Other,"1,000 bushels",1996/97,MY Jun-May,77
Durum,Grain inspections,Total,"1,000 bushels",1996/97,MY Jun-May,35574
