Commodity_Desc,Commodity_Desc2,Attribute_Desc,Attribute_Desc2,Geography_Desc,Unit_Desc,Calendar_Year,Timeperiod_Desc,Amount
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1988","CY Jan-Dec",344154
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1988","CY Jan-Dec",6144.97
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1988","CY Jan-Dec",769689
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1988","CY Jan-Dec",74.5223070616834
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1989","CY Jan-Dec",75.0662596695755
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1989","CY Jan-Dec",761021
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1989","CY Jan-Dec",5827.58
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1989","CY Jan-Dec",342762
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1990","CY Jan-Dec",354348
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1990","CY Jan-Dec",6108.572
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1990","CY Jan-Dec",788186
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1990","CY Jan-Dec",74.9290142174563
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1991","CY Jan-Dec",74.6448758868317
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1991","CY Jan-Dec",808966
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1991","CY Jan-Dec",6436.192
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1991","CY Jan-Dec",362311
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1992","CY Jan-Dec",370829
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1992","CY Jan-Dec",6706.962
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1992","CY Jan-Dec",833339
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1992","CY Jan-Dec",74.1652956759894
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1993","CY Jan-Dec",74.0982792599257
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1993","CY Jan-Dec",871408
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1993","CY Jan-Dec",6963.4
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1993","CY Jan-Dec",387419
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1994","CY Jan-Dec",7185.908
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1994","CY Jan-Dec",884707
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1994","CY Jan-Dec",73.9451969220695
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1994","CY Jan-Dec",392519
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1995","CY Jan-Dec",388689
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1995","CY Jan-Dec",869296
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1995","CY Jan-Dec",7144.328
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1995","CY Jan-Dec",74.5217969483352
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1996","CY Jan-Dec",7041.882
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1996","CY Jan-Dec",397776
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1996","CY Jan-Dec",878070
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1996","CY Jan-Dec",75.5019531472434
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1997","CY Jan-Dec",885843
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1997","CY Jan-Dec",76.037364032528
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1997","CY Jan-Dec",404143
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1997","CY Jan-Dec",6886.228
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1998","CY Jan-Dec",6954.947
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1998","CY Jan-Dec",895369
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1998","CY Jan-Dec",74.2550464296471
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1998","CY Jan-Dec",398914
"All Wheat","Wheat flour","Production","Wheat flour production","United States","1,000 cwt","1999","CY Jan-Dec",411968
"All Wheat","Wheat ground for flour","Production","Wheat ground for flour","United States","1,000 bushels","1999","CY Jan-Dec",917797
"All Wheat","Wheat millfeed","Production","Wheat millfeed","United States","1,000 tons","1999","CY Jan-Dec",7040.124
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","1999","CY Jan-Dec",74.8110239337602
"All Wheat","Wheat flour","Extraction rate","Wheat flour extraction rate","United States","percent","2000","CY Jan-Dec",74.3084395562837
