Year,Month,Grain,Grade,Ktonnes,Elevator,Region,Global_region,Destination
2014,August,Wheat,FEED,0.1,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Wheat,FEED,10.5,TERMINALS,St. Lawrence,Africa,Tanzania
2014,August,Wheat,No.1 C PS,33,TERMINALS,Prince Rupert,Asia,Sri Lanka
2014,August,Wheat,No.1 CW RS,70.4,PRIMARY,Prairie Elevators,Western Hemisphere,United States
2014,August,Wheat,No.1 CW RS,15.4,TERMINALS,Vancouver,Asia,Bangladesh
2014,August,Wheat,No.1 CW RS,21,TERMINALS,Vancouver,Asia,China P.R.
2014,August,Wheat,No.1 CW RS,16,TERMINALS,Vancouver,Asia,Indonesia
2014,August,Wheat,No.1 CW RS,96.3,TERMINALS,Vancouver,Asia,Japan
2014,August,Wheat,No.1 CW RS,11,TERMINALS,Vancouver,Asia,South Korea
2014,August,Wheat,No.1 CW RS,24.2,TERMINALS,Vancouver,Asia,United Arab Emirates
2014,August,Wheat,No.1 CW RS,24.2,TERMINALS,Vancouver,Western Hemisphere,Bolivia
2014,August,Wheat,No.1 CW RS,15.5,TERMINALS,Vancouver,Western Hemisphere,Ecuador
2014,August,Wheat,No.1 CW RS,38.5,TERMINALS,Vancouver,Western Hemisphere,Peru
2014,August,Wheat,No.1 CW RS,75.8,TERMINALS,Prince Rupert,Asia,Indonesia
2014,August,Wheat,No.1 CW RS,44,TERMINALS,Prince Rupert,Asia,Sri Lanka
2014,August,Wheat,No.1 CW RS,27.3,TERMINALS,Prince Rupert,Western Hemisphere,Colombia
2014,August,Wheat,No.1 CW RS,31.5,TERMINALS,Prince Rupert,Western Hemisphere,Peru
2014,August,Wheat,No.1 CW RS,11.1,TERMINALS,Thunder Bay,Western Hemisphere,United States
2014,August,Wheat,No.1 CW RS,13.4,TERMINALS,St. Lawrence,Western Europe,United Kingdom
2014,August,Wheat,No.1 CW RS,3.3,TERMINALS,St. Lawrence,Western Hemisphere,Colombia
2014,August,Wheat,No.2 C PS,22,TERMINALS,Vancouver,Western Hemisphere,Chile
2014,August,Wheat,No.2 CE,5.5,TERMINALS,Bay & Lakes,Western Hemisphere,Mexico
2014,August,Wheat,No.2 CE,13.3,TERMINALS,Bay & Lakes,Western Hemisphere,United States
2014,August,Wheat,No.2 CE,11.1,TERMINALS,St. Lawrence,Western Hemisphere,Brazil
2014,August,Wheat,No.2 CW HWS,2.8,TERMINALS,St. Lawrence,Western Europe,United Kingdom
2014,August,Wheat,No.2 CW RS,33,TERMINALS,Vancouver,Western Europe,Spain
2014,August,Wheat,No.2 CW RS,143.3,TERMINALS,Vancouver,Asia,Bangladesh
2014,August,Wheat,No.2 CW RS,10.5,TERMINALS,Vancouver,Asia,China P.R.
2014,August,Wheat,No.2 CW RS,14.9,TERMINALS,Vancouver,Asia,Indonesia
2014,August,Wheat,No.2 CW RS,11.8,TERMINALS,Vancouver,Asia,Malaysia
2014,August,Wheat,No.2 CW RS,1.4,TERMINALS,Vancouver,Asia,Vietnam
2014,August,Wheat,No.2 CW RS,7.5,TERMINALS,Vancouver,Western Hemisphere,Bolivia
2014,August,Wheat,No.2 CW RS,18,TERMINALS,Vancouver,Western Hemisphere,Ecuador
2014,August,Wheat,No.2 CW RS,53.7,TERMINALS,Vancouver,Western Hemisphere,Peru
2014,August,Wheat,No.2 CW RS,72,TERMINALS,Prince Rupert,Africa,Sudan
2014,August,Wheat,No.2 CW RS,49.5,TERMINALS,Prince Rupert,Asia,Indonesia
2014,August,Wheat,No.2 CW RS,16.5,TERMINALS,Prince Rupert,Western Hemisphere,Colombia
2014,August,Wheat,No.2 CW RS,61.1,TERMINALS,Churchill,Africa,Nigeria
2014,August,Wheat,No.2 CW RS,32.5,TERMINALS,Churchill,Western Hemisphere,Colombia
2014,August,Wheat,No.2 CW RS,35.2,TERMINALS,Churchill,Western Hemisphere,Mexico
2014,August,Wheat,No.2 CW RS,26.3,TERMINALS,Thunder Bay,Western Europe,Italy
