"rel_path","name","ext","size_bytes","mtime","looks_lost","extract_status","content_excerpt"
"none/2F90DA00","2F90DA00","","93362","2012-08-22T21:38:02","False","skip:not_extractable",""
"none/3FC16600","3FC16600","","3279891","2018-07-18T23:15:02","False","skip:not_extractable",""
"none/62B8A000","62B8A000","","1494016","2005-05-17T17:03:21","False","skip:not_extractable",""
"none/63476400","63476400","","3843527","2018-07-18T14:01:45","True","skip:not_extractable",""
"none/887EA240","887EA240","","2991616","2004-03-01T15:41:11","False","skip:not_extractable",""
"none/8E086400","8E086400","","3843386","2018-07-18T14:02:37","False","skip:not_extractable",""
"none/AF8C8000","AF8C8000","","35328","2002-12-17T15:11:50","False","skip:not_extractable",""
"none/cr05_july","cr05_july","","203100","2005-07-21T18:54:37","False","skip:not_extractable",""
"none/css","css","","9556","2019-07-09T17:21:11","False","skip:not_extractable",""
"none/D2DAA240","D2DAA240","","2991616","2004-03-01T15:37:39","False","skip:not_extractable",""
"none/F4235000","F4235000","","4292608","2005-06-16T23:29:36","False","skip:not_extractable",""
"none/F6981000","F6981000","","27136","2003-04-09T02:20:12","False","skip:not_extractable",""
"none/HEDGE","HEDGE","","55296","1999-01-28T09:55:22","False","skip:not_extractable",""
"none/IndexerVolumeGuid","IndexerVolumeGuid","","76","2016-01-24T21:47:42","False","skip:not_extractable",""
"none/Laura Update","Laura Update","","23040","2004-02-03T14:47:00","False","skip:not_extractable",""
"none/LICENSE","LICENSE","","1424","2018-01-10T23:10:37","False","skip:not_extractable",""
"none/pde forecast for usvscd","pde forecast for usvscd","","10752","2007-05-30T22:39:16","False","skip:not_extractable",""
"none/py4e_peer_graded","py4e_peer_graded","","25","2018-01-10T23:19:24","False","skip:not_extractable",""
"none/scinv","scinv","","43232","2017-10-04T16:01:14","False","skip:not_extractable",""
"none/sign18ct1","sign18ct1","","253056","1999-03-08T19:41:14","False","skip:not_extractable",""
"none/Sign18ct2","Sign18ct2","","218460","1999-03-08T19:42:18","False","skip:not_extractable",""
"none/Sign18ct3","Sign18ct3","","201408","1999-03-08T19:42:32","False","skip:not_extractable",""
"none/STC Special","STC Special","","101376","1999-03-10T11:38:12","False","skip:not_extractable",""
"none/TempFile.f4235000","TempFile.f4235000",".f4235000","4292608","2022-10-13T03:47:52","False","skip:not_extractable",""
"none/TempFile.f6981000","TempFile.f6981000",".f6981000","27136","2022-10-13T03:47:52","False","skip:not_extractable",""
"none/TempFile.hedge","TempFile.hedge",".hedge","55296","2022-10-13T03:47:52","False","skip:not_extractable",""
"none/TempFile.laura update","TempFile.laura update",".laura update","23040","2022-10-13T03:47:52","False","skip:not_extractable",""
"none/TempFile.license","TempFile.license",".license","1424","2022-10-13T03:47:47","False","skip:not_extractable",""
"none/TempFile.py4e_peer_graded","TempFile.py4e_peer_graded",".py4e_peer_graded","25","2022-10-13T03:47:47","False","skip:not_extractable",""
"none/TempFile.stc special","TempFile.stc special",".stc special","101376","2022-10-13T03:47:52","False","skip:not_extractable",""
"none/tempfile_1.license","tempfile_1.license",".license","1424","2022-10-13T03:47:47","False","skip:not_extractable",""
"none/tempfile_2.license","tempfile_2.license",".license","1424","2022-10-13T03:47:47","False","skip:not_extractable",""
