"rel_path","name","ext","size_bytes","mtime","looks_lost","extract_status","content_excerpt"
"bmp/Beans Planted By Region.bmp","Beans Planted By Region.bmp",".bmp","4644416","2002-08-29T14:00:00","False","skip:not_extractable",""
"bmp/Charley.bmp","Charley.bmp",".bmp","1251330","2004-08-25T15:42:32","False","skip:not_extractable",""
"bmp/charley_1.bmp","charley_1.bmp",".bmp","1251330","2004-08-25T15:42:32","False","skip:not_extractable",""
"bmp/DSMAUG.BMP","DSMAUG.BMP",".bmp","1089550","2003-09-08T18:22:00","False","skip:not_extractable",""
"bmp/dsmaug_1.bmp","dsmaug_1.bmp",".bmp","1089550","2003-09-08T18:22:00","False","skip:not_extractable",""
"bmp/Economic Impacts.bmp","Economic Impacts.bmp",".bmp","2968192","2004-11-10T18:06:34","False","skip:not_extractable",""
"bmp/economic impacts_1.bmp","economic impacts_1.bmp",".bmp","2968192","2004-11-10T18:06:34","False","skip:not_extractable",""
"bmp/economic impacts_2.bmp","economic impacts_2.bmp",".bmp","2968192","2004-11-10T18:06:34","False","skip:not_extractable",""
"bmp/Hurricane Transport Model.bmp","Hurricane Transport Model.bmp",".bmp","797996","2004-11-10T16:29:32","False","skip:not_extractable",""
"bmp/hurricane transport model_1.bmp","hurricane transport model_1.bmp",".bmp","797996","2004-11-10T16:29:32","False","skip:not_extractable",""
"bmp/hurricane transport model_2.bmp","hurricane transport model_2.bmp",".bmp","797996","2004-11-10T16:29:32","False","skip:not_extractable",""
"bmp/IND.BMP","IND.BMP",".bmp","1089550","2003-09-08T18:23:00","False","skip:not_extractable",""
"bmp/INDSUMMER.bmp","INDSUMMER.bmp",".bmp","1089550","2003-09-08T18:06:10","False","skip:not_extractable",""
"bmp/indsummer_1.bmp","indsummer_1.bmp",".bmp","1089550","2003-09-08T18:06:10","False","skip:not_extractable",""
"bmp/ind_1.bmp","ind_1.bmp",".bmp","1089550","2003-09-08T18:23:00","False","skip:not_extractable",""
"bmp/Iowa Falls.bmp","Iowa Falls.bmp",".bmp","164870","2004-10-19T18:20:10","False","skip:not_extractable",""
"bmp/iowa falls_1.bmp","iowa falls_1.bmp",".bmp","164870","2004-10-19T18:20:10","False","skip:not_extractable",""
"bmp/Lakota.bmp","Lakota.bmp",".bmp","164870","2004-10-19T17:58:44","False","skip:not_extractable",""
"bmp/lakota_1.bmp","lakota_1.bmp",".bmp","164870","2004-10-19T17:58:44","False","skip:not_extractable",""
"bmp/lost file name (39).bmp","lost file name (39).bmp",".bmp","921654","2022-10-13T01:47:01","False","skip:not_extractable",""
"bmp/lost file name (40).bmp","lost file name (40).bmp",".bmp","921654","2022-10-13T01:47:01","False","skip:not_extractable",""
"bmp/lost file name (41).bmp","lost file name (41).bmp",".bmp","921654","2022-10-13T01:47:01","False","skip:not_extractable",""
"bmp/Mason City.bmp","Mason City.bmp",".bmp","164870","2004-10-19T17:50:26","False","skip:not_extractable",""
"bmp/mason city_1.bmp","mason city_1.bmp",".bmp","164870","2004-10-19T17:50:26","False","skip:not_extractable",""
"bmp/Medium Term Adjustments.bmp","Medium Term Adjustments.bmp",".bmp","3556188","2004-11-10T18:05:00","False","skip:not_extractable",""
"bmp/medium term adjustments_1.bmp","medium term adjustments_1.bmp",".bmp","3556188","2004-11-10T18:05:00","False","skip:not_extractable",""
"bmp/medium term adjustments_2.bmp","medium term adjustments_2.bmp",".bmp","3556188","2004-11-10T18:05:00","False","skip:not_extractable",""
"bmp/Probability of Soybean Rust Outbreak.bmp","Probability of Soybean Rust Outbreak.bmp",".bmp","2506988","2004-11-10T18:03:18","False","skip:not_extractable",""
"bmp/probability of soybean rust outbreak_1.bmp","probability of soybean rust outbreak_1.bmp",".bmp","2506988","2004-11-10T18:03:18","False","skip:not_extractable",""
"bmp/probability of soybean rust outbreak_2.bmp","probability of soybean rust outbreak_2.bmp",".bmp","2506988","2004-11-10T18:03:18","False","skip:not_extractable",""
"bmp/Steamboat Rock.bmp","Steamboat Rock.bmp",".bmp","164870","2004-10-19T18:13:36","False","skip:not_extractable",""
"bmp/steamboat rock_1.bmp","steamboat rock_1.bmp",".bmp","164870","2004-10-19T18:13:36","False","skip:not_extractable",""
"gif/00 Beans.gif","00 Beans.gif",".gif","16636","2004-08-31T17:26:54","False","skip:not_extractable",""
"gif/00 beans_1.gif","00 beans_1.gif",".gif","16636","2004-08-31T17:26:54","False","skip:not_extractable",""
"gif/00 Corn.gif","00 Corn.gif",".gif","16336","2004-08-31T17:18:00","False","skip:not_extractable",""
"gif/00 corn_1.gif","00 corn_1.gif",".gif","16336","2004-08-31T17:18:00","False","skip:not_extractable",""
"gif/01 Beans.gif","01 Beans.gif",".gif","16550","2004-08-31T17:27:18","False","skip:not_extractable",""
"gif/01 beans_1.gif","01 beans_1.gif",".gif","16550","2004-08-31T17:27:18","False","skip:not_extractable",""
"gif/01 Corn.gif","01 Corn.gif",".gif","16276","2004-08-31T17:18:26","False","skip:not_extractable",""
"gif/01 corn_1.gif","01 corn_1.gif",".gif","16276","2004-08-31T17:18:26","False","skip:not_extractable",""
"gif/02 Beans.gif","02 Beans.gif",".gif","16734","2004-08-31T17:27:48","False","skip:not_extractable",""
"gif/02 beans_1.gif","02 beans_1.gif",".gif","16734","2004-08-31T17:27:48","False","skip:not_extractable",""
"gif/02 Corn.gif","02 Corn.gif",".gif","16821","2004-08-31T17:18:56","False","skip:not_extractable",""
"gif/02 corn_1.gif","02 corn_1.gif",".gif","16821","2004-08-31T17:18:56","False","skip:not_extractable",""
"gif/03 Beans.gif","03 Beans.gif",".gif","22887","2004-08-31T17:28:28","False","skip:not_extractable",""
"gif/03 beans_1.gif","03 beans_1.gif",".gif","22887","2004-08-31T17:28:28","False","skip:not_extractable",""
"gif/03 Corn.gif","03 Corn.gif",".gif","23115","2004-08-31T17:19:52","False","skip:not_extractable",""
"gif/03 corn_1.gif","03 corn_1.gif",".gif","23115","2004-08-31T17:19:52","False","skip:not_extractable",""
"gif/04 Bean Yields and Production.gif","04 Bean Yields and Production.gif",".gif","24491","2004-08-31T17:43:54","False","skip:not_extractable",""
"gif/04 bean yields and production_1.gif","04 bean yields and production_1.gif",".gif","24491","2004-08-31T17:43:54","False","skip:not_extractable",""
