page_id	Name	Model	Spreadsheet/File	Sheet/Tab	Setup step	Status	Notes	Spreadsheet link
350ead02-3dee-810a-ba9e-f894d9bab043	Malaysia Palm Margins	Global Oilseed Crush Margins			Template	Not started	Margin model	
350ead02-3dee-81d6-83a1-f8defa69318d	China Crush Margins (Domestic + Import)	Global Oilseed Crush Margins			Not Started	Not started	Margin model	
350ead02-3dee-8177-a38e-d9fa139a4e58	US Crush Margins	Global Oilseed Crush Margins			Not Started	Not started	Margin model	
350ead02-3dee-81c0-a7ae-dab08e392fb5	Brazil Crush Margins	Global Oilseed Crush Margins			Not Started	Not started	Margin model	
350ead02-3dee-8162-b23f-f26a3b0c0664	Biodiesel - EU - Balance	Biodiesel/Renewable Diesel			Not Started	Not started	TBD	
350ead02-3dee-8126-b2fa-ed5b8ee5fe32	Biodiesel - Brazil - Balance	Biodiesel/Renewable Diesel			Not Started	Not started	TBD	
350ead02-3dee-8183-9ea0-e7333763d07a	Biodiesel - United States - Trade	Biodiesel/Renewable Diesel			Template	Not started		
350ead02-3dee-81b2-bcc9-c1b9fe87e704	Biodiesel - United States - Balance	Biodiesel/Renewable Diesel			Template	Not started		
350ead02-3dee-8180-999b-d16474ad914d	Biodiesel - World - Trade	Biodiesel/Renewable Diesel			Not Started	Not started		
350ead02-3dee-81ab-b13e-e9600ac22774	Biodiesel - World - Balance	Biodiesel/Renewable Diesel			Not Started	Not started		
350ead02-3dee-8193-b0b8-feaf4c997d61	Co-Products Production Aggregate - United States - Balance	Ethanol Co-Products			Not Started	Not started	Aggregate	
350ead02-3dee-816d-b983-eec21f1fe4c3	Corn Gluten Feed - United States - Balance	Ethanol Co-Products			Not Started	Not started		
350ead02-3dee-816e-8a9c-dbb3001dfc8d	Corn Gluten Meal - United States - Balance	Ethanol Co-Products			Not Started	Not started		
350ead02-3dee-8186-bd2f-f8627a66a503	DDG/DDGS - United States - Balance	Ethanol Co-Products			Not Started	Not started		
350ead02-3dee-8175-bdd9-fd7731b68f3e	Ethanol - Brazil - Balance	Ethanol			Not Started	Not started	Linked to sugar and corn; Mato Grosso/north	
350ead02-3dee-81cc-b80b-c157bc3f997f	Ethanol - World - Balance	Ethanol			Not Started	Not started	Sourced from EIA World Ethanol	
350ead02-3dee-8160-9570-feea81003052	Ethanol - United States - Balance	Ethanol			Not Started	Not started		
350ead02-3dee-8199-8837-fae6f3d1cfac	Sugar - Thailand - Balance	Sugar			Not Started	Not started	Tier 2	
350ead02-3dee-81f5-a81b-e7e26fc8832b	Sugar - EU - Balance	Sugar			Not Started	Not started	Tier 2	
350ead02-3dee-81c9-897d-c276afdddb39	Sugar - United States - Balance	Sugar			Not Started	Not started	Tier 2	
350ead02-3dee-81f0-921c-ef9924eb6bc2	Sugar - India - Balance	Sugar			Not Started	Not started	Tier 1	
350ead02-3dee-8137-8141-c0f0362bf3d3	Sugar - Brazil - Balance	Sugar			Not Started	Not started	Tier 1	
350ead02-3dee-81cc-8a07-d0e728625b61	Sugar - World - Balance	Sugar			Not Started	Not started	Tier 1	
350ead02-3dee-8102-86d2-e85420cc6088	Rice - Brazil - Balance	Rice			Not Started	Not started	Tier 3	
