ticker,filing_dir,form,filing_date,status,elapsed_sec,error
ADM,000000708422000003_8-K_2022-01-25,8-K,2022-01-25,skipped,,
ADM,000000708422000008_10-K_2022-02-17,10-K,2022-02-17,skipped,,
ADM,000000708422000011_8-K_2022-04-26,8-K,2022-04-26,ok,67.1,
ADM,000000708422000013_10-Q_2022-04-26,10-Q,2022-04-26,ok,118.0,
ADM,000000708422000021_8-K_2022-07-26,8-K,2022-07-26,ok,70.6,
ADM,000000708422000023_10-Q_2022-07-26,10-Q,2022-07-26,ok,151.7,
ADM,000000708422000026_8-K_2022-10-25,8-K,2022-10-25,ok,69.3,
ADM,000000708422000029_10-Q_2022-10-25,10-Q,2022-10-25,ok,134.4,
ADM,000000708423000004_8-K_2023-01-26,8-K,2023-01-26,ok,82.9,
ADM,000000708423000010_10-K_2023-02-14,10-K,2023-02-14,ok,435.0,
ADM,000000708423000014_8-K_2023-04-25,8-K,2023-04-25,ok,62.1,
ADM,000000708423000017_10-Q_2023-04-25,10-Q,2023-04-25,ok,118.3,
ADM,000000708423000024_8-K_2023-07-25,8-K,2023-07-25,ok,70.9,
ADM,000000708423000028_10-Q_2023-07-25,10-Q,2023-07-25,ok,130.0,
ADM,000000708423000037_8-K_2023-10-24,8-K,2023-10-24,ok,80.3,
ADM,000000708423000039_10-Q_2023-10-24,10-Q,2023-10-24,ok,135.6,
ADM,000000708424000009_10-K_2024-03-12,10-K,2024-03-12,ok,656.3,
ADM,000000708424000010_8-K_2024-03-12,8-K,2024-03-12,ok,79.1,
ADM,000000708424000015_8-K_2024-04-30,8-K,2024-04-30,ok,69.3,
ADM,000000708424000017_10-Q_2024-04-30,10-Q,2024-04-30,ok,119.4,
ADM,000000708424000024_8-K_2024-07-30,8-K,2024-07-30,ok,72.4,
ADM,000000708424000026_10-Q_2024-07-30,10-Q,2024-07-30,ok,129.6,
ADM,000000708424000031_8-K_2024-11-05,8-K,2024-11-05,ok,66.2,
ADM,000000708424000034_8-K_2024-11-05,8-K,2024-11-05,ok,33.3,
ADM,000000708424000054_10-Q_2024-11-18,10-Q,2024-11-18,ok,25.5,
ADM,000000708424000056_8-K_2024-11-18,8-K,2024-11-18,ok,71.0,
ADM,000000708425000005_8-K_2025-02-04,8-K,2025-02-04,ok,67.7,
ADM,000000708425000011_10-K_2025-02-20,10-K,2025-02-20,ok,489.8,
ADM,000000708425000020_8-K_2025-05-06,8-K,2025-05-06,ok,69.0,
ADM,000000708425000022_10-Q_2025-05-06,10-Q,2025-05-06,ok,24.4,
ADM,000000708425000040_8-K_2025-08-05,8-K,2025-08-05,ok,68.5,
ADM,000000708425000042_10-Q_2025-08-05,10-Q,2025-08-05,ok,23.9,
ADM,000000708425000049_8-K_2025-11-04,8-K,2025-11-04,ok,67.0,
ADM,000000708425000052_10-Q_2025-11-04,10-Q,2025-11-04,ok,24.2,
ADM,000000708426000005_8-K_2026-02-03,8-K,2026-02-03,ok,65.5,
ADM,000000708426000011_10-K_2026-02-17,10-K,2026-02-17,ok,504.8,
ADM,000000708426000021_8-K_2026-05-05,8-K,2026-05-05,skipped,,
ADM,000000708426000023_10-Q_2026-05-05,10-Q,2026-05-05,ok,23.6,
ADM,000119312522028314_8-K_2022-02-04,8-K,2022-02-04,ok,30.4,
ADM,000119312522057907_8-K_2022-02-28,8-K,2022-02-28,ok,44.6,
ADM,000119312522064303_8-K_2022-03-03,8-K,2022-03-03,ok,34.6,
ADM,000119312522069255_8-K_2022-03-08,8-K,2022-03-08,ok,28.7,
ADM,000119312522100320_8-K_2022-04-08,8-K,2022-04-08,ok,37.0,
ADM,000119312522143806_8-K_2022-05-06,8-K,2022-05-06,ok,28.6,
ADM,000119312522211402_8-K_2022-08-03,8-K,2022-08-03,ok,36.4,
ADM,000119312522277900_8-K_2022-11-04,8-K,2022-11-04,ok,39.7,
ADM,000119312523089544_8-K_2023-04-03,8-K,2023-04-03,ok,41.9,
ADM,000119312523138242_8-K_2023-05-08,8-K,2023-05-08,ok,29.5,
ADM,000119312523275456_8-K_2023-11-13,8-K,2023-11-13,ok,36.9,
ADM,000119312524011608_8-K_2024-01-22,8-K,2024-01-22,ok,55.3,
ADM,000119312524016857_8-K_2024-01-26,8-K,2024-01-26,ok,34.0,
ADM,000119312524072814_8-K_2024-03-20,8-K,2024-03-20,ok,32.8,
ADM,000119312524104863_8-K_2024-04-22,8-K,2024-04-22,ok,41.0,
ADM,000119312524149162_8-K_2024-05-29,8-K,2024-05-29,ok,28.6,
ADM,000119312524177070_8-K_2024-07-10,8-K,2024-07-10,ok,47.5,
ADM,000119312524252151_8-K_2024-11-06,8-K,2024-11-06,ok,36.3,
ADM,000119312524268996_8-K_2024-12-02,8-K,2024-12-02,ok,45.4,
ADM,000119312525015021_8-K_2025-01-29,8-K,2025-01-29,ok,39.9,
ADM,000119312525119567_8-K_2025-05-14,8-K,2025-05-14,ok,29.3,
ADM,000119312525213422_8-K_2025-09-23,8-K,2025-09-23,ok,56.5,
ADM,000119312526025560_8-K_2026-01-28,8-K,2026-01-28,ok,42.7,
ADM,000119312526100440_8-K_2026-03-10,8-K,2026-03-10,ok,32.7,
