ticker,cik,form,filing_date,report_date,accession,items,primary_doc_description,primary_document,primary_path,filing_dir,status,error
ADM,7084,8-K,2022-01-25,2022-01-25,0000007084-22-000003,"2.02,9.01",8-K,adm-20220125.htm,domain_knowledge\company_reports\ADM\000000708422000003_8-K_2022-01-25\adm-20220125.htm,domain_knowledge\company_reports\ADM\000000708422000003_8-K_2022-01-25,ok,
ADM,7084,10-K,2022-02-17,2021-12-31,0000007084-22-000008,,10-K,adm-20211231.htm,domain_knowledge\company_reports\ADM\000000708422000008_10-K_2022-02-17\adm-20211231.htm,domain_knowledge\company_reports\ADM\000000708422000008_10-K_2022-02-17,ok,
ADM,7084,8-K,2022-04-26,2022-04-26,0000007084-22-000011,"2.02,9.01",8-K,adm-20220426.htm,domain_knowledge\company_reports\ADM\000000708422000011_8-K_2022-04-26\adm-20220426.htm,domain_knowledge\company_reports\ADM\000000708422000011_8-K_2022-04-26,ok,
ADM,7084,10-Q,2022-04-26,2022-03-31,0000007084-22-000013,,10-Q,adm-20220331.htm,domain_knowledge\company_reports\ADM\000000708422000013_10-Q_2022-04-26\adm-20220331.htm,domain_knowledge\company_reports\ADM\000000708422000013_10-Q_2022-04-26,ok,
ADM,7084,8-K,2022-07-26,2022-07-26,0000007084-22-000021,"2.02,9.01",8-K,adm-20220726.htm,domain_knowledge\company_reports\ADM\000000708422000021_8-K_2022-07-26\adm-20220726.htm,domain_knowledge\company_reports\ADM\000000708422000021_8-K_2022-07-26,ok,
ADM,7084,10-Q,2022-07-26,2022-06-30,0000007084-22-000023,,10-Q,adm-20220630.htm,domain_knowledge\company_reports\ADM\000000708422000023_10-Q_2022-07-26\adm-20220630.htm,domain_knowledge\company_reports\ADM\000000708422000023_10-Q_2022-07-26,ok,
ADM,7084,8-K,2022-10-25,2022-10-25,0000007084-22-000026,"2.02,9.01",8-K,adm-20221025.htm,domain_knowledge\company_reports\ADM\000000708422000026_8-K_2022-10-25\adm-20221025.htm,domain_knowledge\company_reports\ADM\000000708422000026_8-K_2022-10-25,ok,
ADM,7084,10-Q,2022-10-25,2022-09-30,0000007084-22-000029,,10-Q,adm-20220930.htm,domain_knowledge\company_reports\ADM\000000708422000029_10-Q_2022-10-25\adm-20220930.htm,domain_knowledge\company_reports\ADM\000000708422000029_10-Q_2022-10-25,ok,
ADM,7084,8-K,2023-01-26,2023-01-26,0000007084-23-000004,"2.02,9.01",8-K,adm-20230126.htm,domain_knowledge\company_reports\ADM\000000708423000004_8-K_2023-01-26\adm-20230126.htm,domain_knowledge\company_reports\ADM\000000708423000004_8-K_2023-01-26,ok,
ADM,7084,10-K,2023-02-14,2022-12-31,0000007084-23-000010,,10-K,adm-20221231.htm,domain_knowledge\company_reports\ADM\000000708423000010_10-K_2023-02-14\adm-20221231.htm,domain_knowledge\company_reports\ADM\000000708423000010_10-K_2023-02-14,ok,
ADM,7084,8-K,2023-04-25,2023-04-25,0000007084-23-000014,"2.02,9.01",8-K,adm-20230425.htm,domain_knowledge\company_reports\ADM\000000708423000014_8-K_2023-04-25\adm-20230425.htm,domain_knowledge\company_reports\ADM\000000708423000014_8-K_2023-04-25,ok,
ADM,7084,10-Q,2023-04-25,2023-03-31,0000007084-23-000017,,10-Q,adm-20230331.htm,domain_knowledge\company_reports\ADM\000000708423000017_10-Q_2023-04-25\adm-20230331.htm,domain_knowledge\company_reports\ADM\000000708423000017_10-Q_2023-04-25,ok,
ADM,7084,8-K,2023-07-25,2023-07-25,0000007084-23-000024,"2.02,9.01",8-K,adm-20230725.htm,domain_knowledge\company_reports\ADM\000000708423000024_8-K_2023-07-25\adm-20230725.htm,domain_knowledge\company_reports\ADM\000000708423000024_8-K_2023-07-25,ok,
ADM,7084,10-Q,2023-07-25,2023-06-30,0000007084-23-000028,,10-Q,adm-20230630.htm,domain_knowledge\company_reports\ADM\000000708423000028_10-Q_2023-07-25\adm-20230630.htm,domain_knowledge\company_reports\ADM\000000708423000028_10-Q_2023-07-25,ok,
ADM,7084,8-K,2023-10-24,2023-10-24,0000007084-23-000037,"2.02,9.01",8-K,adm-20231024.htm,domain_knowledge\company_reports\ADM\000000708423000037_8-K_2023-10-24\adm-20231024.htm,domain_knowledge\company_reports\ADM\000000708423000037_8-K_2023-10-24,ok,
ADM,7084,10-Q,2023-10-24,2023-09-30,0000007084-23-000039,,10-Q,adm-20230930.htm,domain_knowledge\company_reports\ADM\000000708423000039_10-Q_2023-10-24\adm-20230930.htm,domain_knowledge\company_reports\ADM\000000708423000039_10-Q_2023-10-24,ok,
ADM,7084,10-K,2024-03-12,2023-12-31,0000007084-24-000009,,10-K,adm-20231231.htm,domain_knowledge\company_reports\ADM\000000708424000009_10-K_2024-03-12\adm-20231231.htm,domain_knowledge\company_reports\ADM\000000708424000009_10-K_2024-03-12,ok,
