ticker,cik,form,filing_date,report_date,accession,items,primary_doc_description,primary_document,primary_path,filing_dir,status,error
BG,1996862,8-K,2024-04-16,2024-04-12,0001104659-24-047771,"1.01,2.03,7.01,9.01",FORM 8-K,tm2411681d1_8k.htm,domain_knowledge\company_reports\BG\000110465924047771_8-K_2024-04-16\tm2411681d1_8k.htm,domain_knowledge\company_reports\BG\000110465924047771_8-K_2024-04-16,ok,
BG,1996862,8-K,2024-09-09,2024-09-09,0001104659-24-097990,"8.01,9.01",FORM 8-K,tm2419986d1_8k.htm,domain_knowledge\company_reports\BG\000110465924097990_8-K_2024-09-09\tm2419986d1_8k.htm,domain_knowledge\company_reports\BG\000110465924097990_8-K_2024-09-09,ok,
BG,1996862,8-K,2024-09-09,2024-09-09,0001104659-24-097993,"8.01,9.01",FORM 8-K,tm2419986d2_8k.htm,domain_knowledge\company_reports\BG\000110465924097993_8-K_2024-09-09\tm2419986d2_8k.htm,domain_knowledge\company_reports\BG\000110465924097993_8-K_2024-09-09,ok,
BG,1996862,8-K,2024-09-11,2024-09-10,0001104659-24-098914,"8.01,9.01",FORM 8-K,tm2419986d3_8k.htm,domain_knowledge\company_reports\BG\000110465924098914_8-K_2024-09-11\tm2419986d3_8k.htm,domain_knowledge\company_reports\BG\000110465924098914_8-K_2024-09-11,ok,
BG,1996862,8-K,2024-09-17,2024-09-17,0001104659-24-100657,"8.01,9.01",FORM 8-K,tm2419986d4_8k.htm,domain_knowledge\company_reports\BG\000110465924100657_8-K_2024-09-17\tm2419986d4_8k.htm,domain_knowledge\company_reports\BG\000110465924100657_8-K_2024-09-17,ok,
BG,1996862,8-K,2024-09-23,2024-09-20,0001104659-24-101893,"8.01,9.01",FORM 8-K,tm2424424d1_8k.htm,domain_knowledge\company_reports\BG\000110465924101893_8-K_2024-09-23\tm2424424d1_8k.htm,domain_knowledge\company_reports\BG\000110465924101893_8-K_2024-09-23,ok,
BG,1996862,8-K,2024-10-07,2024-10-07,0001104659-24-106474,"8.01,9.01",FORM 8-K,tm2425685d1_8k.htm,domain_knowledge\company_reports\BG\000110465924106474_8-K_2024-10-07\tm2425685d1_8k.htm,domain_knowledge\company_reports\BG\000110465924106474_8-K_2024-10-07,ok,
BG,1996862,8-K,2024-10-30,2024-10-30,0001104659-24-112397,"8.01,9.01",FORM 8-K,tm2427035d1_8k.htm,domain_knowledge\company_reports\BG\000110465924112397_8-K_2024-10-30\tm2427035d1_8k.htm,domain_knowledge\company_reports\BG\000110465924112397_8-K_2024-10-30,ok,
BG,1996862,8-K,2025-07-02,2025-07-02,0001104659-25-065405,"1.01,2.01,5.02,7.01,9.01",FORM 8-K,tm2518720d1_8k.htm,domain_knowledge\company_reports\BG\000110465925065405_8-K_2025-07-02\tm2518720d1_8k.htm,domain_knowledge\company_reports\BG\000110465925065405_8-K_2025-07-02,ok,
BG,1996862,8-K,2025-08-04,2025-07-31,0001104659-25-073672,"8.01,9.01",FORM 8-K,tm2521986d5_8k.htm,domain_knowledge\company_reports\BG\000110465925073672_8-K_2025-08-04\tm2521986d5_8k.htm,domain_knowledge\company_reports\BG\000110465925073672_8-K_2025-08-04,ok,
