ticker,cik,form,filing_date,report_date,accession,items,primary_doc_description,primary_document,primary_path,filing_dir,status,error
CVX,93410,10-K,2022-02-24,2021-12-31,0000093410-22-000019,,10-K,cvx-20211231.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341022000019_10-K_2022-02-24\cvx-20211231.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341022000019_10-K_2022-02-24,ok,
CVX,93410,10-K,2023-02-23,2022-12-31,0000093410-23-000009,,10-K,cvx-20221231.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341023000009_10-K_2023-02-23\cvx-20221231.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341023000009_10-K_2023-02-23,ok,
CVX,93410,8-K,2024-01-02,2024-01-02,0000093410-24-000002,2.02,8-K,cvx-20240102.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000002_8-K_2024-01-02\cvx-20240102.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000002_8-K_2024-01-02,ok,
CVX,93410,8-K,2024-02-02,2024-02-02,0000093410-24-000006,"2.02,9.01",8-K,cvx-20240202.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000006_8-K_2024-02-02\cvx-20240202.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000006_8-K_2024-02-02,ok,
CVX,93410,8-K,2024-02-02,2024-01-30,0000093410-24-000007,"5.02,9.01",8-K,cvx-20240130.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000007_8-K_2024-02-02\cvx-20240130.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000007_8-K_2024-02-02,ok,
CVX,93410,10-K,2024-02-26,2023-12-31,0000093410-24-000013,,10-K,cvx-20231231.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000013_10-K_2024-02-26\cvx-20231231.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000013_10-K_2024-02-26,ok,
CVX,93410,8-K,2024-04-26,2024-04-26,0000093410-24-000017,"2.02,9.01",8-K,cvx-20240426.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000017_8-K_2024-04-26\cvx-20240426.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000017_8-K_2024-04-26,ok,
CVX,93410,10-Q,2024-05-02,2024-03-31,0000093410-24-000021,,10-Q,cvx-20240331.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000021_10-Q_2024-05-02\cvx-20240331.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000021_10-Q_2024-05-02,ok,
CVX,93410,8-K,2024-05-31,2024-05-29,0000093410-24-000028,5.07,8-K,cvx-20240529.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000028_8-K_2024-05-31\cvx-20240529.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000028_8-K_2024-05-31,ok,
CVX,93410,8-K,2024-08-02,2024-08-02,0000093410-24-000035,"2.02,9.01",8-K,cvx-20240802.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000035_8-K_2024-08-02\cvx-20240802.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000035_8-K_2024-08-02,ok,
CVX,93410,8-K,2024-08-02,2024-07-31,0000093410-24-000037,"5.02,7.01,9.01",8-K,cvx-20240731.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000037_8-K_2024-08-02\cvx-20240731.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000037_8-K_2024-08-02,ok,
CVX,93410,10-Q,2024-08-07,2024-06-30,0000093410-24-000040,,10-Q,cvx-20240630.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000040_10-Q_2024-08-07\cvx-20240630.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000040_10-Q_2024-08-07,ok,
CVX,93410,8-K,2024-10-07,2024-10-04,0000093410-24-000052,"8.01,9.01",8-K,cvx-20241004.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000052_8-K_2024-10-07\cvx-20241004.htm,domain_knowledge\company_reports\CVX\public_reports\sec_filings\000009341024000052_8-K_2024-10-07,ok,
