commodity,descriptn,abbreviatn,unit_qy1,unit_qy2,sitc,end_use,naics,usda,hitech
0101210000,"HORSES, PUREBRED BREEDING, LIVE","HORSES, PUREBRED BREEDING, LIVE",NO,,00150,10140,112920,0,00
0101290000,"HORSES, LIVE, EXCEPT PUREBRED BREEDING","HORSES, LIVE, EXCEPT PUREBRED BREEDING",NO,,00150,10140,112920,0,00
0101300000,"ASSES, LIVE","ASSES, LIVE",NO,,00150,10140,112920,0,00
0101900000,"MULES AND HINNIES, LIVE","MULES AND HINNIES, LIVE",NO,,00150,10140,112920,0,00
0102210010,"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY","CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY",NO,,00111,10140,1121XX,0,00
0102210020,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY","CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY",NO,,00111,10140,1121XX,0,00
0102210030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY","CATTLE, PUREBRED BREEDING, MALE, LIVE, EXC DAIRY",NO,,00111,10140,1121XX,0,00
0102210050,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXCEPT DAIRY","CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXC DAIRY",NO,,00111,10140,1121XX,0,00
0102290000,"CATTLE, LIVE, OTHER THAN PUREBRED BREEDING ANIMALS","CATTLE, LIVE, OTHER THAN PUREBRED BREEDING ANIMALS",NO,,00119,00300,1121XX,0,00
0102310000,"BUFFALO, LIVE, PUREBRED BREEDING","BUFFALO, LIVE, PUREBRED BREEDING",NO,,00111,10140,1121XX,0,00
0102390000,"BUFFALO, LIVE, NESOI","BUFFALO, LIVE, NESOI",NO,,00119,00300,1121XX,0,00
0102900002,"BOVINES, LIVE, NESOI","BOVINES, LIVE, NESOI",NO,,00119,00300,1121XX,0,00
0103100000,"SWINE, PUREBRED BREEDING, LIVE","SWINE, PUREBRED BREEDING, LIVE",NO,,00131,10140,112210,0,00
0103910000,"SWINE, WEIGHING LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","SWINE, LT 50 KG EA, LIVE, EXC PUREBRED BREEDING",NO,,00139,00300,112210,0,00
0103920000,"SWINE, LIVE, GT=50KG EA, EXC PUREBRED BREEDING","SWINE, LIVE, GT=50KG EA, EXC PUREBRED BREEDING",NO,,00139,00300,112210,0,00
0104100000,"SHEEP, LIVE","SHEEP, LIVE",NO,,00121,00300,112410,0,00
0104200000,"GOATS, LIVE","GOATS, LIVE",NO,,00122,00300,112420,0,00
0105110010,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE)","CHICKENS, LIVE, LT=185 G, BREEDING STOCK, EGG-TYPE",NO,,00141,10140,1123XX,0,00
0105110020,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, BROILER-TYPE (MEAT-TYPE)","CHICKEN, LIVE, LT=185 G, BREEDING STOCK, MEAT-TYPE",NO,,00141,10140,1123XX,0,00
0105110040,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, EXCEPT BREEDING STOCK","CHICKENS, LIVE, LT=185 G EACH, EXC BREEDING STOCK",NO,,00141,00300,1123XX,0,00
0105120000,"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH","TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",NO,,00141,00300,1123XX,0,00
0105130000,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH","DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",NO,,00141,00300,1123XX,0,00
0105140000,"GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH","GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH",NO,,00141,00300,1123XX,0,00
0105150000,"GUINEA FOWLS, LIVE, WEIGHING NOT MORE THAN 185 G EACH","GUINEA FOWLS, LIVE, LT= 185 G EACH",NO,,00141,00300,1123XX,0,00
0105940000,"CHICKENS, LIVE, WEIGHING 185 G OR MORE EACH","CHICKENS, LIVE, WEIGHING 185 G OR MORE EACH",NO,,00149,00300,1123XX,0,00
0105990000,"POULTRY, LIVE, WEIGHING 185 G OR MORE EACH, NESOI","POULTRY, LIVE, WEIGHING 185 G OR MORE EACH, NESOI",NO,,00149,00300,1123XX,0,00
0106110000,"PRIMATES, LIVE","PRIMATES, LIVE",NO,,00190,60010,112990,0,00
0106120100,"WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; SEALS, SEA LIONS AND WALRUSES, LIVE","WHALES, DOLPHINS, MANATEES, SEALS, ETC., LIVE",NO,,00190,60010,112990,0,00
0106130000,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE","CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",NO,,00190,10140,112990,0,00
0106140000,"RABBITS AND HARES, LIVE","RABBITS AND HARES, LIVE",NO,,00190,10140,112930,0,00
0106199100,"MAMMALS, LIVE, EXCEPT PRIMATES, WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; RABBITS AND HARES; OR CAMELS, NESOI","MAMMALS, LIVE, NESOI",NO,,00190,10140,112990,0,00
0106200000,"REPTILES (INCLUDING SNAKES AND TURTLES), LIVE","REPTILES (INCLUDING SNAKES AND TURTLES), LIVE",NO,,00190,10140,112990,0,00
0106310000,"BIRDS OF PREY, LIVE","BIRDS OF PREY, LIVE",NO,,00190,60010,112990,0,00
0106320000,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS), LIVE","PSITTACIFORME-PARROT,PARAKEET,MACAW,COCKATOO, LIVE",NO,,00190,10140,112990,0,00
0106330000,"OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE","OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE",NO,,00190,10140,112990,0,00
0106390100,"BIRDS, LIVE, NESOI","BIRDS, LIVE, NESOI",NO,,00190,10140,112990,0,00
0106410000,"BEES, LIVE","BEES, LIVE",KG,,00190,10140,112910,0,00
0106490000,"INSECTS, LIVE, EXCEPT BEES","INSECTS, LIVE, NESOI",KG,,00190,60010,112990,0,00
0106900100,"ANIMALS, LIVE, EXCEPT MAMMALS, REPTILES, BIRDS OR INSECTS, NESOI","ANIMALS, LIVE, NESOI",KG,,00190,60010,112990,0,00
0201100010,"CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED","CARCASSES/HALF-CARCASSES OF VEAL, FRESH OR CHILLED",KG,,01111,00300,311611,0,00
