commodity,descriptn,abbreviatn,unit_qy1,unit_qy2,sitc,end_use,naics,usda,hitech
0101210010,"HORSES, LIVE, PUREBRED BREEDING MALE","HORSES, LIVE, PUREBRED BREEDING MALE",NO,,00150,12060,112920,0,00
0101210020,"HORSES, LIVE, PUREBRED BREEDING FEMALE","HORSES, LIVE, PUREBRED BREEDING FEMALE",NO,,00150,12060,112920,0,00
0101290010,"HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER","HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER",NO,,00150,00100,112920,0,00
0101290090,"HORSES, LIVE, NESOI","HORSES, LIVE, NESOI",NO,,00150,12060,112920,0,00
0101300000,"ASSES, LIVE","ASSES, LIVE",NO,,00150,12060,112920,0,00
0101903000,"MULES AND HINNIES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE","MULES AND HINNIES, FOR IMMEDIATE SLAUGHTER, LIVE",NO,,00150,00100,112920,0,00
0101904000,"MULES AND HINNIES, LIVE, NESOI","MULES AND HINNIES, LIVE, NESOI",NO,,00150,12060,112920,0,00
0102210010,"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY","CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY",NO,,00111,12060,1121XX,0,00
0102210020,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY","CATTLE, LIVE, PUREBRED BREEDING FEMALE, DAIRY",NO,,00111,12060,1121XX,0,00
0102210030,"CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY","CATTLE, PUREBRED BREEDING, MALE, LIVE, EXC DAIRY",NO,,00111,12060,1121XX,0,00
0102210050,"CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXCEPT DAIRY","CATTLE, LIVE, PUREBRED BREEDING FEMALE, EXC DAIRY",NO,,00111,12060,1121XX,0,00
0102292011,"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","CATTLE, LIVE, DAIRY, LT 90 KG EA, NESOI",NO,KG,00119,12060,1121XX,0,00
0102292012,"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING","CATTLE, LIVE, DAIRY, GT=90 KG EA, NESOI",NO,KG,00119,12060,1121XX,0,00
0102294024,"CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294028,"CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294034,"CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, MALE, 90 KG TO LT 200 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294038,"CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, FEMALE, 90 KG TO LT 200 KG, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294054,"CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, MALE, 200 KG TO LT 320 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294058,"CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","CATTLE, LIVE, FEMALE, 200 KG TO LT 320 KG, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294062,"STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","STEERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294064,"BULLS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","BULLS, LIVE, IMMEDIATE SLAUGHTER, GT=320 KG NESOI",NO,KG,00119,00100,1121XX,0,00
0102294066,"COWS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","COWS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG EA NESOI",NO,KG,00119,00100,1121XX,0,00
0102294068,"HEIFERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","HEIFERS, LIVE, IMMEDIATE SLAUGHTER GT=320 KG NESOI",NO,KG,00119,00100,1121XX,0,00
0102294072,"CATTLE, LIVE, MALE IMPORTED FOR BREEDING, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, BREEDING MALE, GT=320 KG EA NESOI",NO,KG,00119,12060,1121XX,0,00
0102294074,"CATTLE, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, BREEDING, FEMALE, GT=320 KG EA NESOI",NO,KG,00119,12060,1121XX,0,00
0102294082,"CATTLE, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, MALE, WEIGHING GT=320 KG EACH, NESOI",NO,KG,00119,00100,1121XX,0,00
0102294084,"CATTLE, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","CATTLE, LIVE, FEMALE, WEIGHING GT=320 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
0102310010,"BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXCEPT DAIRY","BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXC DAIRY",NO,,00111,12060,1121XX,0,00
0102310020,"BUFFALO, LIVE, PUREBRED BREEDING, FEMALE, EXCEPT DAIRY","BUFFALO, LIVE, PUREBRED BREEDING, FEMALE EXC DAIRY",NO,,00111,12060,1121XX,0,00
0102390010,"BISON, LIVE","BISON, LIVE",NO,KG,00119,00100,112990,0,00
0102390024,"BUFFALO, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, MALE, WEIGHING LT 90 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
0102390028,"BUFFALO, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","BUFFALO, LIVE, FEMALE, WEIGHING LT 90 KG EA, NESOI",NO,KG,00119,00100,1121XX,0,00
