pathway_id,class,calc_version,fuel_producer,facility_name,facility_location,feedstock,fuel_type,ci,fpc,certification_date,applicant_description
T1R-1008,Tier 1,2,BIOX Canada Limited,BIOX Canada Limited,"Ontario, Canada",Tallow,Biodiesel,34.97,BDT200L,2016-06-30T00:00:00,Fuel Producer: BIOX Canada Limited (3758) Facility Name: BIOX Canada Limited (80236). North American Tallow; Biodiesel Produced in Canada 
T1R-1009,Tier 1,2,BIOX Canada Limited,BIOX Canada Limited,"Ontario, Canada",Soybean,Biodiesel,56.03,BDS200L,2016-06-30T00:00:00,Fuel Producer: BIOX Canada Limited (3758) Facility Name: BIOX Canada Limited (80236). North American Soybean; Biodiesel Produced in Canada 
T1R-1010,Tier 1,2,BIOX Canada Limited,BIOX Canada Limited,"Ontario, Canada",Canola,Biodiesel,57.39,BDCA200L,2016-06-30T00:00:00,Fuel Producer: BIOX Canada Limited (3758) Facility Name: BIOX Canada Limited (80236). North American Canola; Biodiesel Produced in Canada 
T1R-1012,Tier 1,2,BIOX Canada Limited,BIOX Canada Limited,"Ontario, Canada",North American Corn Oil from Wet DGS,Biodiesel,32.8,BDC200L,2016-06-30T00:00:00,Fuel Producer: BIOX Canada Limited (3758) Facility Name: BIOX Canada Limited (80236). North American Corn Oil from Wet DGS of a Corn Ethanol plant; Biodiesel Produced in Canada 
T1R-1040,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,Australian Tallow,Renewable Diesel,36.83,RDT200L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). Australian Rendered Tallow to Renewable Diesel. Renewable Diesel Produced in Singapore.
T1R-1041,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,North American Tallow,Renewable Diesel,34.19,RDT201L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). North American Rendered Tallow to Renewable Diesel Produced in Singapore.
T1R-1042,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,South East Asian Fish Oil,Renewable Diesel,33.08,RDF200L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). South East Asia Fish Oil to Renewable Diesel Produced in Singapore.
T1R-1043,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,Tallow,Renewable Diesel,34.81,RDT203L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327): New Zealand Rendered Tallow to Renewable Diesel; Fuel Produced in Singapore
T1R-1045,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,Midwest Corn Oil from Wet DGS,Renewable Diesel,37.39,RDC200L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). Midwest Corn Oil to Renewable Diesel Produced in Singapore.
T1R-1046,Tier 1,2,Neste Singapore Pte Ltd,Neste Singapore,Singapore,Global Used Cooking Oil,Renewable Diesel,25.61,RDU201L,2016-06-30T00:00:00,Fuel Producer: Neste Singapore Pte Ltd (4137) Facility Name: Neste Singapore (80327). Global Mixed Used Cooking Oil to Renewable Diesel Produced in Singapore.
