"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"10.00","other","Emergency Fire Pump Engine","183","bhp","","","Flare (CE 10.00)"
"1.401","other","Vacuum Pump","","","","","CE 1.00"
"1.402","reactor","Biodiesel Reactor 1","","","","","Flare (CE 1.00)"
"1.403","reactor","Biodiesel Reactor 2","","","","","Flare (CE 1.00)"
"1.404","other","Methanol Rectification Column","","","","","Flare (CE 1.00)"
"1.405","other","Biodiesel Methanol Stripper","","","","","Flare (CE 1.00)"
"1.406","other","Glycerin Methanol Stripper","","","","","Flare (CE 1.00)"
"1.407","reactor","Biodiesel Reactor 3","","","","","Flare (CE 1.00)"
"2.00A","boiler","Boiler A","30.618","MMBtu/hr","","","Flare (CE 2.00A)"
"2.00B","boiler","Boiler B","30.618","MMBtu/hr","","","Flare (CE 2.00B)"
"4.00","leak detection and repair","VOC Emissions from Equipment Leaks","","","15.0","tons/yr","LDAR"
"F1","dust emissions","Fugitive Dust Emissions from Truck Traffic","","","23.0","tons/yr","Dust Suppression"
