"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-10.1","aspiration","Bean Truck Dump Aspirator","","","95000","bushels/day",""
"EU-1.1","grinding","Hull grinding","","","118.75","tons/hour","CE-1.0"
"EU-11.1","cracking","Cracking","118.75","tons/hour","","","CE-11"
"EU-11.2","aspiration","Dehulling and Aspiration","118.75","tons/hour","","",""
"EU-11.3","cyclone","Hull Sifter Cyclone","118.75","tons/hour","","",""
"EU-11.4","aspiration","Hull Aspiration","118.75","tons/hour","","",""
"EU-11.5","conveying","Conveying","118.75","tons/hour","","",""
"EU-1.2","grinding","Pod Grinder","","","118.75","tons/hour","CE-1.0"
"EU-1.3","aspiration","Prep Aspiration with cyclone","","","118.75","tons/hour","CE-1.0"
"EU-14.1","aspiration","Flaker Aspiration – 10 Flakers","95000","bushels/day","","",""
"EU-14.2","conveying","Flaker Feed and Discharge Conveyance","95000","bushels/day","","",""
"EU-1.5","transfer system","Pellet Transfer System","","","10","tons/hour",""
"EU-15.1","loading","Rail Meal Loadout - Bulk Loading","95000","bushels/day","","","CE-15"
"EU-15.2","conveying","Conveying","95000","bushels/day","","",""
"EU-1.6","receiving cyclone","Pod/Hull Receiving Cyclone","","","6000","bushels/hr",""
"EU-2.1","receiving","Bean Rail Unload - Grain Receiving","","","94000","bushels/day",""
"EU-27.1","ventilation","Truck Meal Bin Vent - Meal Loadout Storage","95000","bushels/day","","",""
"EU-27.2","storage","Meal Loadout Storage","95000","bushels/day","","",""
"EU-29.1","drying","Vertical Meal Dryer – Meal Drying","78000","bushels/day","","",""
"EU-29.2","cooling","Meal Cooling","78000","bushels/day","","",""
"EU-30.1","conditioning","Soybean Conditioning - Bean Conditioning","95000","bushels/day","","",""
"EU-31.1","storage","Spent Flake Bins - Spent Flake Storage","95000","bushels/day","","",""
"EU-32.1","extraction","Extraction Process - Vegetable Oil Processing","95000","bushels/day","","","CE-32"
"EU-34.1","boiler","Nebraska Boiler - natural gas","75000","MMBtu/hr","","","CE-34"
"EU-34.21","boiler","Nebraska Boiler (Heat Recover Stack) - natural gas","75000","MMBtu/hr","","","CE-34"
"EU-34.22","boiler","Nebraska Boiler (Heat Recover Stack) - #2 fuel oil","75000","MMBtu/hr","","","CE-34"
"EU-34.23","boiler","Nebraska Boiler (Heat Recover Stack) - soybean oil","75000","MMBtu/hr","","","CE-34"
"EU-34.24","boiler","Nebraska Boiler (Heat Recover Stack) - animal fats","75000","MMBtu/hr","","","CE-34"
"EU-34.25","boiler","Nebraska Boiler (Heat Recover Stack) - biodiesel heavies","75000","MMBtu/hr","","","CE-34"
"EU-34.26","boiler","Nebraska Boiler (Heat Recover Stack) - biodiesel","75000","MMBtu/hr","","","CE-34"
"EU-35.1","storage","Flow Agent Storage Tank","95000","bushels/day","","",""
"EU-36","storage","Meal Storage Tank","95000","bushels/day","","",""
"EU-37.1","receiving","Soybean CoProduct Receiving","95000","bushels/day","","",""
"EU-37.2","storage","Soybean CoProduct Storage","95000","bushels/day","","",""
"EU-37.3","handling","Soybean CoProduct Handling","95000","bushels/day","","",""
"EU-38","cooling","Pellet Cooler","95000","bushels/day","","",""
"EU-39.1","aspiration","Truck Meal Loadout - Meal L/O Aspiration","95000","bushels/day","","",""
"EU-39.2","transfer system","Truck Meal Loadout - Millfeed Transfer","95000","bushels/day","","",""
"EU-40.1","boiler","Biodiesel Boiler - natural gas","50000","MMBtu/hr","","","CE-40"
"EU-40.2","boiler","Biodiesel Boiler - fuel oil","50000","MMBtu/hr","","","CE-40"
"EU-40.3","boiler","Biodiesel Boiler - vegetable oil","50000","MMBtu/hr","","","CE-40"
