"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"400A","receiving","Truck Scale - Receiving Drag #3","","","","",""
"401B","receiving","Truck Scale - Receiving Drag #2","","","","",""
"403A","conditioning","Hammermill #1","250","tons/hour","","",""
"412A","storage","Anaerobic Digester #1","365500","gallons","","","412B"
"420KKK","storage","Fermenter #14 - Distillate Storage","850000","gallons","","",""
"422","cooling","DDGS Cooler #1 - DDGS Cooling and Drying","140","tph","","","422 Baghouse"
"425A","dryers","Indirect-Fired DDGS Dryer #1 Combustion Chamber","63","tph","","","425B"
"452A","cooling","Fire Pump Engine #1 - Diesel","460","hp","","",""
"481G","reclaim_conveyor","DDGS Feed Elevator #2","200","tph","","",""
"482","storage","DDGS Silo #1","215400","ft3","","","482"
"497A","conveying","Cooled DDGS Belt Conveyor #1","175","tph","","",""
