"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"008","receiving","Elevator - 60% Gluten Meal Cooler","","","18750","bu/hr","010A, 010B"
"023","receiving","Cracked Corn Receiving","","","25000","lb/hr","023"
"040","conveying","Germ to Storage Conveying","","","64690","lb/hr","040"
"048","conditioning","Gluten Hammermills - Corn Gluten Meal","","","45000","lb/hr","048"
"049","conveying","Gluten to Storage Conveying - Corn Gluten Meal","","","18750","bu/hr","049"
"086A","loading/unloading","Gluten Truck Loadout - Corn Gluten Meal","","","18750","bu/hr","086A"
"086B","loading/unloading","Gluten Rail Loadout - Corn Gluten Meal","200","tons/hr","","","086B"
"120","storage","Maltodextrin Storage Bin #6 - Maltodextrin","12000","lb/hr","","","120"
"160","drying","Corn Starch Flash Dryer #1 - Corn Starch","","","80000","lb/day","160"
"253","storage","Temporary Corn Pile 1 - Corn","","","","","253"
"254","storage","Temporary Corn Pile 2 - Corn","","","","","254"
