"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"175.0","storage","Maltrin Product Side Receiver Baghouse","16.89","tons/hr","","","CE3108-1"
"181.2, 181.3, 181.4","receiving","SGE Corn Truck Receiving Pit and associated equipment","","","","","CE6006-4"
"288.0, 289.0","storage","Grain Storage Corn Bin #1 and #2 with associated equipment","","","","","CE6008-1, CE6009-1"
"380.0","conditioning","Gluten Filter System","8.83","tons of gluten/hr","","","CE1250-1, CE1251-1"
"380.0, 1250.0 - 1254.0","conditioning","Gluten Filters and associated equipment for processing gluten","","","","","GP1: Gluten Filter #1 - # 6"
"380.0, 1250.0 - 1287.0","conditioning","Gluten Filter and associated equipment for processing gluten from corn","","","","","GP1: Gluten Filter #1 - 6"
"470.0, 4901.0","other","Diesel Firewater Pump and associated equipment for emergency response","","","","",""
"475.0, 484.0, 486.0, 487.0","distillation","Demethylization System and associated equipment for ethanol production","","","","","Demethylization Feed Tank, Vent Condenser No.1"
"533, 534","packaging","Alcohol Track Rail Loading Stations with Submerged Fill Pipes","","","12264000","gallons/yr","CE1094.8-1, CE1094.9-1"
"549.0","storage","Tank #7 and RJ2 for anhydrous alcohol storage and associated equipment","","","","","Packed Bed Scrubber"
"555.0","storage","Purification Column Feed Tank with Floating Roof and Scrubber","56400","gallons","","","CE1130-1"
"556.0","fermentation","Mash Fermenter and associated equipment for alcohol production","","","","","CE6301-2, CE6301-3"
"557.0, 2880.0 - 2889.0","expansion","Expeller and associated equipment for processing corn into oilseed products","","","","","#13 Expeller"
"MALT58 (Vents Inside Building)","storage","Maltrin Storage Bin Vents and associated equipment","31000","lbs/hr","","","Bin Vent Filter #5 - #8"
