"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-009A","conveying (fugitive)","Turning Tower Coal Conveying - Fugitive Dust","1300","ton/hr","","",""
"EP-010","conveying (fugitive)","Transfer Tower/Coal Conveying - Fugitive Dust","500","ton/hr","","",""
"EP-301","boiler (auxiliary)","Unit 3 Auxiliary NOx Burner - Natural Gas Boiler","50.213","MMBtu/hr","","","CE301A, CE301B"
"EU-003","boiler","Unit 3 Boiler - Natural Gas","","","5500","MMBtu/hr","CE003, CE003a, CE003b, CE003c, CE003d, CE003e"
"EU-004A","other","Tower 2A Bulldozing (fugitive)","","","","",""
"EU-006","conveyor","2 Pit Coal Conveying (fugitive)","3200","ton/hr","","",""
"EU-009C","storage (baghouse)","Unit 3 Coal Silos - Baghouse","500","ton/hr","","","CE007, CE003d"
"EU-010","conveyor","Transfer Tower/Coal Conveying (fugitive)","500","ton/hr","","",""
"EU-013","loading","Unit 3 Fly Ash Truck Loading (fugitive)","240","ton/hr","","",""
"EU-103","pump","Diesel Fire Pump Engine (fugitive)","430","hp","","",""
"EU-200","ventilation","Unit 3 Waste Silo (Ash Storage) Bin Vent Filter","2849","tons","","","CE200"
"EU-201","exhauster","Unit 3 Waste Exhauster #1 - Subbituminous Coal","51","tons/hr","","","CE201, CE003d"
"EU-208","exhauster","Unit 3 Recycle Exhauster #1 - FDG Residual Ash","74.5","tons/hr","","","CE208, CE003d"
"EU-301","burner","Unit 3 Auxiliary NOx Burner (Natural Gas)","50.213","MMBtu/hr","","","CE301A, CE301B"
