"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP22","loadout","Denatured Ethanol Loadout (Truck & Rail)","2480","gal/min","","","N/A"
"EP-B10 & EP-B11","boiler","New Package Boilers 1 and 2","360","bhp","","","CE-B10 & CE-B11: Low NOx Burners"
"EP-S20","storage","Grain Receiving, Storage, Handling & Loadout","13000","bushels/hr","","","N/A"
"EP-S30","conditioning","Hammermills #1-4","6000","bushels/hr","","","CE-C30: Baghouse"
"EP-S30d","storage","Elevator Leg from Scalper to Holding Bin (P30A)","5000","bushels/hr","","","CE-C30d: Baghouse"
"EP-S30d-1","conditioning","Hammermill #1, #2, #3, #4","6000","bushels/hr","","","CE-C30d: Baghouse"
"EU-F60","other","VOC Equipment Leaks","","","","","N/A"
"EU-P10A","dryer","Dryer A","","","","","CE 10a: Regenerative Natural Gas"
"EU-P10B","dryer","Dryer B","","","","","Thermal Oxidizer Natural Gas"
"EU-P10C","dryer","Dryer C","","","","","CE 10b: Regenerative Natural Gas"
"EU-P10D","dryer","Dryer D","","","","","Thermal Oxidizer Natural Gas"
"EU-P110","boiler","Diesel Emergency Engine","360","bhp","","","N/A"
"EU-P40","refining","Ethanol Production/Fermentation","1640","gal/min","","","CE-C40: CO Scrubber"
"EU-P70","cooling","DDGS Cooler","55650","lb/hr","","","CE-C70: Baghouse"
"EU-P90","loadout","DDGS and Grain Loadout","120650","lb/hr","","","CE-C90: Baghouse"
"EU-S10","refining","Ethanol Process","1640","gal/min","","","CE-C40: CO Scrubber"
