"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-115-0000","cooling","Haul roads for truck traffic","","","","",""
"EU-180-3100, EU-180-3200, EU-180-3300, EU-180-3400","cooling","Fire pump engines for emergency situations (each 460 bhp)","460","bhp","","",""
"EU-185-1100","cooling","Cooling tower for cooling water (3 cells)","60000","gpm","","",""
"EU-185-8000","boilers","Emergency generator for diesel fuel (1,502 bhp)","1502","bhp","","",""
"EU-225-1100, EU-225-0100","storage","Propagators and seed fermenters for dextrose (each 260 gallons and 8100 gallons respectively)","","","","",""
"EU-225-1100, EU-225-0100, EU-225-2100","storage","Propagators and seed fermenters for dextrose","","","","",""
"EU-225-4100, EU-225-9100","storage","Main fermenters and drop tanks for dextrose (each 143,700 gallons and 133,000 gallons respectively)","","","","",""
"EU-235-1400","boilers","Evaporator for fermentation broth (25 gallons/min)","25","gallons/hr","","",""
"EU-235-2300","storage","Dryer system feed tank for fermentation broth","7000","gallons","","",""
"EU-235-7200, EU-235-3621, EU-235-3121, EU-235-3127","boilers","Soy hulls day bin, surge tank, and associated equipment for biomass processing (dried soy hulls 270 ft³, 175 ft³, 75 ft³ respectively)","","","1500","lb/hr","CE-235-7200"
"EU-235-7200 - Oil Processing","boilers","Biomass processing with dust collector, expeller, centrifuge, cooler, and mill (1,500 lb/hr)","1500","lb/hr","","","CE-235-7200"
"EU-255-0400","cooling","Vacuum system for biomass (2500 lb/hr)","2500","lb/hr","","","CE-255-0400"
"EU-255-3200","boilers","Screener, mill, and dust collector for biomass (1,200 lb/hr)","1200","lb/hr","","","CE-255-3200"
"EU-255-3200, EU-255-1525, EU-255-1526, EU-255-1531, EU-255-1534, EU-255-1700","storage","Screener and mill for biomass (each 5300 lb/hr; 123 ft³ silo; 6000 lb/hr loading respectively)","","","1200","lb/hr","CE-255-3200"
"EU-265-3500","cooling","Process water tank for condensate and waste water (50,000 gallons)","50000","gallons","","",""
"EU-272-3100","boilers","RTO system with three scrubbers","","","1125","lb/hr","CE-272-3100, CE-272-2100"
"EU-272-6100, EU-272-6200","storage","Bulk cake loadout bins with dust collectors (1,200 lb/hr each)","1200","lb/hr","","","CE-272-6100, CE-272-6200"
"EU-272-6100, EU-272-6200, EU-255-7145, EU-255-7146, EU-255-7147, EU-255-7148, EU-255-7149","storage","Bulk cake loadout bins and associated surge tanks for soy hulls (each 1460 cubic feet; 1200 lb/hr)","","","7287","lb/hr","CE-272-6100, CE-272-6200"
