"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"B10","boiler","Heat Recovery Boiler","135","MBtu/hr","","","C10a"
"B10B","boiler","Heat Recovery Boiler","135","MBtu/hr","","","C10b"
"BF-103A","storage","Grain Bin 1","23000","gallons","","",""
"BF-103B","storage","Grain Bin 2","23000","gallons","","",""
"BF-176","receiving","Grain Unloading","23000","gallons","","",""
"CD-15001","conveyor","Middle Leg","23000","gallons","","",""
"CD-15056","conveyor","South Pit Conveyor","23000","gallons","","",""
"CD-15057","conveyor","Reclaim Conveyor","23000","gallons","","",""
"CD-15058","conveyor","North Pit Conveyor","","","46428573","bushels/yr",""
"CD-15060","valve","Outlet Diverter 1","","","","",""
"CD-15062","valve","Outlet Diverter 2","","","","",""
"CD-15062B","valve","Outlet Diverter 3","","","","",""
"CD-15152","valve","Outlet Diverter 4","","","","",""
"CD-15155","conveyor","Bin 15156 Fill Conveyor","23000","gallons","","",""
"CD-15156","valve","Outlet Diverter 5","","","","",""
"CD-15157","conveyor","Reclaim Conveyor","23000","gallons","","",""
"CD-15158","conveyor","North Pit Conveyor","23000","gallons","","",""
"CD-15159","conveyor","Pit Transfer Conveyor","23000","gallons","","",""
"CD-15159B","conveyor","Transfer Belt Conveyor","23000","gallons","","",""
"CD-15201","conveyor","Dryer Reclaim Conveyor","23000","gallons","","",""
"CD-15255","conveyor","Bin 15256 Fill Conveyor","23000","gallons","","",""
"CD-15257","conveyor","Reclaim Conveyor","23000","gallons","","",""
"CD-15301","conveyor","Transfer Belt Conveyor 1","23000","gallons","","",""
"CD-15302","conveyor","Transfer Belt Conveyor 2","23000","gallons","","",""
"CD-15303","conveyor","Transfer Belt Conveyor 3","23000","gallons","","",""
"CD-15304","conveyor","Transfer Belt Conveyor 4","23000","gallons","","",""
"DR-7103","dryer","Natural Gas Dryer A","","","","","C10a"
"DR-7103B","dryer","Natural Gas Dryer C","","","","","C10b"
"DR-7203","dryer","Natural Gas Dryer B","","","","","C10a"
