"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-P10","boilers","Backup Natural Gas Boiler","","","","","CE-170"
"EU-P110","pump","300 hp Fire Pump Engine Diesel","14.2","gallons/hour","","","CE-110"
"EU-P170","oxidation","Regenerative Thermal Oxidizer (RTO) and Associated Equipment","36000","gallons/hr","","","CE-170"
"EU-P170A","distillation","Distillation/DDGS Dryers, Distillation Process Additions/RTO Bypass","","","","","CE-170, CE-170A"
"EU-P180","boilers","Natural Gas Boiler Low NOx Burners","299.2","MMBtu/hour","","","CE-180"
"EU-P30","milling","Hammermill #1, Hammermill #2 Milling Baghouse","3600","bushels/hour","","","CE-30"
"EU-P40","fermentation","Fermentation Process, Beer Degas System","730000","gallons","","","CE-40"
"EU-P50","flare","Truck Ethanol Enclosed Flare Loadout (CE-50)","36000","gallons/hr","","","CE-C50"
"EU-P70","cooling","DDGS Cooler Baghouse","24.5","tons/hr","","","CE-70"
"EU-P90","baghouse","DDGS/Protein Meal Baghouse Loadout","220","tons/hr","","","CE-90"
