"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1, EU-2, DDGS Dryers 1 and 2","dryer","DDGS Dryers","","","42000","MMBtu/hr","CE C10a, CE C10b"
"EU-22b, EU-122b, EU-222b","loadout units","Rail Loadout Units with Flare","1000","gal/min (per loadout)","","","CE 22b"
"EU-22b, EU-122b, EU-222b, Rail Loadout","loadout","Rail Loadout","1000","gal/min (per loadout)","","","CE 22b"
"EU-22b, EU-122b, EU-222b, Rail Loadout 2, 3 & 4","loadout","Rail Loadout","1000","gal/min (per loadout)","","","Vapor Recovery and Rail Loadout Flare"
"EU-22, EU-122","loadout units","Truck and Rail Loadout Units with Flare","600","gal/min (truck); 1000 gal/min (rail)","","","CE 22"
"EU-22, EU-122, Truck Loadout and Rail Loadout","loadout","Truck and Rail Loadout","600","gal/min (truck); 1000 gal/min (rail)","","","Vapor Recovery and Loadout Flare"
"EU-25","pumps","Emergency Fire Pump","190","HP","","","N/A"
"EU-25, Emergency Fire Pump","pump","Emergency Fire Pump","190","HP","","",""
"EU-26","pumps","Emergency Fire Pump","130","HP","","","N/A"
"EU-26, Emergency Fire Pump","pump","Emergency Fire Pump","130","HP","","",""
"EU-3, EU-4, DDGS Dryers 3 and 4","dryer","DDGS Dryers","","","42000","MMBtu/hr","CE C10b.1, CE C10b.2"
"EU-P30a, EU-P30b, Hammermills 1 and 2, Surge Bin","hammermill","Hammermills","","","65000","MMBtu/hr",""
"EU-P30a, EU-P30b, Hammermills, 1 Surge Bin","hammermill","Hammermills and Storage","","","25000","bu/hr",""
"EU-P30a, EU-P30b, Hammermills 2 and Surge Bin","hammermills","Hammermill Units with Surge Bin","","","","","CE C30a, CE C30b"
"EU-P40a, EU-P40b, EU-P40c","fermentation units","Fermentation Units","","","","","CE C40a, CE C40b, CE C40c"
"EU-P40a, EU-P40b, EU-P40c, Fermentation","fermentation","Fermentation","","","125000","MMBtu/hr",""
"EU-P50, EU-10B","distillation equipment","Distillation Equipment (3 Tanks & Condenser)","","","","","CE C10a, CE C10b"
"EU-P50, EU-10B, EU-B, Distillation Equipment (3 Tanks & Condenser)","distillation","Distillation Equipment","","","125000","MMBtu/hr","CE C10a, CE C10b"
"EU-P70a, EU-P70b","coolers","DDGS Cooler Units","27.5","tons/hr","","","CE C70a, CE C70b"
"EU-P70a, EU-P70b, DDGS Cooler","cooler","DDGS Cooler","27500","tons/hr","","","CE C70a, CE C70b"
"EU-P80a, EU-P80b","cooling towers","Cooling Tower Units","1.28","MMgal/hr","","","CE C80a, CE C80b"
"EU-P80a, EU-P80b, Cooling Tower","cooling","Cooling Tower","1280000","gal/hr","","","CE P80a, CE P80b"
"EU-P80a, EU-P80b, Cooling Tower 1 and 2","cooling tower","Cooling Tower","3280000","gal/min","","","Drift Eliminator, 0.005%, Drift Eliminator, 0.001%"
"EU-P80c, Cooling Tower 3","cooling tower","Cooling Tower","45000","gal/min","","","Drift Eliminator, 0.001%"
"EU-P80c, Cooling Tower (8 cells)","cooling","Cooling Tower","45000","gal/min","","","CE P80c"
"EU-P80d, Cooling Tower (4 cells)","cooling","Cooling Tower","21333","gal/min","","","CE P80d"
"EU-P90","loading units","DDGS Loading Unit","482143","tons/yr","","","CE C90"
"EU-P90, DDGS Loading","loading","DDGS Loading","482143","tons/yr","","","CE C90"
"EU-P, EU-B","boilers","Heat Recovery Boiler","42","MMBtu/hr","","","CE C10a, CE C10b"
"EU-P, EU-B, Heat Recovery Boiler","boiler","Heat Recovery Boiler","","","125000","MMBtu/hr","CE C10a, CE C10b"
