"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-SV01","baghouse","Truck Receiving #1 - Baghouse","2500","bushel/hr","","","CE01"
"EP-SV02","baghouse","Hammermill #1 - Baghouse","1250","bushel/hr","","","CE02"
"EP-SV03","baghouse","Fermenter #1 - Baghouse","730000","gallon","","","CE03"
"EP-SV04","baghouse","DDGS Dryer A - Baghouse","40","MMBtu/hr","","","CE05"
"EP-SV05","baghouse","DDGS Cooling - Baghouse","23","ton/hr","","","CE06"
"EP-SV06","baghouse","Truck Loadout - Baghouse","1500","bushel/hr","","","CE07"
"EP-SV07","flare","Ethanol Truck Loadout Flare","","","132000000","gallon/yr","CE-07"
"EP-SV09","baghouse","Emergency Diesel Fire Pump - Baghouse","110","BHP","","","CE08"
"EP-SV13A","baghouse","Protein Dryer Start-Up Stack - Baghouse","62","MMBtu/hr","","","CE13"
"EP-SV15","baghouse","Protein Storage - Baghouse","8","ton/hr","","","CE14"
"EP-SV16","baghouse","Protein Cooling System - Baghouse","8","ton/hr","","","CE15"
"EU-01","receiving","Truck Receiving #1","","","15000","bushel/hr","CE01"
"EU-02","receiving","Truck Receiving #2","","","15000","bushel/hr","CE01"
"EU-04","receiving","Rail Receiving","","","15000","bushel/hr","CE01"
"EU-05","storage","Grain Elevator #1","15000","bushel/hr","","","CE01"
"EU-06","storage","Grain Elevator #2","15000","bushel/hr","","","CE01"
"EU-08","storage","Grain Bin #1","300000","bushel","","","CE01"
"EU-09","storage","Grain Bin #2","300000","bushel","","","CE01"
"EU-100","processing","Evaporation CIP Tank","19500","gallon/hr","","","CE04"
"EU-11","conditioning","Hammermill #1","1250","bushel/hr","","","CE02"
"EU-12","conditioning","Hammermill #2","1250","bushel/hr","","","CE02"
"EU-14","conditioning","Grinder Bucket Elevator","1500","bushel/hr","","","CE02"
"EU-15","fermentation","Fermenter #1","730000","gallon","","","CE03"
"EU-16","fermentation","Fermenter #2","730000","gallon","","","CE03"
"EU-17","fermentation","Fermenter #3","730000","gallon","","","CE03"
"EU-18","fermentation","Fermenter #4 (Packed Bed)","730000","gallon","","","CE03"
"EU-19","fermentation","Beer Well","985000","gallon","","","CE03"
"EU-20","processing","Slurry Mixer","2500","bushel/hr","","","CE04"
"EU-21","storage","Slurry Tank","17000","gallon","","","CE04"
"EU-22","processing","Cook Tube","5000","gallon/hr","","","CE04"
"EU-23","processing","Flash Vessel","2400","gallon/hr","","","CE04"
"EU-26","processing","Yeast Tank","13500","gallon","","","CE04"
"EU-27","processing","Beer Column","36000","gallon/hr","","","CE04"
"EU-28","processing","Side Stripper","6300","gallon/hr","","","CE04"
"EU-29","processing","Rectifier Column","30000","gallon/hr","","","CE04"
"EU-30","processing","190 Proof Condenser","5000","gallon/hr","","","CE04"
"EU-31","processing","Molecular Sieve #1 - #3","7900","gallon/hr","","","CE04"
"EU-32","processing","200 Proof Condenser","80","gallon/hr","","","CE04"
"EU-33","processing","Centrifuges","300","gpm","","","CE04"
"EU-34","processing","Evaporators","10000","gallon/hr","","","CE04"
"EU-35","drying","DDGS Dryer A","40","MMBtu/hr","","","CE05"
"EU-36","drying","DDGS Dryer B","40","MMBtu/hr","","","CE05"
"EU-37","boiler","TO/HRSG (Natural Gas)","125","MMBtu/hr","","","CE06"
"EU-45","emergency equipment","Emergency Diesel Fire Pump","110","BHP","","","Baghouse (CE-37)"
"EU-47","drying","Fill Conveyor #2","30000","bushel/hr","","","CE01"
"EU-49","drying","Reclaim Conveyor #2","10000","bushel/hr","","","CE01"
"EU-50","drying","Reclaim Conveyor #3","10000","bushel/hr","","","CE01"
"EU-51","drying","Transfer Conveyor #1","10000","bushel/hr","","","CE01"
"EU-53","fermentation","Fermenter #5 (Scrubber)","730000","gallon","","","CE03"
"EU-54","conditioning","Hammermill #3","1250","bushel/hr","","","CE02"
"EU-55","fermentation","Fermenter #6","730000","gallon","","","CE03"
"EU-56","processing","Beer Column #2","36000","gallon/hr","","","CE04"
"EU-57","processing","Molecular Sieve #4 - #6","7900","gallon/hr","","","CE04"
"EU-58","processing","Sieve Vaporizer","1485","gallon/hr","","","CE07"
"EU-59","processing","Sieve Vaporizer","1485","gallon/hr","","","CE-07"
"EU-60","drying","Protein Dryer","8","ton/hr","","","CE15"
"EU-62","storage","Protein Storage Silo #1","600","ton","","","CE13"
"EU-63","storage","Protein Storage Silo #2","600","ton","","","CE13"
"EU-64","processing","Protein Loadout System","80","ton/hr","","","CE13"
"EU-65","processing","Protein Cooling System","8","ton/hr","","","CE14"
"EU-66","storage","Fiber Slurry Tank","22900","gallon","","","CE15"
"EU-67","processing","Pressure Screen Feed Tank","8100","gallon/hr","","","CE15"
