"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-FS01, EP-FS03, and EP-FS04","uncaptured emissions","Uncaptured Emissions from Grain Receiving, Uncaptured Emissions from DDGS Handling, Uncaptured Emissions from DDGS Storage","","","24190416","bu/yr","NA"
"EP-FS05","leak detection","VOC Emissions from Equipment Leaks","","","10.09","ton/yr (VOC)","NA"
"EP-FS07","cooling","Cooling Tower Mist Eliminator Emissions","25000","gal/min","","","CE-C15"
"EP-SV01","receiving","Truck Dump Pit #1, Rail Dump Pit, Corn Conveyor #1, Corn Elevator #1","","","20000","bu/hr","CE-C01"
"EP-SV02","receiving","Corn Bin #1, Corn Conveyor #2, Corn Elevator #2","","","10000","bu/hr","CE-C02"
"EP-SV05","receiving","Scalper, Surge Bin, Hammermill #1, Hammermill #2","","","1400","bu/hr","CE-C05"
"EP-SV07","fermentation","Fermenters #1-3, Beerwell Packed Bed Ethanol, Fermenter #4 Scrubber, Beer Degas System, Yeast Propagator Tank","","","580200","gallons","CE-C07"
"EP-SV08","distillation/evaporation","Slurry Tank, Liquefaction Tank, Beer Stripper, Side Stripper, Rectifier Column, Molecular Sieves 1 & 2, Evaporator Stillage, Centrate Stillage Tank, Centrifuges #1-4, Syrup Tank, 200 Proof Condenser, Evaporators #2-4","","","580200","gallons","CE-C08"
"EP-SV09","drying","DDGS Dryer, DDGS Cooler, Baghouse","95","MMBtu/hr","","","CE-C09"
"EP-SV10","handling/loading/unloading","DDGS Handling, DDGS Rail Loadout, DDGS Truck Loadout","","","45000","bu/hr","CE-C11"
"EP-SV11 & EP-SV12","boilers","Boiler #1, Boiler #2","92.1","MMBtu/hr","","","CE-B01, CE-B02"
"EP-SV14","loading/unloading","Ethanol Truck Loadout, Ethanol Rail Loadout","903","gal/min (truck), 1000 gal/min (rail)","","","CE-C14"
"EP-SV15","cooling","Fire Pump","575","bhp","","","CE-C16"
"EU-01","receiving","Truck Dump Pit #1","","","20000","bu/hr","CE-C01"
"EU-02","receiving","Rail Dump Pit","","","20000","bu/hr","CE-C01"
"EU-03","conveying","Corn Conveyor #1","20000","bu/hr","","","CE-C01"
"EU-04","storage","Corn Elevator #1","20000","bu/hr","","","CE-C01"
"EU-05","conveying","Corn Conveyor #2","20000","bu/hr","","","CE-C01"
"EU-06","storage","Corn Elevator #2","10000","bu/hr","","","CE-C01"
"EU-11","conveying","Corn Conveyor #3","10000","bu/hr","","","CE-C01"
"EU-14","distillation","Beer Stripper","706","gpm","","","CE-C08"
"EU-15","storage","Liquefaction Tank","176060","gal","","","CE-C08"
"EU-17","fermentation","Fermenter #1","580200","gal","","","CE-C07"
"EU-18","fermentation","Fermenter #2","580200","gal","","","CE-C07"
"EU-19","fermentation","Fermenter #3","580200","gal","","","CE-C07"
"EU-20","storage","Beerwell Packed Bed Ethanol","729400","gal","","","CE-C07"
"EU-23","distillation","Rectifier Column","240","gpm","","","CE-C08"
"EU-25","evaporation","Evaporator","237237","gallons","","","CE-C08"
"EU-26","storage","Whole Stillage Tank","237237","gallons","","","CE-C08"
"EU-27","storage","Centrate Stillage Tank","137736","gallons","","","CE-C08"
"EU-28","centrifugation","Centrifuge #1","135","gpm","","","CE-C08"
"EU-29","centrifugation","Centrifuge #2","135","gpm","","","CE-C08"
"EU-30","centrifugation","Centrifuge #3","135","gpm","","","CE-C08"
"EU-31","centrifugation","Centrifuge #4","135","gpm","","","CE-C08"
"EU-32","storage","Syrup Tank","120855","gallons","","","CE-C08"
"EU-34","cooling","DDGS Cooler","23","ton/hr","","","CE-C10"
"EU-35","handling","DDGS Handling","45000","bu/hr","","","CE-C11"
"EU-36","loading/unloading","DDGS Rail Loadout","45000","bu/hr","","","CE-C11"
"EU-37","loading/unloading","DDGS Truck Loadout","45000","bu/hr","","","CE-C11"
"EU-38","condensation","200 Proof Condenser","116","gpm","","","CE-C08"
"EU-39","loading/unloading","Ethanol Truck Loadout","903","gal/min","","","CE-C14"
"EU-40","loading/unloading","Ethanol Rail Loadout","1000","gal/min","","","CE-C14"
"EU-42","storage","Lime Silo","28","ton","","","CE-C16"
"EU-43","fermentation","Fermenter #4","580200","gal","","","CE-C07"
"EU-45","conveying","Truck Conveyor #2","15000","bu/hr","","","CE-C20"
"EU-46","storage","Corn Elevator #3","15000","bu/hr","","","CE-C20"
"EU-47","conveying","Corn Conveyor #4","15000","bu/hr","","","CE-C20"
"EU-48","conveying","Corn Conveyor #5","20000","bu/hr","","","CE-C01"
"EU-49","storage","Corn Bin #2","330000","bu","","","CE-C16"
"EU-50","conveying","Corn Conveyor #6","10000","bu/hr","","","CE-C16"
"EU-51","degassing","Beer Degas System","5000","gal","","","CE-C07"
"EU-52","evaporation","Evaporator #2","2619","gpm","","","CE-C08"
"EU-53","evaporation","Evaporator #3","2619","gpm","","","CE-C08"
"EU-54","evaporation","Evaporator #4","2619","gpm","","","CE-C08"
"EU-80","storage","Yeast Propagator Tank","15000","gal","","","CE-C07"
"EU-B01","boilers","Boiler #1","92.1","MMBtu/hr","","","CE-B01"
"EU-B02","boilers","Boiler #2","92.1","MMBtu/hr","","","CE-B02"
"EU-FS07","cooling","Cooling Tower","25000","gal/min","","","CE-C15"
