"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-22","loadout","Product Loadout for Trucks and Rail Cars","600","gal/min (truck); 1200 gal/min (railcar)","","","CE-C22a, CE-C22b"
"EP-S120","boilers","Utility Boiler #1","99","MMBtu/hr","","","CE-C120"
"EP-S125","boilers","Utility Boiler #2","99","MMBtu/hr","","","CE-C125"
"EP-S15","oxidation","Regenerative Thermal Oxidizer for DDGS Dryers E and F","80","ton/hr","","","CE-C15"
"EP-S20","baghouse","Baghouse for Corn Unloading and Storage","38000","bushels/hr","","","CE-C20"
"EP-S21","baghouse","Baghouse for Corn Storage and Reclaim Conveyors","38000","bushels/hr","","","CE-C21"
"EP-S23","baghouse","Baghouse for Corn Storage and Reclaim Conveyors","38000","bushels/hr","","","CE-C23"
"EP-S30","baghouse","Baghouse for Hammermills and Clean Corn Day Bin","15000","bushels/hr","","","CE-C30"
"EP-S35","baghouse","Baghouse for Hammermills and Surge Bins","1500","bushels/hr","","","CE-C35"
"EP-S36","baghouse","Baghouse for Hammermills and Surge Bins","1500","bushels/hr","","","CE-C36"
"EP-S37","baghouse","Baghouse for Hammermills and Surge Bins","1500","bushels/hr","","","CE-C37"
"EP-S38","baghouse","Baghouse for Hammermills and Surge Bins","1500","bushels/hr","","","CE-C38"
"EP-S40","scrubbing","Packed Bed CO Scrubber for Fermenters and Beerwell","2507000","gallons/hr","","","CE-C40, CE-C41"
"EP-S41","scrubbing","Packed Bed CO Scrubber for Fermenters and Beerwell","2507000","gallons/hr","","","CE-C40, CE-C41"
"EU-10c","drying","DDGS Dryer C","50","MMBtu/hr","","","CE-C11"
"EU-10d","drying","DDGS Dryer D","50","MMBtu/hr","","","CE-C11"
"EU-20a","receiving","Corn Unloading Pit #1 for Trucks","15000","bushels/hr","","","CE-C20"
"EU-20b","receiving","Corn Unloading Pit #2 for Trucks","15000","bushels/hr","","","CE-C20"
"EU-20c","receiving","Corn Unloading Pit #3 for Railcar","35000","bushels/hr","","","CE-C20"
"EU-20d","transfer","Elevator Leg #1 from Corn Unloading Pits","20000","bushels/hr","","","CE-C20"
"EU-20e","transfer","Elevator Leg #2 from Corn Unloading Pits","20000","bushels/hr","","","CE-C20"
"EU-20f","transfer","Storage Bin Fill Conveyor #1","40000","bushels/hr","","","CE-C20"
"EU-20g","transfer","Storage Bin Fill Conveyor #2","40000","bushels/hr","","","CE-C20"
"EU-20h","storage","Corn Storage Bin #1","500000","bushels","","","CE-C20"
"EU-20i","storage","Corn Storage Bin #2","500000","bushels","","","CE-C20"
"EU-20j","storage","Dirty Corn Day Bin","35000","bushels","","","CE-C20"
"EU-20k","storage","Clean Corn Day Bin","9000","bushels","","","CE-C20"
"EU-20m","transfer","1201 Reclaim Conveyor","10000","bushels/hr","","","CE-C20"
"EU-20o","transfer","Storage Bin Fill Conveyor #3","60000","bushels/hr","","","CE-C20"
"EU-20p","storage","Corn Storage Bin #3","1000000","bushels","","","CE-C20"
"EU-20q","transfer","Reclaim Conveyor #4","10000","bushels/hr","","","CE-C20"
"EU-20r","transfer","1202 Reclaim Leg","10000","bushels/hr","","","CE-C20"
"EU-20s","transfer","Cross Conveyor","10000","bushels/hr","","","CE-C20"
"EU-21A","transfer","Storage Bin Fill Conveyor #4","60000","bushels/hr","","","CE-C21"
"EU-21B","storage","Corn Storage Bin #4","1174333","bushels","","","CE-C21"
"EU-21C","transfer","Reclaim Conveyor #5","10000","bushels/hr","","","CE-C21"
"EU-21D","transfer","Storage Bin Fill Conveyor #5","60000","bushels/hr","","","CE-C21"
"EU-21E","storage","Corn Storage Bin #5","1161947","bushels","","","CE-C21"
"EU-21F","transfer","Reclaim Conveyor #6","10000","bushels/hr","","","CE-C21"
"EU-22a","receiving","Receiving Pit #4","35000","bushels/hr","","","CE-C21"
"EU-22b","transfer","Receiving Pit Conveyor","35000","bushels/hr","","","CE-C21"
"EU-22c","transfer","Receiving Transfer Conveyor","35000","bushels/hr","","","CE-C21"
"EU-22d","transfer","Receiving Leg","35000","bushels/hr","","","CE-C21"
"EU-23A","transfer","Enclosed Bin Fill Conveyor #1","60000","bushels/hr","","","CE-C23"
"EU-23B","storage","Corn Storage Bin #6","1935800","bushels","","","CE-C23"
"EU-23C","transfer","Unload Conveyor #1","10000","bushels/hr","","","CE-C23"
"EU-23D","transfer","Unload Conveyor #2","10000","bushels/hr","","","CE-C23"
"EU-23E","transfer","Enclosed Bin Fill Conveyor #2","60000","bushels/hr","","","CE-C23"
"EU-23F","storage","Corn Storage Bin #7","1935800","bushels","","","CE-C23"
