"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"P111","cooling","Emergency Diesel Fire Pump, Diesel Fuel","311","bhp","","",""
"P160","storage","MDGS and MDGS Open Pile Storage and Loadout to Truck","890","tons/hr","125000","tons/yr",""
"P170A, P170B, P170C","drying","DDGS Dryer #1, DDGS Dryer #2, DDGS Dryer #3, Centrate Tank, Centrifuges, Stillage, 200 Proof Condenser, 190 Proof Condenser, CIP Screen, Slurry Tanks, Yeast Tanks, P171 Slurry Mixer, Cook Water Tank, Beer Column Feed, Molecular Sieves, Membrane Feed Tank, Membrane Module, Evaporators","28.5","tons/hour (combined)","","","CE-C170"
"P171","fermentation","Slurry Mixer, Cook Water Tank, Beer Column Feed, Molecular Sieves, Membrane Feed Tank, Membrane Module, Evaporators, Syrup Tank","28500","gallons/hr (combined)","","",""
"P180","boiler","Natural Gas Boiler, Natural Gas Fuel","238","MMBtu/hour","","","ME180"
"P190","boiler","Natural Gas Boiler, Natural Gas Fuel","71.5","MMBtu/hour","","","CE-C190"
"P20","storage","Grain Storage Silo #1 and Grain Storage Silo #2, Corn Unloading (Receiving Pits), Elevator Legs, Corn Storage Bin Fill Conveyor, Corn Storage Bin Emptying Conveyor, Scalper Bin, Grind Bin","","","36982759","bushels/year","CE20"
"P30","conditioning","Hammermill #1, Hammermill #2, Hammermill #3, Hammermill #4","14400","bushels/hour","","","CE30"
"P40","fermentation","Batch Mash Fermenter #1, Batch Mash Fermenter #2, Batch Mash Fermenter #3, Batch Mash Fermenter #4, Batch Mash Fermenter #5, Batch Mash Fermenter #6, Beer Well","730000","gallons","","","CE-C40, CE-C40B"
"P50, P100","packaging","Truck Fuel Ethanol Product Loadout and Rail Fuel Ethanol Product Loadout","108000","gallons/hour","250000","tons/year","CE-C50"
"P70","cooling","DDGS Cooler, DDGS Storage","28.5","tons/hour","","","CE70"
"P80","cooling","Cooling Tower, Cooling Water","1500000","gallons/hour","","","CE80"
"P90","packaging","DDGS Loadout","220000","tons/hr","300000","tons/yr","CE-C90"
