"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-F80 and F80B","cooling","Cooling Tower (5 cells) with Mist Eliminator (CE F80B)","1960000","gal/hr","","","CE-F80B"
"EP-S10B","dryer","DDGS Dryers C & D and Distillation Process 06-A-798-S9","","","","","CE-C10B"
"EP-S53","dryer","MSC Dryer","55","MMBtu/hr","","","CE-C55"
"EP-S57A, EP-S57B","loadout","Protein Loadout and Baghouse (CE-C57A), Protein Loadout and Baghouse (CE-C57B)","162","tons/hr","","","CE-C57A, CE-C57B"
"EU-B10B","boiler","Waste Heat Recovery Boiler","122","MMBtu/hr","","",""
"EU-P10","dryer","DDGS Dryer A & B","","","","","CE-C10"
"EU-P10B","dryer","DDGS Dryer C & D","45","MMBtu/hr","","","CE-C10B"
"EU-P40","fermentation","Fermentation Process Vessels and Beer Well","12","vessels","","",""
"EU-P41","degasification","CO Degasification System","","","","",""
"EU-P50","distillation","Distillation Process","250","hours/year","","","CE-C10, CE-C10B"
"EU-P53","dryer","MSC Dryer","55","MMBtu/hr","","","CE-C55"
"EU-S20","storage","Grain Receiving Pit and Grain Storage Silos (4)","20000","bushels/hr","","","CE-C20"
"EU-S70","cooling","DDGS Cooler","240","tons/hr","","","CE-C70"
"EU-S90","loadout","DDGS Loadout","240","tons/hr","","","CE-C90"
