"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","receiving","Truck Dump Pit #1","","","","",""
"EU-02","storage","Corn Elevator - Headhouse & Internal Handling, Grain Elevator - Truck Dump Pit #2","","","","",""
"EU03","storage","Grain Storage Bin #1, Grain Storage","110000","bushels/hr","","",""
"EU04","storage","Grain Storage Bin #2, Grain Storage","110000","bushels/hr","","",""
"EU05","storage","Grain Storage Bin #3, Grain Storage","15000","bushels/hr","","",""
"EU10","drying","Hammermill #1, Hammermill #2, Hammermill #3, Hammermill #4, Hammermill #5, Hammermill #6","","","1188.0","tons/day",""
"EU102","conditioning","Hammermill #3, Hammermill","933","lb/min","","",""
"EU11","conditioning","Hammermill #2, Hammermill","770","lb/min","","",""
"EU111","storage","Grain Handling Baghouse #2, Grain Elevator","","","","",""
"EU112","storage","Grain Handling Baghouse #4, Grain Elevator","430000","bushels/hr","","",""
"EU113","storage","Grain Handling Baghouse #5, Grain Elevator","430000","bushels/hr","","",""
"EU114","conditioning","Hammermill #6, Hammermill","49500","lb/hr","","",""
"EU13","conditioning","Hammermill #4, Hammermill","933","lb/min","","",""
"EU14","conditioning","Hammermill #5, Hammermill","933","lb/min","","",""
"EU-58","packaging","Denatured Ethanol Loadout - Truck","30.0","MMBtu/hr","","",""
"FS003","fugitive emissions","Truck Traffic Fugitives - Paved Roads, Truck Traffic Fugitives - Unpaved Roads","","","","",""
"FS004","cooling","Cooling Tower #1, Cooling Tower #2 (A-C Cells), Cooling Tower #3 (E-G Cells)","","","9570.0","gallons/hr",""
"FS005","fugitive emissions","Fugitive Equipment Leaks (Plant Wide)","","","","",""
"RL-01","packaging","Denatured Ethanol Loadout - Rail","8.0","MMBtu/hr","","",""
"S110","boilers","Utility Boiler #2, Utility Boiling","92100","MMBtu/hr","","",""
"S12","packaging","Truck Ethanol Loadout, Truck Loadout","800","gal/min","","",""
"S120","boilers","Utility Boiler #3, Utility Boiling","92400","MMBtu/hr","","",""
"S140","combustion","Gas Turbine, Heat Recovery Steam Generator (HRSG) and Duct Burner","171.74","MMBtu/hr","","","CE-140"
"S20","fermentation","Batch Fermenter #1, Batch Fermenter #2, Batch Fermenter #3, Batch Fermenter #4, Batch Fermenter #5, Batch Fermenter #6, Batch Fermenter #7, Batch Fermenter #8, Liquefaction Tank #1, Liquefaction Tank #2, Liquefaction Tank #3, Liquefaction Tank #4, Liquefaction Tank #5, Liquefaction Tank #6","","","1089.24","gallons/hr",""
"S40","drying","DDGS Dryer #1, DDGS Dryer Bypass (CE-40)","11.39","tons/hr","","","CE-40, CE-50"
"S70","boilers","Utility Boiler #1, Utility Boiler #2, Utility Boiler #3","92.4","MMBtu/hr","","",""
