"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"E47 to E52, E106, E107, E109","storage","Molecular Sieve Bottles (various)","","","","",""
"EU-01","dryer","DDGS Dryer A","","","","","CE C10a, CE C10b"
"EU-02","dryer","DDGS Dryer B","","","","","CE C10a, CE C10b"
"EU-03","dryer","DDGS Dryer C","","","","","CE C10a, CE C10b"
"EU-04","dryer","DDGS Dryer D","","","","","CE C10a, CE C10b"
"EU-05","venting","Process Distillation Vents","1600","ft3/min","","",""
"EU-06","mixing","Mixer","22285","Bu/hr","","",""
"EU-07","storage","Slurry Tank A","25000","gal","","",""
"EU-08","storage","Slurry Tank B","29000","gal","","",""
"EU-09","cooking","Cook Tube #1","5630","gal","","",""
"EU-09b","cooking","Cook Tube #2","5630","gal","","",""
"EU-10","flash_vessel","Cook Flash Vessel","4500","gal","","",""
"EU-11","storage","Receiver Tank","317","gal","","",""
"EU-110","storage","Evaporated Stillage Process Tank","100000","gal","","","CE C10a, CE C10b"
"EU-12","liquefaction","Liquefaction Tank #1","128400","gal","","",""
"EU-120","dryer","Column Grain Dryer","44000","bushels/hr","","",""
"EU-13","liquefaction","Liquefaction Tank #2","128400","gal","","",""
"EU-130","storage","Steel Corn Storage Bin","250000","bushels","","",""
"EU-131","receiving","Steel Bin Receiving Pit","20000","bushels/hr","","",""
"EU-132","boiler","Heat Recovery Boiler A","147400","Btu/hr","","",""
"EU-133","boiler","Heat Recovery Boiler B","147400","Btu/hr","","",""
"EU-134","separation","Oil Separator","200","gal/min","","",""
"EU-135","storage","De-oiled Syrup Tank","476","gal","","",""
"EU-136","storage","Corn Oil Transfer Tank","300","gal","","",""
"EU-14","storage","Yeast Tank #1","20000","gal","","",""
"EU-15","storage","Yeast Tank #2","20000","gal","","",""
"EU-16","distillation","Beer Column","3000","gal/min","","","CE C10a"
"EU-160","boiler","Auxiliary Boiler","47890","Btu/hr","","",""
"EU-17","distillation","Side Stripper","982","gal/min","","","CE C10b"
"EU-18","distillation","Rectifier Column","700","gal/min","","","CE C10b"
"EU-180","generator","Emergency Generator Administration Building","39600","Btu/hr","","",""
"EU-19","condensation","190 Proof Condenser","1967","gal/min","","","CE C10a"
"EU-20","vaporization","Molecular Sieve Vaporizer","785","gal/min","","",""
"EU-21","flash_vessel","200 Proof Flash Tank","1240","gal","","",""
"EU-22","storage","Centrate Tank #1","1690","gal","","",""
"EU-23","storage","Centrate Tank #2","1690","gal","","",""
"EU-24","storage","Reflux Tank","1240","gal","","",""
"EU-25","storage","Regen Tank","1240","gal","","",""
"EU-26","flash_vessel","200 Proof Flash Receiver","637","gal/min","","",""
"EU-27 to EU-32","centrifugation","Centrifuges (various)","500","gal/min","","",""
"EU-33 to EU-40","evaporation","Evaporators (various)","1600","gal/min","","",""
"EU-41","cleaning","CIP Screen/Tank","25000","gal","","",""
"EU-42","cleaning","Acid Wash Tank","14200","gal","","",""
"EU-68 to EU-71","methanation","Methanators (various)","250","gal/min","","","Thermal Oxidizer"
