"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","receiving","Grain Receiving Pits (Truck and Railcar), Elevator, Headhouse and Internal Handling","","","840","tons/hr","CS-1"
"EU-10","drying","DDGS Dryer #4, DDGS Dryer #5","23","tons/hr","","","CS-8"
"EU-11","cooling","DDGS Fluid Bed Cooler, Baghouse (CE CS-9)","23","tons/hr","","","CS-9"
"EU-12","storage","DDGS Storage Silo, Baghouse (CE CS-10)","","","30","tons/hr","CS-10"
"EU-13","storage","DDGS Silo Bypass, Baghouse (CE CS-11)","","","30","tons/hr","CS-11"
"EU-14","centrifugation","Centrifuge #1, Regenerative Thermal Oxidizer (CE-CS-8)","27","tons/hr","","","CS-8"
"EU-15","centrifugation","Centrifuge #2, Regenerative Thermal Oxidizer (CE-CS-8)","27","tons/hr","","","CS-8"
"EU-16","centrifugation","Centrifuge #3, Regenerative Thermal Oxidizer (CE-CS-8)","27","tons/hr","","","CS-8"
"EU-17","centrifugation","Centrifuge #4, Regenerative Thermal Oxidizer (CE-CS-8)","27","tons/hr","","","CS-8"
"EU-18","cooling","DDGS Loadout, Flare (CE Flare)","30000","gal/hr","","","CE-Flare"
"EU-19","extraction","Corn Oil Separation System, Baghouse (CE CS-24)","140","gal/min","","","CS-24"
"EU-2","storage","Grain Bin Loading (5 Bins)","","","1921000","bushels/hr",""
"EU-20","conditioning","Pneumatic Flour Conveyor/Receiver, Baghouse (CE CS-18)","100","tons/hr","","","CS-18"
"EU-21","cooling","Boiler #1, Flue Gas Recirculation","100","MMBtu/hr","","",""
"EU-22","conditioning","Hammermill #4, Baghouse (CE CS-21)","22","tons/hr","","","CS-21"
"EU-23","conditioning","Hammermill #5, Baghouse (CE CS-22)","22","tons/hr","","","CS-22"
"EU-24","boiler","Gas Turbine #1, Heat Recovery Steam Generator (Natural Gas)","75400","cf/hr","","",""
"EU-25","boiler","Duct Burner, Regenerative Thermal Oxidizer (CE-CS-8)","63000","MMBtu/hr","","","CS-8"
"EU-26","centrifugation","Centrifuge #5, Regenerative Thermal Oxidizer (CE-CS-8)","27","tons/hr","","","CS-8"
"EU-27","conditioning","Hammermill #4, Baghouse (CE CS-21)","22","tons/hr","","","CS-21"
"EU-28","extraction","Corn Oil Separation System, Baghouse (CE CS-24)","140","gal/min","","","CS-24"
"EU-29","storage","Corn Oil Storage Tanks (2), 30,000 gallons each","","","","",""
"EU-3","drying","Grain Scalper, Conveyor, Surge Bin","230","tons/hr","","",""
"EU-30","extraction","Corn Oil Separation System, Baghouse (CE CS-24)","140","gal/min","","","CS-24"
"EU-31","conveying","Flour Conveyor, Baghouse (CE CS-22)","100","tons/hr","","","CS-22"
"EU-4","conditioning","Hammermill #1, Hammermill #2, Hammermill #3, Hammermill #4","25","tons/hr","","","CS-3, CS-19, CS-20, CS-21, CS-22"
"EU-5","extraction","Hammermill #1, Baghouse (CE CS-3)","25","tons/hr","","","CS-3"
"EU-6","fermentation","Batch Mash Fermenters, Beer Wells, Yeast Propagation Tank, Distillation Process (Evaporator, Strippers, Rectifier)","300","tons/hr","","","CS-4"
"EU-7","distillation","Distillation Process (Evaporator, Strippers, Rectifier)","50000","gal/hr","","","CS-6, CS-7"
"EU-8","drying","DDGS Dryer #1, DDGS Dryer #2","23","tons/hr","","","CS-6, CS-7"
"EU-9","drying","DDGS Dryer #2, DDGS Dryer #3","23","tons/hr","","","CS-8"
