"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","receiving","Corn Receiving Pits","","","840","tons per year","CE-CS1"
"EU-10, DDGS Cooling Cyclone","process equipment","DDGS Cooling Cyclone","21","tons/hour","","","CE-CS9"
"EU-11, DDGS Storage Silo","storage","DDGS Storage Silo","23","tons/hour","","","CE-CS10"
"EU-12, Boiler #1","boiler","Boiler #1","81","MMBtu/hr","","","Low NOx Burners"
"EU-13, Boiler #2","boiler","Boiler #2","81","MMBtu/hr","","","Low NOx Burners"
"EU-14, Boiler #3","boiler","Boiler #3","81","MMBtu/hr","","","Low NOx Burners"
"EU-15, Centrifuge #1","process equipment","Centrifuge #1","220","gal/min","","","Regenerative Thermal Oxidizer (CE-CS8)"
"EU-16, Centrifuge #2","process equipment","Centrifuge #2","220","gal/min","","","Regenerative Thermal Oxidizer (CE-CS8)"
"EU-17, Centrifuge #3","process equipment","Centrifuge #3","220","gal/min","","","Regenerative Thermal Oxidizer (CE-CS8)"
"EU-18, Centrifuge #4","process equipment","Centrifuge #4","220","gal/min","","","Regenerative Thermal Oxidizer (CE-CS8)"
"EU-19, Diesel Generator","process equipment","Emergency Diesel Generator","1000","kW","","","None"
"EU-2","storage","Elevators & Conveyors","","","","","CE-CS1"
"EU-20a, Truck Fuel Ethanol Product Loading Rack #2","process equipment","Truck Fuel Ethanol Product Loading Rack #2","600","gal/min","","","Flare (CS Flare1)"
"EU-20b, Rail Fuel Ethanol Product Loading Rack","process equipment","Rail Fuel Ethanol Product Loading Rack","1200","gal/min","","","None"
"EU-20, Truck Fuel Ethanol Product Loading","loading/unloading","Truck Fuel Ethanol Product Loading","600","gal/min","","","CS Flare1"
"EU-20, Truck Fuel Ethanol Product Loading Rack #1","process equipment","Truck Fuel Ethanol Product Loading Rack #1","600","gal/min","","","Flare (CS Flare1)"
"EU-23, General Exhaust System","process equipment","General Exhaust System","75","tons/hour","","","Pulse Jet Baghouse (CS-CE15)"
"EU-29, Pneumatic Flour Conveyor/ Receiver","process equipment","Pneumatic Flour Conveyor/ Receiver","85","tons/hour","","","Pulse Jet Baghouse (CE-CS21)"
"EU-3","storage","Grain Bins","","","","","CE-CS1"
"EU-30, Centrifuge Bypass Stack","process equipment","Centrifuge Bypass Stack","","","","","None"
"EU-30, Centrifuge Bypass Stack (Process)","bypass stack","Centrifuge Bypass Stack (Process)","220","gal/min","","","NA"
"EU-31, Air Heater","heating equipment","Air Heater","23","tons/hour","","","NA"
"EU-31, Pneumatic Flour Conveyor/ Receiver (Process)","process equipment","Pneumatic Flour Conveyor/ Receiver","85","tons/hour","","","CE-CS21"
"EU-32, Hammermill #1","hammermilling","Hammermill #1","75","tons/hour","","","CE-CS19"
"EU-33, Hammermill #2","hammermilling","Hammermill #2","75","tons/hour","","","CE-CS20"
"EU-34, Centrifuge Bypass Stack (Combustion)","process equipment","Centrifuge Bypass Stack (Combustion)","220","gal/min","","","CE-CS8"
"EU-34, Hammermill #3","hammermilling","Hammermill #3","75","tons/hour","","","CE-CS22"
"EU-35, Corn Oil Separation System","process equipment","Corn Oil Separation System","140","gal/min","","","CE-CS27"
"EU-35, Hammermill #4","hammermilling","Hammermill #4","75","tons/hour","","","CE-CS27"
"EU-4.1 - EU-4.6, Fermenters #1 - #7","process equipment","Fermenters","66500","gal/hr","","","CE-CS4, CE-CS23"
"EU-4.7, Beerwell","process equipment","Beerwell","17600","gal/hr","","","CE-CS4, CE-CS23"
"EU-4.8, Yeast Tank","process equipment","Yeast Tank","10000","gallons","","","CE-CS4, CE-CS23"
"EU-4.9, Fermenter #7","process equipment","Fermenter #7","300000","gal/hr","","","CE-CS4, CE-CS23"
"EU-7, Distillation (Molecular Sieves)","process equipment","Distillation (Molecular Sieves)","50000","gal/hr","","","CE-CS4, CE-CS23"
"EU-8a, DDGS Dryer #1 (Process)","process equipment","DDGS Dryer #1","27","tons/hour","","","CE-CS6"
"EU-8b, DDGS Dryer #1 (Combustion)","process equipment","DDGS Dryer #1 Combustion","55","MMBtu/hr","","","CE-CS6"
"EU-9a, DDGS Dryer #2 (Process)","process equipment","DDGS Dryer #2","27","tons/hour","","","CE-CS7"
"EU-9b, DDGS Dryer #2 (Combustion)","process equipment","DDGS Dryer #2 Combustion","55","MMBtu/hr","","","CE-CS7"
"EU-Fugitive 1B, Haul Roads","fugitive emissions","Haul Roads","10768","VMT/yr","","","Dust Suppression (CE-F002)"
"EU-Fugitive 1, Corn Receiving - Truck & Railcar","fugitive emissions","Corn Receiving - Truck & Railcar","840","tons/hr","","","None"
"EU-Fugitive 3, Ethanol Rail Loading","fugitive emissions","Ethanol Rail Loading","","","","","None"
