"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU1","receiving","Corn Receiving Pits (truck and rail)","","","840","TPH","CS1"
"EU10","distillation","Mash Fermentation and Beer Well, Distillation Process","730000","gallons mash per hour fermenters; 890000 gallons beer well","","","CS11"
"EU11","distillation","Distillation Process, Evaporator, Strippers, Molecular Sieves, Rectifier","78000","gallons per hour beer feedrate; 30 MMBtu/hr thermal oxidizer","","","CS11"
"EU12","drying","DDGS Dryer #1, Regenerative Thermal Oxidizer (30 MMBtu/hr)","23","tons/hr","","","CS11"
"EU13","drying","DDGS Dryer #2, Regenerative Thermal Oxidizer (30 MMBtu/hr)","28","tons/hr","","","CS11"
"EU15","centrifugation","Centrifuge #1, Regenerative Thermal Oxidizer (30 MMBtu/hr)","325","gallons per minute whole stillage","","","CS11"
"EU16","centrifugation","Centrifuge #2, Regenerative Thermal Oxidizer (30 MMBtu/hr)","325","gallons per minute whole stillage","","","CS11"
"EU17","centrifugation","Centrifuge #3, Regenerative Thermal Oxidizer (30 MMBtu/hr)","325","gallons per minute whole stillage","","","CS11"
"EU18","centrifugation","Centrifuge #4, Regenerative Thermal Oxidizer (30 MMBtu/hr)","325","gallons per minute whole stillage","","","CS11"
"EU19","cooling","Fluid Bed Cooler, Baghouse (23 tons/hr)","23","tons/hr","","","CS12"
"EU2","storage","Elevator","","","","",""
"EU20","storage","DDGS Storage Silo, Baghouse (28 tons per hour)","28","tons/hr","","","CS13"
"EU21","storage","DDGS Storage Silo Bypass, Baghouse (28 tons per hour)","28","tons/hr","","","CS14"
"EU22","boiler","Boiler #1 (143 MMBtu/hr), NOx Monitor, CO Monitor","143","MMBtu/hr","","","PEM1"
"EU23","boiler","Boiler #2 (143 MMBtu/hr), NOx Monitor, CO Monitor","143","MMBtu/hr","","","PEM2"
"EU24","generator","Diesel Generator (2000 kW), Oxidation Catalyst System","2000","kW","","","CS15"
"EU25a","loading/unloading","Truck and Rail Loadout, Flare (0.055 MMBtu/hr)","650","gallons/min each truck loadout; 2400 gallons/min rail loadout","","","flare"
"EU28","storage","Two Grain Storage Bins & Feed Conveyor","683855","bushels each, 30,000 bu/hr conveyor","","","CS15, CS16, CS17"
"EU29","drying","Feed Conveyor","30000","bushels/hr","","","CS15, CS16, CS17"
"EU3","storage","Grain Storage","","","","",""
"EU4","conditioning","Corn Scalper, Conveyor, Surge Bin","140","tons/hr","","","CS2"
"EU5","conditioning","Hammermill #1","","","","",""
"EU6","conditioning","Hammermill #2","","","","",""
"EU7","conditioning","Hammermill #3","","","","",""
"EU8","conditioning","Hammermill #4","","","","",""
"EU9","conditioning","Hammermill #5","","","","",""
