"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP F110","other","VOC Emissions from Equipment Leaks 05-A-019-S1","","","","","None"
"EP F120","other","Truck Traffic 5-A-21-S6","","","","","None"
"EP F130","storage","WDGS Storage & Loadout 7-A-272-S2","","","","","None"
"EP F61","storage","Denatured Ethanol Storage Tank 05-A-014","","","","","None"
"EP F62","storage","Denatured Ethanol Storage Tank 05-A-015","","","","","None"
"EP F63","storage","200 Proof Ethanol Storage Tank 05-A-016","","","","","None"
"EP F65","storage","190 Proof Ethanol Storage Tank 05-A-018","","","","","None"
"EP FP","other","Fire Water Pump 5-A-22-S3","","","","","None"
"EP S10","drying","Dryers, Boilers and Distillation 5-A-006-S9","211.4","MMBtu/hr","","","Thermal Oxidizer"
"EP S150","storage","Whole Stillage Tank 13-A-557","","","","","None"
"EP S160","boilers","Boiler #1 19-A-097","49","MMBtu/hr","","","None"
"EP S25","storage","Grain Storage Bins 07-A-271-S1","","","","","CE-C25"
"EP S30","conditioning","Hammermills 17-A-523-S2, 17-A-524-S2","176","tons/hr","","","CE-C30"
"EP S40","fermentation","Fermenters 5-A-10-S11","807000","gal","","","CO Packed"
"EP S70","cooling","DDGS Cooler 43 tons/hr","43","tons/hr","","","CE-C70"
"EP S80","cooling","Cooling Tower 3,480,000 gal/hr","3480000","gal/hr","","","Eliminator"
"EP S90","receiving","DDGS Loadout 9,100 bushels/hr","9100","bushels/hr","","","CE-C90"
"EP SEP22","other","Rail and Truck Product Loadout 132,491 vehicle miles traveled per year","","","","","Flare"
"EP T64","storage","Denaturant Storage Tank 05-A-017-S1","","","","","None"
"EU 26","fermentation","Fermenter #1","807000","gal","","","CO Packed"
"EU 27","fermentation","Fermenter #2","807000","gal","","","CO Packed"
"EU 28","fermentation","Fermenter #3","807000","gal","","","CO Packed"
"EU 29","fermentation","Fermenter #4","807000","gal","","","CO Packed"
"EU 30","fermentation","Fermenter #5","807000","gal","","","CO Packed"
"EU 31","fermentation","Fermenter #6","807000","gal","","","Bed Scrubber"
"EU 32","fermentation","Fermenter #7","807000","gal","","","Bed Scrubber"
"EU 47","fermentation","Beer Well","1080000","gal","","","CO Packed"
"EU 62","drying","DDGS Dryer A","54.4","MMBtu/hr","","","Thermal Oxidizer"
"EU 63","drying","DDGS Dryer B","54.4","MMBtu/hr","","","Thermal Oxidizer"
"EU 64","drying","DDGS Dryer C","54.4","MMBtu/hr","","","Thermal Oxidizer"
"EU 65","drying","DDGS Dryer D","54.4","MMBtu/hr","","","Thermal Oxidizer"
"EU-66","fermentation","Fermenter #8","807000","gal","","","Bed Scrubber"
"EU-67","fermentation","Fermenter #9","807000","gal","","","Bed Scrubber"
"EU B10a","cooling","Heat Recovery Boiler A","147.4","MMBtu/hr","","","None"
"EU B10b","cooling","Heat Recovery Boiler B","147.4","MMBtu/hr","","","None"
"EU FP","other","Fire Water Pump 05-A-022-S3","300","Bhp","","","None"
"EU P20","receiving","Grain Receiving/Handling System","","","","","CE-C25"
"EU P20a","storage","Grain Bin 05-A-007-S3","","","","","CE-C25"
"EU P20b","storage","Grain Bin","","","","","CE-C25"
"EU P25a","storage","Grain Storage Bin","684000","bu","","","CE-C25"
"EU P25b","storage","Grain Storage Bin","684000","bu","","","CE-C25"
"EU P30","conditioning","Four (4) Hammermills 05-A-008-S4","176","tons/hr","","","CE-C30"
"EU P70","cooling","DDGS Cooler 05-A-011-S6","43","tons/hr","","","CE-C70"
"EU P80","cooling","Cooling Tower 05-A-012-S2","3480000","gal/hr","","","None"
"EU S160","boilers","Boiler #1","49","MMBtu/hr","","","None"
