"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU 1","receiving","Receiving Pits via Truck and Rail","","","840","TPH (tons per hour)","CS1"
"EU 10","distillation","Distillation (Evaporator, Strippers, Molecular Sieves, Rectifier)","","","","","CS7, CS11"
"EU 14","processing","Centrifuge #1","350","gallons per minute of whole stillage","","","CS26"
"EU 15","processing","Centrifuge #2","350","gallons per minute of whole stillage","","","CS26"
"EU 16","processing","Centrifuge #3","350","gallons per minute of whole stillage","","","CS26"
"EU 17","processing","Centrifuge #4","350","gallons per minute of whole stillage","","","CS26"
"EU 18","processing","DDGS Dryer #1","32","tons per hour","","","CS9"
"EU 19","cooling","DDGS Dryer 1 (Cooling)","32","tons per hour","","","CS9, CS11"
"EU 2","receiving","Grain Legs and Conveying System","","","35800000","bushels per year","CS1"
"EU 20","cooling","DDGS Dryer 2 (Cooling)","32","tons per hour","","","CS10, CS11"
"EU 21","storage","DDGS Storage Silo (Storage)","30","tons per hour","","","CS12"
"EU 22","boilers","Boiler #1 (Combustion)","143","MMBtu per hour","","","CS24"
"EU 23","boilers","Boiler #2 (Combustion)","143","MMBtu per hour","","","CS25"
"EU 24","combustion","Non-emergency Diesel Generator (Combustion)","2000","kW","","","CS21"
"EU 3","storage","6 Grain Bins (Grain Storage)","","","","","CS1"
"EU 4","processing","Corn Scalper, Conveyor, Surge Bin","140","tons per hour","","","CS2"
"EU 5","processing","Hammermill #1","","","","","CS2"
"EU 6","processing","Hammermill #2","","","","","CS2"
"EU 7","processing","Hammermill #3","","","","","CS2"
"EU 8","processing","Hammermill #4","","","","","CS2"
"EU 9","distillation","Batch Mash Fermenters and Beer Wells (Distillation)","","","","","CS7, CS11"
"EU Cooling Tower","cooling","Cooling Tower (3 Cells) (Cooling)","25000","gallons per minute","","","CS26"
"EU DDGS Loadout","loading/unloading","DDGS Loadout via Truck and Rail","160","TPH (tons per hour)","280320","TPY (tons per year)","CS1"
"EU F005","fugitive emissions","Wetcake Production (Fugitive Emissions)","60","tons per hour","","",""
