"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU1","receiving","Grain Receiving Pits (Truck and Rail)","","","","",""
"EU10","boiler","Diesel Generator (CS24)","1000","kW","","",""
"EU11","cooling","DDGS Fluid Bed Cooler (CS9)","33.5","tons/hour","","",""
"EU12","storage","DDGS Silo Baghouse (CS10)","33.5","tons/hour","","",""
"EU13","storage","DDGS Silo Bypass Baghouse (CS10)","33.5","tons/hour","","",""
"EU14-EU18","centrifugation","Centrifuges 1-5 (each)","70","tons/hour","","",""
"EU19","centrifugation","Centrifuge 6 (each)","70","tons/hour","","",""
"EU2","storage","Elevator – Headhouse and Internal Handling","2862000","bushels/hour","","",""
"EU21","boiler","Boiler #1 (Low NOx Burners, Natural Gas)","100.0","MMBtu/hr","","",""
"EU22","processing","Hammermill 2 (each)","24","tons/hour","","",""
"EU23","processing","Hammermill 3 (each)","24","tons/hour","","",""
"EU24","processing","Hammermill 4 (each)","24","tons/hour","","",""
"EU25","processing","Hammermill 5 (each)","24","tons/hour","","",""
"EU26","processing","Hammermill 6 (each)","24","tons/hour","","",""
"EU27","processing","Hammermill 7 (each)","24","tons/hour","","",""
"EU28","handling","Pneumatic Flour Conveyor/Receiver (CS17)","30","tons/hour","","",""
"EU29","boiler","Boiler #2 (Low NOx Burners, Natural Gas)","100.0","MMBtu/hr","","",""
"EU3","storage","Grain Bins","6000000","bushels/hour","","",""
"EU30","flare","Ethanol Rail Loadout Flare (CS18)","72000","gallons/hour","","",""
"EU31","centrifugation","Centrifuge 6 (each)","70","tons/hour","","",""
"EU32","storage","Whole Stillage Tank (each)","44000","gallons/hour","","",""
"EU33","processing","Hammermill 5","24","tons/hour","","",""
"EU34","loading/unloading","DDGS Loadout","160","tons/hour","","",""
"EU37","separation","Corn Oil Separation (each)","200","gallons/minute","","",""
"EU4","handling","Grain Scalper, Conveyor, Surge Bin","140","tons/hour","","",""
"EU5","processing","Hammermill 1 and Flour Conveyor","24","tons/hour","","",""
"EU6","fermentation","Batch Mash Fermenters (each)","570000","gallons","","",""
"EU7","distillation","Distillation Process: Evaporators, Strippers, Sieves and Rectifier","1100","gallons/minute","","",""
"EU8","storage","DDGS Silo Baghouse (CS10)","33.5","tons/hour","","",""
"EU9","storage","DDGS Silo Bypass Baghouse (CS10)","33.5","tons/hour","","",""
