"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU1","receiving","Three Grain Receiving Pits via Truck and Rail","","","840","tons/hr","CE CS1"
"EU10","distillation","Distillation Process: Evaporator, Strippers, Sieves, Rectifier, Surge Tank","2","units/hr","","","CE CS7"
"EU14","centrifugation","Centrifuge #1","300","gal/min","","","CE CS7"
"EU14-17","centrifugation process","Centrifuges #1, #2, #3, #4","1200","gal/min total; 300 gal/min each","","","CE CS10"
"EU15","centrifugation","Centrifuge #2","300","gal/min","","","CE CS7"
"EU16","centrifugation","Centrifuge #3","300","gal/min","","","CE CS7"
"EU17","centrifugation","Centrifuge #4","300","gal/min","","","CE CS7"
"EU18","cooling","DDGS Fluid Bed Cooler","32","tons/hr","","","CE CS12"
"EU19","storage","DDGS Storage Silo","32","tons/hr","","","CE CS13"
"EU19-20, EU26","storage","DDGS Storage Silos and Bypass System","32","tons/hr","","","CE CS13, CE CS14"
"EU2","conveying","Two Grain Legs and Conveying System","","","160","tons/hr","CE CS2"
"EU20","storage","DDGS Storage Silo Bypass","32","tons/hr","","","CE CS14"
"EU21","boiler","Boiler #1","143","MMBtu/hr","","","CE CS29"
"EU21-22","boiler system","Boilers #1 and #2","143","MMBtu/hr","","","CE CS29, CE CS30"
"EU22","boiler","Boiler #2","143","MMBtu/hr","","","CE CS30"
"EU25","generator","Emergency Diesel Generator","2000","kW","","","CE CS15"
"EU3","storage","Six Grain Bins","","","","","CE CS2"
"EU4","processing","Corn Scalper, Conveyor, Surge Bin","140","tons/hr","","","CE CS2"
"EU5","processing equipment","Hammermill 1","","","","","CE CS3"
"EU6","processing equipment","Hammermill 2","","","","","CE CS4"
"EU7","processing equipment","Hammermill 3","","","","","CE CS5"
"EU8","processing equipment","Hammermill 4","","","","","CE CS6"
"EU9a","fermentation equipment","Yeast Propagation Tank","19800","gallons; yeast","","","CE CS7"
"EU9a-c","fermentation","Yeast Propagation Tank, 7 Batch Mash Fermenters, Beer Well","","","","","CE CS7"
"EU9b","fermentation equipment","7 Batch Mash Fermenters","69000","gallons/hr; mash","","","CE CS7"
"EU9c","fermentation equipment","Beer Well","889000","gallons; beer","","","CE CS7"
"EUF001","receiving","Fugitive Emissions Grain Receiving","840","tons/hr; grain","","",""
"EUF001-005, EUF007","fugitive emissions","Fugitive Emissions from Grain Receiving and Railcar Venting","","","","",""
"EUF002","fugitive emissions","Haul Roads","","","","",""
"EUF003","fugitive emissions","Fugitive Emissions DDG Handling","","","","",""
"EUF004","fugitive emissions","Equipment Leaks","","","","",""
"EUF005","cooling equipment","Cooling Tower","26000","gal/min; cooling water","","","CE CS32"
"EUFLAREa","loadout equipment","Ethanol Loadout Truck","39000","gal/hr; ethanol","","",""
"EUFLAREa-EUFLAREb","loading/unloading","Ethanol Loadout Truck, Ethanol Loadout Rail","39000","gal/hr (Truck)","144000","gal/hr (Rail)","None"
"EUFLAREb","loadout equipment","Ethanol Loadout Rail","144000","gal/hr; ethanol","","",""
"EUTK-001","storage","190 Proof Ethanol Storage Tank","250000","gal; ethanol","","",""
"EUTK-001-005, EUTK-003","storage","Ethanol Storage Tanks and Denaturant Storage Tank","","","","",""
"EUTK-001-EUTK-004","storage","Denaturant Storage Tanks (various)","","","","","CE CS16, CE CS17"
"EUTK-002","storage","Denaturant Storage Tank","125000","gal; denaturant","","",""
"EUTK-003","storage","200 Proof Ethanol Storage Tank","250000","gal; ethanol","","",""
"EUTK-004","storage","200 Proof Ethanol Storage Tank","250000","gal; ethanol","","",""
"EUTK-005","storage","Denaturant or 200 Proof Storage Tank","250000","gal; denaturant/ethanol","","",""
