"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-20, EU-20b - EU-20i","receiving","Grain Unloading, 1 x 26,000 bu/hr Receiving Pits and Legs, 4 x 500,000 bushel silos, 1 x 44,000 bushel day bin, 1 x 21,000 bushel scalper bin, 2 x 750,000 bushel silos","26000","bushels/hr","","",""
"EU-21","storage","Ground Piles","","","","",""
"EU-22","packaging","Product Loadout","1200","gpm/minute","","","CE-22"
"EU-40, EU-41","fermentation","Fermenters and Beer Well, Pre-condenser","807000","gallons/each fermenter","","","CE-40"
"EU-70","cooling","DDGS Cooler","50","ton/hr","","","CE-C70"
"EU-80, EU-81","cooling","Cooling Tower (4 Cells) 06-A-584P-S1 and Cooling Tower #2 (2 Cells) 17-A-006","","","","","CE-80, CE-F81"
"EU-80, EU-F80","cooling","Cooling Tower (4 Cells)","3000000","gal/hr","","","CE-80"
"EU-81, EU-F81","cooling","Cooling Tower #2 (2 Cells)","450000","gal/min","","","CE-F81"
"EU-90","packaging","DDGS Loadout","200","ton/hr","","","CE-90"
"EU-Emerg","cooling","Emergency Fire Pump Generator 06-A-582-P1","300","bhp","","",""
"EU-Emerg, EU-EMERG","other","Emergency Fire Pump Generator","300","bhp","","",""
"EU-EMERG, EU-Emerg","other","Emergency Fire Pump Generator","300","bhp","","",""
"EU-S10","drying","DDGS Dryers 1 through 6 and Distillation","","","60","ton/hr","CE-10a, CE-10b"
"EU-S12A, EU-S12B","boilers","Boiler #1 and Boiler #2","245","MMBtu/hr","","","CE-12A, CE-12B"
"EU-S30-1, EU-S30-2, EU-S30-3, EU-S30-4","conditioning","Hammermills 1 through 4","2313","bu/hr","","","CE-30-1, CE-30-2, CE-30-3, CE-30-4"
