"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","boiler","Natural Gas Boiler #1","12.6","MMBtu/hr","","","CE-01"
"EU-02","boiler","Natural Gas Boiler #2","12.6","MMBtu/hr","","","CE-02"
"EU-03","storage","Supersack Discharger","2.0","tons/hour","","",""
"EU-04","drying","Hammer Mill","6.25","tons/hour","","","CE-01"
"EU-05","storage","Grist Case","","","","",""
"EU-06","storage","Storage Silo #1","33.6","tons/hour","","","CE-02"
"EU-07","storage","Storage Silo #2","25.4","tons/hour","","","CE-03"
"EU-08","fermentation","Fermentation Tank #1","10000","gallons","","",""
"EU-09","fermentation","Fermentation Tank #2","10000","gallons","","",""
"EU-10","fermentation","Fermentation Tank #3","10000","gallons","","",""
"EU-11","fermentation","Fermentation Tank #4","10000","gallons","","",""
"EU-12","fermentation","Fermentation Tank #5","10000","gallons","","",""
"EU-13","fermentation","Fermentation Tank #6","10000","gallons","","",""
"EU-14","fermentation","Fermentation Tank #7","10000","gallons","","",""
"EU-15","fermentation","Fermentation Tank #8","10000","gallons","","",""
"EU-16","fermentation","Fermentation Tank #9","10000","gallons","","",""
"EU-17","fermentation","Fermentation Tank #10","10000","gallons","","",""
"EU-18","fermentation","Fermentation Tank #11","10000","gallons","","",""
"EU-19","fermentation","Fermentation Tank #12","10000","gallons","","",""
"EU-20","fermentation","Fermentation Tank #13","10000","gallons","","",""
"EU-21","fermentation","Fermentation Tank #14","10000","gallons","","",""
"EU-26","storage","Beer Well","20000","gallons","","",""
"EU-27","distillation","Column Still Condenser","1110","gallons/hour","","",""
"EU-28","distillation","Pot Still Doubler","1110","gallons/hour","","",""
"EU-29","receiving","Truck Grain Receiving","2258","bushels/hour","400960","bushels/rolling twelve-month period",""
"EU-32","wastewater treatment","Wastewater Anaerobic Digester","88000","gallons","","","CE-14"
"EU-33","boiler","Cooker","5500","gallons","","",""
"EU-34","storage","Slop Tank","25","gallons/minute","","",""
