"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP F100","fugitive dust control","Haul Roads Fugitive Dust Emissions","","","53317","trucks/yr",""
"EP F110","other","VOC Leak Detection and Emissions Repair (LDAR)","","","","",""
"EP F15","fugitive dust control","Grain Handling Fugitives","45000","bu/hr","","",""
"EP F20","baghouse","MWDGS Storage/Loadout","37.6","tons/hr","","",""
"EP F70","pump","Fire Water Pump (F70)","300","hp","","",""
"EP GD2","boiler","Grain Drying with Natural Gas (69.9 MMBtu/hr)","5000","bu/hr","","",""
"EP S10","boiler","Slurry Tank, Liquefaction Tank #1 and #2, Beer Column, Stripper, Rectifier, Evaporator System, Whole Stillage Tank, Thin Stillage Tank, Syrup Tank, P50a Molecular Sieve #1, #2, #3 and #4, Process Condensate Tank","","","66500","sq ft","CE-C10, Thermal Oxidizer"
"EP S20a, S20b, S20c, S20d, S20e, S20f, S20g","baghouse","Grain Storage Tanks (CE-S20a: Baghouse, CE-S20b: Baghouse, CE-S20c: Baghouse, CE-S20d: Baghouse, CE-S20e: Baghouse, CE-S20f: Baghouse, CE-S20g: Baghouse)","16000","gallons","","","CE-S20a, CE-S20b, CE-S20c, CE-S20d, CE-S20e, CE-S20f, CE-S20g"
"EP S30","baghouse","P30 Hammermills (3) with Baghouse 225 TPH Total","75","TPH","","","CE-C30"
"EP S40","boiler","Fermenters (EU40a, EU40b, EU40c, EU40d, EU40e, EU40f) and associated equipment including Beer Well CO2, Selective Grind Scrubber, Beer Degas, Pre-Condenser","985000","gallons/minute","","","CE-C40"
"EP S45","boiler","Fermenters (EU40a, EU40b, EU40c, EU40d, EU40e) and associated equipment including Purge Scrubber","1140","gallons/minute","","","CE-C45"
"EP S70","boiler","DDGS Cooler with Baghouse (CE-C70)","18.15","tons/hr","","","CE-C70"
"EP S90","boiler","DDGS Loading with Baghouse (CE-C90)","250","tons/hr","","","CE-C90"
"EP SEP22 & EP S23a","flare","Ethanol Truck Loadout (7.3 MMBtu/hr) and Railcar Product Loadout (17.5 MMBtu/hr)","","","80000000","gallons/yr","CE-C22, CE-23a"
"F100","fugitive emissions","Haul Roads (Fugitives)","","","10","VMT/hr",""
"F110","other","VOC Leak Detection and Emissions Repair (LDAR)","","","","",""
"GD2","boilers","Grain Drying (Natural Gas Combustion)","69.9","MMBtu/hr","","",""
