"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"190 Proof Condenser","condensing","Condensation Equipment for 190 Proof Ethanol","3000","gal/min","","","C10"
"200 Proof Condenser","condensing","Condensation Equipment for 200 Proof Ethanol","550","gal/min","","","C10"
"Batch Mash Fermenter #1","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Batch Mash Fermenter #2","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Batch Mash Fermenter #3","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Batch Mash Fermenter #4","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Batch Mash Fermenter #5","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Batch Mash Fermenter #6","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Batch Mash Fermenter #7","fermentation","Fermentation Equipment for Batch Mash","25467","gal","","","C30"
"Beer Column","distillation","Distillation Column for Beer","3000","gal/min","","","C10"
"Beerwell","cooling","Cooling Equipment for Beer","25467","gal","","","C30"
"Blender Feed Screw","mixing","Screw Blender for DDGS","6000","bu/hr","","","C10"
"C10A/B10A","boiler","Thermal Oxidizer/Waste Heat recovery Boiler (pre-control)","150","MMBtu/hr","","","C60, C61"
"C10B/B10B","boiler","Thermal Oxidizer/Waste Heat recovery Boiler (pre-control)","150","MMBtu/hr","","","C60, C61"
"Centrate Tanks","storage","Storage for Centrate","1890","gal/min","","","C10"
"Centrate Tanks, Evaporators, Blender Feed Screw","storage/distillation","Equipment for Thin Stillage Treatment and Ethanol Blending","","","3000","gal/min","C10"
"Centrate Tanks, Evaporators, Blender Feed Screw, DDGS Feed Conveyors","handling","Equipment for DDGS Processing and Handling","","","120","tons/hr","C10"
"Combustion Emissions from Loadout","combustion control","Emission Control for Ethanol Loadout Combustion","9.9","MMBtu/hr","","","C50"
"Cook Tubes","cooking","Cooking Equipment for Mash","2000","gal/min","","","C10"
"Cook Tubes, Yeast Tank #1, Yeast Tank #2, Beer Column, Side Stripper, Rectifier Column, 190 Proof Condenser","distillation","Equipment for Ethanol Distillation Process","","","3000","gal/min","C10"
"Cooling Tower","cooling","Cooling Equipment for Water","4544480","gal/hr","","","P80"
"Cooling Tower (P80)","cooling","Cooling Equipment for Ethanol Production","4544480","gal/hr","","","C80"
"Corn Dump Pit & Drag Conveyor (rail)","handling","Railway Dumping and Transfer Equipment for Corn","20000","bu/hr","","","C10"
"Corn Dump Pit & Transfer Belt #1","handling","Dumping and Transfer Equipment for Corn","20000","bu/hr","","","C10"
"Corn Dump Pit & Transfer Belt #2","handling","Dumping and Transfer Equipment for Corn","20000","bu/hr","","","C10"
