"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","drying","DDGS Dryer A","","","","","C60, C10"
"EU-02","drying","DDGS Dryer B","45.0","MMBtu/hr","","","C61, C10"
"EU-03","drying","DDGS Dryer C","45.0","MMBtu/hr","","","C11"
"EU-04","drying","DDGS Dryer D","210.0","MMBtu/hr","","","C11"
"EU-05","drying","DDGS Dryer E (post control)","45.0","MMBtu/hr","","","C11"
"EU-06","drying","DDGS Dryer F (post control)","210.0","MMBtu/hr","","","C11"
"EU-07","receiving","Truck Receiving Dump Pit & Transfer Drag #1","20000.0","bushels/hr","","",""
"EU-08","receiving","Receiving Leg #1","20000.0","bushels/hr","","",""
"EU-09","storage","Silo Fill Conveyor #1","20000.0","bushels/hr","","",""
"EU-10","storage","Grain Silo #1","524000.0","bushels","","",""
"EU-11","receiving","Silo Reclaim Conveyor #1","20000.0","bushels/hr","","",""
"EU-13","receiving","Truck Receiving Dump Pit & Transfer Drag #2","20000.0","bushels/hr","","",""
"EU-14","receiving","Receiving Leg #2","20000.0","bushels/hr","","",""
"EU-15","storage","Silo Center Fill Conveyor #1","20000.0","bushels/hr","","",""
"EU-16","storage","Grain Silo #2","524000.0","bushels","","",""
"EU-17","receiving","Silo Reclaim Conveyor #2","6000.0","bushels/hr","","",""
"EU-18","storage","Grain Silo #3","89000.0","bushels","","",""
"EU-19","storage","Grain Silo #4","524000.0","bushels","","",""
"EU-20","storage","Grain Silo #5","524000.0","bushels","","",""
"EU-21","receiving","Rail Receiving Dump Pit & Drag Conveyor","40000.0","bushels/hr","","",""
"EU-22","receiving","Silo Reclaim Conveyor #3","6000.0","bushels/hr","","",""
"EU-23","receiving","Silo Reclaim Conveyor #4","6000.0","bushels/hr","","",""
"EU-24","receiving","Silo Reclaim Conveyor #5","6000.0","bushels/hr","","",""
"EU-25","receiving","Hammermill Feed Silo","37000.0","bushels/hr","","",""
"EU-26","hammermilling","Hammermill #1","1500.0","bushels/hr","","",""
"EU-27","hammermilling","Hammermill #2","1500.0","bushels/hr","","",""
"EU-28","hammermilling","Hammermill #3","1500.0","bushels/hr","","",""
"EU-29","hammermilling","Hammermill #4","1500.0","bushels/hr","","",""
"EU-30","conditioning","Rotary Scalper 1","3000.0","bushels/hr","","",""
"EU-31","conditioning","Rotary Scalper 2","3000.0","bushels/hr","","",""
"EU-32","storage","Silo Center Fill Conveyor #2","20000.0","bushels/hr","","",""
"EU-33","storage","Grain Silo #6","524000.0","bushels","","",""
"EU-34","storage","Grain Silo #7","524000.0","bushels","","",""
"EU-35","fermentation","Batch Mash Fermenter #1","807000.0","gallons","","",""
"EU-36","fermentation","Batch Mash Fermenter #2","807000.0","gallons","","",""
"EU-37","fermentation","Batch Mash Fermenter #3","807000.0","gallons","","",""
"EU-38","fermentation","Batch Mash Fermenter #4","807000.0","gallons","","",""
"EU-39","fermentation","Batch Mash Fermenter #5","807000.0","gallons","","",""
"EU-40","fermentation","Batch Mash Fermenter #6","807000.0","gallons","","",""
"EU-41","fermentation","Batch Mash Fermenter #7","807000.0","gallons","","",""
"EU-42","fermentation","Batch Mash Fermenter #8","807000.0","gallons","","",""
"EU-43","fermentation","Beerwell","1080000.0","gallons/minute","","",""
"EU-44","cooling","DDGS Cooler (Thermal Oxidizer Bypass Stack)","65.0","tons/hr","","","C70"
"EU-45","storage","DDGS Inclined Drag (Flat Storage)","65.0","tons/hr","","",""
"EU-46","storage","DDGS Topfill Drag (Flat Storage)","65.0","tons/hr","","",""
"EU-47","storage","DDGS Flat Storage Floor Drag","200.0","tons/hr","","",""
"EU-48","storage","DDGS Recirc/Loadout Leg","400.0","tons/hr","","",""
"EU-49","storage","DDGS Topfill Drag (Silo Recirc)","400.0","tons/hr","","",""
"EU-50","storage","DDGS Loadout Drag","400.0","tons/hr","","",""
"EU-51","storage","Truck Load Spout","400.0","tons/hr","","",""
"EU-52","storage","DDGS Transfer Drag","65.0","tons/hr","","",""
"EU-53","storage","DDGS Storage Leg","90.0","tons/hr","","",""
"EU-54","storage","DDGS Topfill Drag (Silo Recirc)","65.0","tons/hr","","",""
"EU-55","storage","DDGS Storage Silo #1","4000.0","tons","","",""
"EU-56","storage","DDGS Storage Silo #2","4000.0","tons","","",""
