"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"190 Proof Condenser EU-22","cooling","Condensation Equipment for Ethanol Production","550","gal/min","","","C10, C11"
"190 Proof Condenser EU-44","condensation","Corn 190 Proof Ethanol Condenser","550","gal/min","","",""
"200 Proof Condenser EU-23","cooling","Condensation Equipment for Ethanol Production","550","gal/min","","","C10, C11"
"200 Proof Condenser EU-45","condensation","Corn 200 Proof Ethanol Condenser","1500","gal/min","","",""
"300 HP Fire Pump","other","Fire Pump Equipment","300","HP","","",""
"300 HP Fire Pump EU-48","other","Fire Suppression Equipment","125","hp","","",""
"300 HP Fire Pump EU-60","pump","Fire Pump","300","HP","","",""
"Beer Column EU-19","distillation","Distillation Column for Ethanol Production","3000","gal/min","","","C10, C11"
"Beer Column EU-42","distillation","Corn Beer Distillation Column","3000","gal/min","","","C10, C11"
"Blender Feed Screw, DDGS Feed Conveyors","mixer","DDGS Mixing and Conveying Equipment","6700","bushels/hr","","",""
"Blender Feed Screw EU-26","other","Equipment for Ethanol Blending","6700","bushels/hr","","",""
"Blender Feed Screw EU-65","mixing","Corn Blender Feed Screw","6700","bushels/hr","","",""
"Centrate Tanks EU-24","storage","Storage Tank for Centrate","3000","gal/min","","",""
"Centrate Tanks EU-46","storage","Corn Centrate Storage Tanks","3000","gal/min","","",""
"Centrate Tanks, Evaporators","storage","Centrate Storage and Evaporation Equipment","","","","",""
"Combustion Emissions from Ethanol Load-out EU-59C","combustion","Combustion Emissions from Ethanol Load-out","","","","","CE-80"
"Cook Tubes EU-14","boilers","Heating Equipment for Ethanol Production","2000","gal/min","","",""
"Cook Tubes EU-28","cooking","Corn Cooking Equipment","2000","gal/min","","",""
"Cooling Tower FS-80","cooling","Cooling Equipment for Process Water","4544480","gal/hr","","","CE-FS80"
"Corn Dump Pit & Drag Conveyor (rail)","receiving","Railway Corn Handling Equipment","20000","bushels/hr","","","CE-20"
"Corn Dump Pit & Drag Conveyor (rail) EU-39","other","Equipment for Corn Handling and Transfer","20000","bu/hr","","",""
"Corn Dump Pit & Drag Conveyor (rail) EU-61","receiving","Corn Dump Pit and Drag Conveyor","20000","bu/hr","","",""
"Corn Dump Pit & Transfer Belt #1, Corn Receiving Leg #1, Top Fill Drag #1, Corn Silo #1, Reclaim Drag #1","receiving","Corn Handling Equipment","20000","bushels/hr","","","CE-20"
"Corn Dump Pit & Transfer Belt #1 EU-28","other","Equipment for Corn Handling and Transfer","20000","bu/hr","","",""
"Corn Dump Pit & Transfer Belt #1 EU-7","receiving","Corn Dump Pit and Transfer Belt","20000","bu/hr","","",""
"Corn Dump Pit & Transfer Belt #2, Corn Receiving Leg #2, Top Fill Drag #2, Corn Silo #2, Reclaim Drag #2","receiving","Corn Handling Equipment","20000","bushels/hr","","","CE-20"
"Corn Dump Pit & Transfer Belt #2 EU-13","receiving","Corn Dump Pit and Transfer Belt","20000","bu/hr","","",""
"Corn Dump Pit & Transfer Belt #2 EU-33","other","Equipment for Corn Handling and Transfer","20000","bu/hr","","",""
"Corn Receiving Leg #1 EU-29","other","Equipment for Corn Handling and Transfer","20000","bu/hr","","",""
"Corn Receiving Leg #1 EU-8","receiving","Corn Receiving Leg","20000","bu/hr","","",""
"Corn Receiving Leg #2 EU-14","receiving","Corn Receiving Leg","20000","bu/hr","","",""
"Corn Receiving Leg #2 EU-34","other","Equipment for Corn Handling and Transfer","20000","bu/hr","","",""
"Corn Silo #1 EU-10","storage","Corn Silo","500000","bu","","",""
"Corn Silo #1 EU-31","storage","Storage Silo for Corn","500000","bu","","",""
"Corn Silo #2 EU-16","storage","Corn Silo","500000","bu","","",""
"Corn Silo #2 EU-36","storage","Storage Silo for Corn","500000","bu","","",""
"DDGS Cooling Drum","cooling","Cooling Drum for DDGS","67","tons/hr","","","C70, C10, C11"
"DDGS Cooling Drum EU-58","cooling","Cooling Drum for DDGS","67","tons/hr","","","C70, C10, C11"
"DDGS Dryer A","dryer","Natural Gas DDGS Dryer","","","","","C60, C10"
"DDGS Dryer A EU-01","drying","Natural Gas DDGS Dryer","","","45","MMBtu/hr","C60, C10"
"DDGS Dryer B","dryer","Natural Gas DDGS Dryer","","","","","C60, C10"
"DDGS Dryer B EU-02","drying","Natural Gas DDGS Dryer","","","45","MMBtu/hr","C10"
"DDGS Dryer C","dryer","Natural Gas DDGS Dryer","","","","","C61, C10"
"DDGS Dryer C EU-04","drying","Natural Gas DDGS Dryer","","","45","MMBtu/hr","C61, C10"
"DDGS Dryer D","dryer","Natural Gas DDGS Dryer","","","","","C61, C10"
