"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01","dryer","DDGS Dryer A","","","70","tons/hr","C60, C10"
"02","dryer","DDGS Dryer B","","","70","tons/hr","C60, C10"
"03","thermal oxidizer","Thermal Oxidizer/Waste Heat Recovery Boiler (post control)","165","MMBtu/hr","","","C70"
"04","dryer","DDGS Dryer C","","","70","tons/hr","C61, C11"
"05","dryer","DDGS Dryer D","","","70","tons/hr","C61, C11"
"06","thermal oxidizer","Thermal Oxidizer/Waste Heat Recovery Boiler (post control)","165","MMBtu/hr","","","C70"
"58","cooling","DDGS Cooling Drum (Thermal Oxidizer Bypass Stack)","42","tons/hr","","","C70"
"FS10","sweeping","Truck Traffic Sweeping","","","","","paved road sweeping"
"FS40","leak control","Ethanol Equipment Leaks","","","","","Vapor Combustor (12.4 MMBtu/hr)"
"FS70","storage","WDGS & MDGS Storage and Loadout (Cooling Tower)","4544480","gal/hr","600000","tons/yr","FS80"
"FS80","cooling","Cooling Tower Process","4544480","gal/hr","","","FS80"
"S10","distillation","Dryers, Boilers and Distillation Process","2000","gal/min","","","C10, C11"
"S20","receiving","Grain Receiving and Storage Process","40000","bu/hr","","","C20"
"S30","hammermill","Hammermilling Process","6000","bu/hr","","","C30"
"S40","fermentation","Fermentation Process","807000","gal","","","C40"
"S70","cooling","DDGS Cooler (Thermal Oxidizer Bypass Stack)","42","tons/hr","","","C70"
"S75","storage","DDGS Storage, Handling and Loadout Process","4000","tons","","","C75"
"S80","loadout","Ethanol Truck and Rail Loadout (Truck Loadout, Railcar Loadout, Combustion Emissions from Loadout)","36000","gal/hr","1200000","gal/hr","C80"
"S90","cooling","Fire Pump","300","bhp","","","C80"
