"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-F50","loadout","Truck & Rail Loadout","600","gpm (truck) / 1000 gpm (rail)","","","C50"
"EU-F60","loadout","DDGS Auxiliary Loadout","40000","ton/yr","","",""
"EU-P20","receiving","Grain Receiving/Handling System","30000","bu/hr","","","FX105, FX120"
"EU-P30","milling/hammermill","Train #1 Hammermill #1","42","ton/hr","157.5","ton/hr","FX190"
"EU-P40","fermentation","Fermentation Process (Train #1)","","","1600","gpm",""
"EU-P70","cooling","Train #1 DDGS Cooling Cyclone","20","ton/hr","","","C70"
"EU-P70b","cooling","Train #2 DDGS Cooling Cyclone","20","ton/hr","","","C70b"
"EU-S10","thermal_oxidizer","Train #1 Thermal Oxidizer/Heat Recovery Boiler","","","42","ton/hr","C10, CE C10"
"EU-S10c","thermal_oxidizer","Regenerative Thermal Oxidizer (Train #2)","730","gpm","","","C10c"
"EU-S11b","boiler","Natural Gas Fired Boiler","135","MMBtu/hr","","",""
