"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-02","boilers","Boiler #2","","","","","CE-10"
"EU-03","boilers","Boiler #3","","","","","CE-10"
"EU-10A","drying","Blood Dryer","9.1","ton/hr","","","CE-10"
"EU-12","flaring","Waste Bio Gas Flare","31.5","MMBtu/hr","","","CE-12"
"EU-14","boilers","Hog Singer #2","12.728","MMBtu/hr","","","CE-14"
"EU-20","ventilation","Rendering Room Ventilation System","800","ft3/min","","","CE-20"
"EU-25.1","smoke_generator","Smokehouse #3 - Smoke Generator (2)","30","lb/hr wood chips","","","CE-25"
"EU-26","emergency_generator","Emergency Diesel Engine #1","909","bhp","","","CE-26"
"EU-27","emergency_generator","Emergency Diesel Engine #2","909","bhp","","","CE-27"
"EU-28","generator","Bacon Generator","72.6","bhp","","","CE-28"
"EU-30","boilers","Boiler #4","75.4","MMBtu/hr","","","CE-30"
"EU-31","generator","Non-Emergency Generator","180","bhp","","","CE-31"
"EU-32","generator","LP Emergency Generator","148","bhp","","","CE-32"
