"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","boilers","Boiler #1","","","","","CE-36"
"EU-10","smokehouse","Smokehouse #2","1.53","MMBtu/hr","","","CE-36"
"EU-11","smokehouse","Smokehouse #3","3.57","MMBtu/hr","","","CE-36"
"EU-12","smokehouse","Smokehouse #4","3.57","MMBtu/hr","","","CE-36"
"EU-13","smokehouse","Smokehouse #5","3.57","MMBtu/hr","","","CE-36"
"EU-14","smokehouse","Smokehouse #6","3.93","MMBtu/hr","","","CE-36"
"EU-15A","smokehouse","Smokehouse #7A","3.57","MMBtu/hr","","","CE-36"
"EU-17","drying","Blood Dryer","2.55","MMBtu/hr","","","CE-36"
"EU-2","boilers","Boiler #2","25.7","MMBtu/hr","","","CE-36"
"EU-22","storage_tank","Gasoline Tank","500","gallons","","",""
"EU-29","wastewater_treatment","Wastewater Treatment","62500","gallons/hour","","",""
"EU-3","boilers","Boiler #3","25.7","MMBtu/hr","","","CE-36"
"EU-31","rendering_process","Rendering Process","22500","lb/hr","","","CE-31"
"EU-33A","emergency_generator","Emergency Generator (North)","247","bhp","","",""
"EU-33B","emergency_generator","Emergency Generator (South)","227","bhp","","",""
"EU-33C","emergency_generator","Emergency Generator (FEB)","308","bhp","","",""
"EU-36","hydrolysis","Hair Hydrolyzer","3150","pounds of hog hair per hour","","","CE-36"
"EU-4","boilers","Boiler #4","25.7","MMBtu/hr","","","CE-36"
"EU-41","cleaning_operations","Facility Cleaning Operations","9","tons/year VOC","","",""
"EU-42","wastewater_treatment","DAF Sludge Dryer and Scrubber","3.5","MMBtu/hr","","","CE-42A, CE-42B"
"EU-6","boilers","Boiler #6","12.75","MMBtu/hr","","","CE-36"
"EU-7","drying","Hog Hair Singer #1","6.63","MMBtu/hr","","","CE-36"
"EU-8","drying","Hog Hair Singer #2","6.63","MMBtu/hr","","","CE-36"
"EU-9","smokehouse","Smokehouse #1","1.53","MMBtu/hr","","","CE-36"
"Gen1","smokehouse_generator","Smokehouse Generator #1","32","lb wood/hr","","","CE-36"
"Gen2","smokehouse_generator","Smokehouse Generator #2","32","lb wood/hr","","","CE-36"
"Gen3","smokehouse_generator","Smokehouse Generator #3","32","lb wood/hr","","","CE-36"
"Gen4","smokehouse_generator","Smokehouse Generator #4","32","lb wood/hr","","","CE-36"
"Gen5","smokehouse_generator","Smokehouse Generator #5","32","lb wood/hr","","","CE-36"
"Gen6","smokehouse_generator","Smokehouse Generator #6","32","lb wood/hr","","","CE-36"
"Gen7","smokehouse_generator","Smokehouse Generator #7","32","lb wood/hr","","","CE-36"
"Gen8","smokehouse_generator","Smokehouse Generator #8","32","lb wood/hr","","","CE-36"
