"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-34","other","Fugitive Emissions from Pumps, Valves & Flanges","37630","gallons/hr","","",""
"EP-52","storage","Three-Bay Truck Loading Rack","240000","gallons/hr","","","CE-52"
"EU-01","storage","External Floating Roof Gasoline Tank A-100","","","2310000","gallons","CE-52"
"EU-02","storage","External Floating Roof Gasoline Tanks A-101","","","2310000","gallons","CE-52"
"EU-03","storage","Internal Floating Roof Gasoline Tank A-102","","","2310000","gallons",""
"EU-04","storage","Internal Floating Roof Gasoline Tank A-103","","","2310000","gallons",""
"EU-05","storage","Vertical Fixed Roof Distillate Tank A-104 (2,310,000 gallon)","","","2310000","gallons",""
"EU-06","storage","Vertical Fixed Roof Distillate Tank A-105 (3,360,000 gallon)","","","3360000","gallons",""
"EU-07","storage","External Floating Roof Gasoline Tank B-100 (1,575,000 gallon)","","","1575000","gallons","CE-52"
"EU-08","storage","External Floating Roof Gasoline Tank B-102 (1,575,000 gallon)","","","1575000","gallons","CE-52"
"EU-09","storage","External Floating Roof Gasoline Tank B-103 (1,575,000 gallon)","","","1575000","gallons","CE-52"
"EU-10","storage","External Floating Roof Gasoline Tank B-104 (1,575,000 gallon)","","","1575000","gallons","CE-52"
"EU-11","storage","External Floating Roof Gasoline Tank B-105 (1,575,000 gallon)","","","1575000","gallons","CE-52"
"EU-12","storage","Vertical Fixed Roof Distillate Tank C-100 (638,400 gallon)","","","638400","gallons",""
"EU-13","storage","Internal Floating Roof Ethanol Tank D-100 (420,000 gallon)","","","420000","gallons",""
"EU-14","storage","External Floating Roof Gasoline Tank D-101 (420,000 gallon)","","","420000","gallons","CE-52"
"EU-15","storage","External Floating Roof Gasoline Tank D102 (420,000 gallon)","","","420000","gallons","CE-52"
"EU-16","storage","Vertical Fixed Roof Distillate Tank D-103 (420,000 gallon)","","","420000","gallons",""
"EU-17","storage","Vertical Fixed Roof Distillate Tank D-104 (420,000 gallon)","","","420000","gallons",""
"EU-18","storage","Vertical Fixed Roof Distillate Tank D-105 (420,000 gallon)","","","420000","gallons",""
"EU-21","storage","Vertical Fixed Roof Ethanol Tank #1 (19,194 gallon)","","","19194","gallons",""
"EU-24","storage","Vertical Fixed Roof Ethanol Tank #8 (19,194 gallon)","","","19194","gallons",""
"EU-25","storage","Vertical Fixed Roof Ethanol Tank #5 (19,194 gallon)","","","19194","gallons",""
"EU-26","storage","Vertical Fixed Roof Ethanol Tank #3 (19,194 gallon)","","","19194","gallons",""
"EU-28","storage","Vertical Fixed Roof Ground Water Tank #9 (19,194 gallon)","","","19194","gallons",""
"EU-29","storage","Vertical Fixed Roof Ground Water Tank #10 (19,194 gallon)","","","19194","gallons",""
"EU-30","storage","Vertical Fixed Roof Recovered Oil Tank #11 (19,194 gallon)","","","19194","gallons",""
"EU-31","storage","Terminal Recovered Oil Horizontal Fixed Roof Tank (6,000 gallon)","","","6000","gallons",""
"EU-32","storage","Loading Rack Vertical Fixed Roof Recovered Oil Pretank (625 gallon)","","","625","gallons",""
"EU-33","other","Air Stripper","","","","",""
"EU-34","other","Fugitive Emissions from Pumps, Valves & Flanges","37630","gallons/hr","","",""
"EU-40","storage","Additive Tank 3 (6,000 gallon)","","","6000","gallons",""
"EU-41","storage","Additive Tank 1 (4,000 gallon)","","","4000","gallons",""
"EU-42","storage","Additive Tank 8 (4,000 gallon)","","","4000","gallons",""
"EU-43","storage","Additive Tank 2 (2,000 gallon)","","","2000","gallons",""
"EU-44","storage","Additive Tank 4 (4,000 gallon)","","","4000","gallons",""
"EU-45","storage","Additive Tank 5 (2,000 gallon)","","","2000","gallons",""
"EU-46","storage","Additive Tank 6 (600 gallon) – Out of Service","","","600","gallons",""
"EU-47","storage","Additive Tank 7 (600 gallon) – Out of Service","","","600","gallons",""
"EU-48","storage","Additive Tank S-33 (5,000 gallon)","","","5000","gallons",""
"EU-52","storage","Three-Bay Truck Loading Rack","240000","gallons/hr","","","CE-52"
"EU-56","storage","Vertical Fixed Roof F7595 Diesel Additive Tank S-37 (12,000 gallon)","","","12000","gallons",""
"EU-57","storage","Vertical Fixed Roof Soy Diesel Tank S-35 (12,000 gallon)","","","12000","gallons",""
"EU-58","storage","TR Oil/Water Separator (10,000 gal)","","","10000","gallons",""
