"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1.01","boilers","Main Steam Boiler","","","","","CE-73-A-198-S4"
"EU-1.02","boilers","Heating Steam Boiler","5000000","Btu/hr","","",""
"EU-1.04","other","Fire Pump Engine - Gasoline","11500","gal/hr","","",""
"EU-1.05","other","Microwave Emergency Engine Generator - Propane","23460","Btu/hr","","",""
"EU-1.12","cooling","Cooling Tower Water Mist Eliminator","30000","gal/min","","","CE-16-A-038-S1"
"EU-1.26","storage","Vehicle Gasoline Storage Tank","300000","gal","","",""
"EU-1.38","conditioning","Lime Feeder Fabric Filter Baghouse","590","tons/hr","","","CE-1.38"
"EU-1.39","conditioning","Alum Feeder Fabric Filter Baghouse","120","tons/hr","","","CE-1.39"
"EU-1.47","boilers","Turbine with Burners and Water Injection","2085","MBtu/hr","2000","hr/yr","CE-1.47A, CE-1.47B, CE-1.47C"
"EU-1.49","storage","Storage Tank for Fuel Oil","250000","gal","","",""
