"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP 44","boilers","Natural Gas Heater (Indirect Heating)","2","MMBtu/hr","","",""
"EP BGS-PH","boilers","Direct Fired Propane Heater","2","MMBtu/hr","","",""
"EU 01","boilers","Combustion Turbine #1","","","","","CE 500 bhp"
"EU 02","boilers","Combustion Turbine #2","","","","","CE 500 bhp"
"EU 03","boilers","Combustion Turbine #3","","","","","CE 500 bhp"
"EU 04","boilers","Combustion Turbine #4","","","","","CE 500 bhp"
"EU 05","other","Turbine Lube Oil Vent #1","","","","",""
"EU 07","other","Turbine Lube Oil Vent #2","","","","",""
"EU 09","other","Turbine Lube Oil Vent #3","","","","",""
"EU 10","other","Turbine Lube Oil Vent #4","","","","",""
"EU 13","boilers","Emergency Stationary RICE Generator","602","bhp","","",""
"EU 16","boilers","House Heat Boiler","2036.274","ft3/hr","","",""
"EU 17","boilers","Main Plant Boiler","2077","(LNB; CE 47)","","","CE 47"
