"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"BSG1","black start generator","Black Start Generator Fuel Oil 20.5 MMBtu/hr","20.5","MMBtu/hr","200","hours/yr","CE14"
"BSG2","black start generator","Black Start Generator Fuel Oil 20.5 MMBtu/hr","20.5","MMBtu/hr","200","hours/yr","CE14"
"BSG3","black start generator","Black Start Generator Fuel Oil 20.5 MMBtu/hr","20.5","MMBtu/hr","200","hours/yr","CE14"
"BSG4","black start generator","Black Start Generator Fuel Oil 20.5 MMBtu/hr","20.5","MMBtu/hr","200","hours/yr","CE14"
"BSG5","black start generator","Black Start Generator Fuel Oil 20.5 MMBtu/hr","20.5","MMBtu/hr","200","hours/yr","CE14"
"BSG6","black start generator","Black Start Generator Fuel Oil 20.5 MMBtu/hr","20.5","MMBtu/hr","200","hours/yr","CE14"
"CT1","cooling_tower","Mechanical Draft Cooling Tower 8,400,000 Gal/hr","8400000","Gal/hr","","","CE13"
"EU1","combustion_turbine","Combustion Turbine-Combined Cycle Process","","","2451.2","MMBtu/hr","CE3, CE4"
"EU13","storage tank","Fuel Oil Storage Tank Process Oil 300,000 gal","300000","gal","","","CE15"
"EU-1SC","combustion_turbine","Combustion Turbine-Simple Cycle Process","","","2046","MMBtu/hr","CE5, CE6"
"EU2","combustion_turbine","Combustion Turbine-Combined Cycle Process","","","2046","MMBtu/hr","CE1, CE2"
"EU-2SC","combustion_turbine","Combustion Turbine-Simple Cycle Process","","","2046","MMBtu/hr","CE7, CE8"
"EU3","heater","Gas Heater A","16.4","MMBtu/hr","","","CE9"
"EU4","heater","Gas Heater B","16.4","MMBtu/hr","","","CE10"
"EU6","cooling tower","Mechanical Draft Cooling Tower Process Water 8,400,000 Gal/hr","8400000","Gal/hr","","","CE13"
"EU7","fire pump","Emergency Fire Pump Distillate Oil 2.59 MMBtu/hr","2.59","MMBtu/hr","104","hours/yr","CE14"
"EU8","boiler","Auxiliary Boiler 68 MMBtu/hr","68","MMBtu/hr","","","CE11, CE12"
"EU99","storage tank","Gasoline Tank 300 gal","300","gal","","","CE16"
"FP1","pump","Emergency Fire Pump 2.59 MMBtu/hr","2.59","MMBtu/hr","","","CE14"
"FT1","storage_tank","Fuel Oil Storage Tank 300,000 gal, 749.2 gal/hr","","","300","gal","CE15"
"FT2","storage_tank","Gasoline Tank 300 gal","","","300","gal","CE16"
"GH1","heater","Gas Heater A","16.4","MMBtu/hr","","","CE9"
"GH2","heater","Gas Heater B","16.4","MMBtu/hr","","","CE10"
