"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"102-301","stacker","Coal Stacker","750","tons/hr","","",""
"120-123","transfer system","Boilers 1, 2 & 3 Bottom Ash Transfer System, Boilers 1 & 2 Fly Ash Silo, Boilers 1, 2 & 3 Bottom Ash Silo","","","","","520, 524, 525"
"120-301","load_out","Ash Loadout for Units 1 & 2","120","tons/hr","","",""
"121-301","load_out","Ash Loadout for Units 1 & 2","120","tons/hr","","",""
"301-301","boilers","Boiler 1, Spreader Stoker","","","","","ME205, ME206, ME207, ME208"
"301-302","boilers","Boiler 2, Spreader Stoker","","","","","ME209, ME210"
"302-303","boilers","Boiler 3, Spreader Stoker","","","","","ME209, ME210"
"331-331","generators","#2 Emergency Generator","74.3","gallons/hr","","",""
"400-301","storage","Coal Pile Storage","8","acres","","",""
"401-301","unloading","Coal Unloading","600","tons/hr","","","401-401"
"402-301","house","Coal Unloading House","750","tons/hr","","","402-401"
"403-301","load_out","Coal Load Out","600","tons/hr","","",""
"406-301","load_out","Ash Loadout for Unit 3","60","tons/hr","","",""
"500-100","boilers","Boiler 5, Low NOx Burner","278","MBBtu/hr","","","ME500, ME502"
"500-100B, 100-100E","dust handling","Coal Belt Dust Handling for Bunker 3 & 4, Pick-ups for Bunkers 1 & 2","","","","","102, 104"
"500-100B-D","dust_handling","Pick-ups for Bunkers 3 & 4 Coal Belt Dust Handling","750","tons/hr","","",""
"501-100","storage","Boiler 1 Coal Storage Bunker","","","","","102"
"501-100B-E","dust_handling","Pick-ups for Bunkers 1 & 2 Coal Belt Dust Handling","24","tons/hr","","",""
"501-301","transfer","Boiler 1 Fly Ash Transfer","8","tons/hr","","","524-521"
"502-100","storage","Boiler 2 Coal Storage Bunker","","","","","104-100E"
"502-301","transfer","Boiler 2 Fly Ash Transfer","8","tons/hr","","","524-521"
"503-100","storage","Boiler 3 Coal Storage Bunker","","","","","120-120, 121-121"
"503-301","transfer","Boiler 3 Fly Ash Transfer","8","tons/hr","","","524-521"
"521-301","load_out","Ash Loadout for Units 1 & 2","120","tons/hr","","",""
"522-521","transfer system","Boilers 1 & 2 Fly Ash Transfer System","","","","","520"
"600-100","boilers","Boiler 6, Low NOx Burner with FGR","99.9","MBBtu/hr","","","ME600, ME601"
"600-301","transfer","Boiler 6 Fly Ash Transfer","8","tons/hr","","","524-521"
"601-301","storage","Boiler 6 Coal Storage Bunker","","","","",""
