"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-11","other","Liquid Redox System","2.1","lb/hr","","","CE-4"
"EP-13","flare","Flare 1","128.18","MMBtu/hr","","","CE-6"
"EP-15","flare","Flare 3","13.13","MMBtu/hr","","","CE-7"
"EP-214","storage","Gasoline Storage Tank (1000 Gallon)","1000","gallons","","","CE-5"
"EP-5.01","scrubbers","Treater Incinerator-SO","","","39.5","tons/yr","CE-1"
"EP-5.02","scrubbers","Treater Incinerator-Combustion Gas","","","138","lbs/hr","CE-2"
"EP-8","boilers","Solar Taurus Natural Gas Fired Turbine","7381","BHP","","","CE-3"
"EP-LAGOONS","other","Wastewater Lagoons","250000","gallons/yr","","","CE-6"
"EU-1","boilers","Cooper 2 Cycle Lean Burn Engine (2000 bhp)","2000","BHP","","","CE-1"
"EU-10","boilers","Waukesha 4 Cycle Rich Burn Engine (1429 bhp)","1429","BHP","","","CE-10"
"EU-12","boilers","Caterpillar 4 Cycle Lean Burn Engine (1818 bhp)","1818","BHP","","","CE-12"
"EU-2","boilers","Cooper 2 Cycle Lean Burn Engine (2000 bhp)","2000","BHP","","","CE-2"
"EU-3","boilers","Cooper 2 Cycle Lean Burn Engine (1500 bhp)","1500","BHP","","","CE-3"
"EU-4","boilers","Cooper 2 Cycle Lean Burn Engine (1500 bhp)","1500","BHP","","","CE-4"
"EU-9","boilers","Waukesha 4 Cycle Rich Burn Engine (1429 bhp)","1429","BHP","","","CE-9"
