"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-01","loading_rack","Gasoline Loading Rack","","","250000","gallons/day","CE-01"
"EP-13","storage","Fixed Roof Storage Tank – Tank 55-17","2229822","gallons","","","CE-13"
"EP-18","other","Fugitive Emissions","91250000","","","","CE-18"
"EU-01","loading_rack","Gasoline Loading Rack - Distillate and Ethanol Loading Racks","","","250000","gallons/day","CE-01"
"EU-04","storage","Internal Floating Roof Tank - Tank 3-1","126924","gallons","","","CE-04"
"EU-05","storage","Internal Floating Roof Tank - Tank 3-2","106932","gallons","","","CE-05"
"EU-09","storage","External Floating Roof Tank - Tank 55-13","2115918","gallons","","","CE-09"
"EU-10","storage","Fixed Roof Storage Tank - Tank 55-14","2231124","gallons","","","CE-10"
"EU-11","storage","Internal Floating Roof Tank - Tank 55-15","2115834","gallons","","","CE-11"
"EU-13","storage_tank","Fixed Roof Storage Tank - Tank 55-17","2229822","gallons","","","CE-13"
"EU-18","other","Fugitive Emissions","91250000","","","",""
