"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"C01","receiving","Coal Receiving / Conveying","","","","",""
"C012","generator","Caterpillar Diesel Generator","600","kW","","",""
"C013","boilers","Nebraska Boiler","61.5","MMBtu/hr","","",""
"C02","storage","Coal Storage","","","","",""
"C03","conveying","Coal Feeders","","","","",""
"C04","receiving","Limestone Receiving / Daybin","","","","",""
"C05","boilers","Coal-fired main Boiler","175","MMBtu/hr","","","C06A, C06B"
"C06A","conveying","Fly Ash Conveying","","","","",""
"C06B","loadout","Fly Ash Loadout","","","","",""
"C07","storage","Fly Ash Silo","","","","",""
"C09","boilers","Primary Standby Boiler","175","MMBtu/hr","","","C09A"
"C09A","bypass","Primary Standby Boiler (Bypass)","","","","",""
"GP02","storage","(2) – 500,000 bushel Bean Storage Tanks","","","","",""
"GP04A","conveying","Conveying to Processing / Bean Cleaning","210","tons/hr","","",""
"GP05A","conditioning","Escher Wyss Conditioning / Dehulling","210","tons/hr","","",""
"GP06A","aspiration","Flaking Roll Aspiration System","210","tons/hr","","","GP06B"
"GP07","conveying","Conveying to Extractor","210","tons/hr","","",""
"GP09A","extraction","Extractor (Solvent Bubble)","230","tons/hr","","",""
"MP01","desolventization","Desolventizer Toaster, Dryer Cooler (DTDC)","250","tons/hr","","",""
"MP010","unloading","Meal/Hull Unloading Pit","260","tons/hr","","",""
"R01","storage","Filter Aid Receiving / Storage","","","","",""
"R02","storage","Bleaching Clay Receiving / Storage","","","","",""
"R03","storage","Slurry / Precoat Tanks","","","","",""
"R04","storage","Filter Aid / Bleaching Clay Daybins","","","","",""
"R06","cooling_tower","3 Cell Refinery Cooling Tower","6000","gallons/minute","","",""
"R07","boilers","Refinery Steam Generator","20.0","MMBtu/hr","","",""
"U03","receiving","Rail Receiving Number 1/Conveying and Rail Receiving Number 1 Fugitive Emissions","960","tons/hr","","",""
"U03F","fugitive_emissions","Rail Receiving Number 1 Fugitive Emissions","","","","",""
"U05","storage","Grain Storage – 4 west Bean Tanks","","","","",""
"U07","fugitive_emissions","Grain Storage – 4 west Bean Tanks (Fugitive Emissions)","","","","",""
"U08","fugitive_emissions","Fugitive Road Emissions","","","","",""
